,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
85,MAHLIFE_minute,long,2024-02-02 15:21:00,2024-02-05 09:15:00,521.6,532.08,1,521.6,532.08,closed,10.48,2.0083
200,MAHLIFE_minute,long,2024-02-20 15:21:00,2024-02-21 09:16:00,553.6,553.01,1,553.6,553.01,closed,-0.59,-0.1059
323,MAHLIFE_minute,long,2024-03-06 15:21:00,2024-03-07 09:16:00,538.95,540.54,1,538.95,540.54,closed,1.59,0.295
358,MAHLIFE_minute,long,2024-03-14 15:21:00,2024-03-15 09:15:00,501.25,502.2,1,501.25,502.2,closed,0.95,0.1895
483,MAHLIFE_minute,long,2024-04-01 15:21:00,2024-04-02 09:15:00,572.65,571.92,1,572.65,571.92,closed,-0.73,-0.127
515,MAHLIFE_minute,long,2024-04-03 15:21:00,2024-04-04 15:29:00,562.65,573.35,1,562.65,573.35,closed,10.7,1.9017
623,MAHLIFE_minute,long,2024-04-19 15:21:00,2024-04-22 09:15:00,575.05,581.97,1,575.05,581.97,closed,6.92,1.2036
648,MAHLIFE_minute,long,2024-04-22 15:21:00,2024-04-23 09:16:00,608.6,604.79,1,608.6,604.79,closed,-3.81,-0.6259
664,MAHLIFE_minute,long,2024-04-24 15:21:00,2024-04-25 09:17:00,616.5,617.41,1,616.5,617.41,closed,0.91,0.1482
779,MAHLIFE_minute,long,2024-05-13 15:21:00,2024-05-14 15:29:00,556.9,556.85,1,556.9,556.85,closed,-0.05,-0.009
875,MAHLIFE_minute,long,2024-05-27 15:21:00,2024-05-28 09:15:00,541.8,534.7,1,541.8,534.7,closed,-7.1,-1.3104
958,MAHLIFE_minute,long,2024-06-06 15:21:00,2024-06-07 15:29:00,533.1,547.05,1,533.1,547.05,closed,13.95,2.6168
980,MAHLIFE_minute,long,2024-06-10 15:21:00,2024-06-11 15:29:00,542.2,557.5,1,542.2,557.5,closed,15.3,2.8218
985,MAHLIFE_minute,long,2024-06-11 15:21:00,2024-06-12 15:29:00,558.25,564.8,1,558.25,564.8,closed,6.55,1.1733
1004,MAHLIFE_minute,long,2024-06-18 15:21:00,2024-06-19 09:15:00,585.7,585.78,1,585.7,585.78,closed,0.08,0.0142
1020,MAHLIFE_minute,long,2024-06-19 15:21:00,2024-06-20 15:29:00,580.1,578.85,1,580.1,578.85,closed,-1.25,-0.2155
1160,MAHLIFE_minute,long,2024-07-09 15:21:00,2024-07-10 15:29:00,570.0,562.3,1,570.0,562.3,closed,-7.7,-1.3509
1162,MAHLIFE_minute,long,2024-07-10 15:21:00,2024-07-11 15:29:00,562.5,554.05,1,562.5,554.05,closed,-8.45,-1.5022
1182,MAHLIFE_minute,long,2024-07-12 15:21:00,2024-07-15 09:17:00,553.6,549.75,1,553.6,549.75,closed,-3.85,-0.696
1224,MAHLIFE_minute,long,2024-07-22 15:21:00,2024-07-23 09:15:00,558.3,556.68,1,558.3,556.68,closed,-1.62,-0.2907
1304,MAHLIFE_minute,long,2024-07-31 15:21:00,2024-08-01 15:29:00,555.9,559.05,1,555.9,559.05,closed,3.15,0.5666
1396,MAHLIFE_minute,long,2024-08-12 15:21:00,2024-08-13 09:15:00,531.65,527.47,1,531.65,527.47,closed,-4.18,-0.7859
1408,MAHLIFE_minute,long,2024-08-13 15:21:00,2024-08-14 09:15:00,515.45,517.52,1,515.45,517.52,closed,2.07,0.4021
1449,MAHLIFE_minute,long,2024-08-19 15:21:00,2024-08-20 09:16:00,544.8,539.35,1,544.8,539.35,closed,-5.45,-1.0
1514,MAHLIFE_minute,long,2024-08-28 15:21:00,2024-08-29 15:29:00,542.15,532.4,1,542.15,532.4,closed,-9.75,-1.7984
1523,MAHLIFE_minute,long,2024-08-29 15:21:00,2024-08-30 15:29:00,534.35,522.3,1,534.35,522.3,closed,-12.05,-2.2551
1593,MAHLIFE_minute,long,2024-09-06 15:21:00,2024-09-09 09:15:00,511.35,507.08,1,511.35,507.08,closed,-4.27,-0.8354
1617,MAHLIFE_minute,long,2024-09-10 15:21:00,2024-09-11 09:17:00,514.15,509.01,1,514.15,509.01,closed,-5.14,-1.0
1632,MAHLIFE_minute,long,2024-09-11 15:21:00,2024-09-12 15:29:00,502.15,498.9,1,502.15,498.9,closed,-3.25,-0.6472
1677,MAHLIFE_minute,long,2024-09-19 15:21:00,2024-09-20 15:29:00,491.15,494.35,1,491.15,494.35,closed,3.2,0.6515
1753,MAHLIFE_minute,long,2024-09-26 15:21:00,2024-09-27 09:15:00,519.8,516.43,1,519.8,516.43,closed,-3.37,-0.6477
1929,MAHLIFE_minute,long,2024-10-16 15:21:00,2024-10-17 09:15:00,488.75,483.86,1,488.75,483.86,closed,-4.89,-1.0
1994,MAHLIFE_minute,long,2024-10-25 15:21:00,2024-10-28 09:15:00,453.95,448.15,1,453.95,448.15,closed,-5.8,-1.2777
2203,MAHLIFE_minute,long,2024-11-18 15:21:00,2024-11-19 15:29:00,432.25,430.2,1,432.25,430.2,closed,-2.05,-0.4743
2233,MAHLIFE_minute,long,2024-11-21 15:21:00,2024-11-22 09:15:00,418.2,418.1,1,418.2,418.1,closed,-0.1,-0.0239
2250,MAHLIFE_minute,long,2024-11-25 15:21:00,2024-11-26 15:29:00,445.35,440.2,1,445.35,440.2,closed,-5.15,-1.1564
2269,MAHLIFE_minute,long,2024-11-26 15:21:00,2024-11-27 09:16:00,440.4,437.83,1,440.4,437.83,closed,-2.57,-0.5841
2286,MAHLIFE_minute,long,2024-11-27 15:21:00,2024-11-28 09:15:00,451.95,447.53,1,451.95,447.53,closed,-4.42,-0.9781
2316,MAHLIFE_minute,long,2024-11-29 15:21:00,2024-12-02 09:15:00,454.9,454.21,1,454.9,454.21,closed,-0.69,-0.1512
2362,MAHLIFE_minute,long,2024-12-03 15:21:00,2024-12-04 15:29:00,463.35,468.55,1,463.35,468.55,closed,5.2,1.1223
2465,MAHLIFE_minute,long,2024-12-16 15:21:00,2024-12-17 15:29:00,451.35,449.2,1,451.35,449.2,closed,-2.15,-0.4763
2478,MAHLIFE_minute,long,2024-12-18 15:21:00,2024-12-19 09:15:00,439.6,431.8,1,439.6,431.8,closed,-7.8,-1.7743
2501,MAHLIFE_minute,long,2024-12-20 15:21:00,2024-12-23 09:15:00,436.4,437.48,1,436.4,437.48,closed,1.08,0.2477
