,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
124,MMFIN_minute,long,2024-02-06 15:21:00,2024-02-07 15:29:00,271.25,275.5,1,271.25,275.5,closed,4.25,1.5668
143,MMFIN_minute,long,2024-02-08 15:21:00,2024-02-09 09:15:00,271.5,269.77,1,271.5,269.77,closed,-1.73,-0.6354
169,MMFIN_minute,long,2024-02-14 15:21:00,2024-02-15 09:15:00,269.45,267.89,1,269.45,267.89,closed,-1.56,-0.5775
219,MMFIN_minute,long,2024-02-20 15:21:00,2024-02-21 09:15:00,269.8,271.16,1,269.8,271.16,closed,1.36,0.5044
245,MMFIN_minute,long,2024-02-22 15:21:00,2024-02-23 15:29:00,270.15,271.2,1,270.15,271.2,closed,1.05,0.3887
279,MMFIN_minute,long,2024-02-29 15:21:00,2024-03-01 15:29:00,263.15,267.15,1,263.15,267.15,closed,4.0,1.52
316,MMFIN_minute,long,2024-03-05 15:21:00,2024-03-06 15:29:00,270.5,262.75,1,270.5,262.75,closed,-7.75,-2.8651
374,MMFIN_minute,long,2024-03-14 15:21:00,2024-03-15 09:15:00,247.75,245.27,1,247.75,245.27,closed,-2.48,-1.0
394,MMFIN_minute,long,2024-03-15 15:21:00,2024-03-18 15:29:00,242.2,242.1,1,242.2,242.1,closed,-0.1,-0.0413
437,MMFIN_minute,long,2024-03-21 15:21:00,2024-03-22 15:29:00,247.75,253.1,1,247.75,253.1,closed,5.35,2.1594
438,MMFIN_minute,long,2024-03-22 15:21:00,2024-03-26 09:15:00,254.1,251.71,1,254.1,251.71,closed,-2.39,-0.9416
559,MMFIN_minute,long,2024-04-04 15:21:00,2024-04-05 09:15:00,273.15,271.3,1,273.15,271.3,closed,-1.85,-0.6773
698,MMFIN_minute,long,2024-04-25 15:21:00,2024-04-26 15:29:00,238.6,239.35,1,238.6,239.35,closed,0.75,0.3143
727,MMFIN_minute,long,2024-04-29 15:21:00,2024-04-30 15:29:00,242.35,242.45,1,242.35,242.45,closed,0.1,0.0413
757,MMFIN_minute,long,2024-05-03 15:21:00,2024-05-06 09:16:00,248.05,251.46,1,248.05,251.46,closed,3.41,1.3747
861,MMFIN_minute,long,2024-05-17 15:21:00,2024-05-18 09:15:00,244.75,244.25,1,244.75,244.25,closed,-0.5,-0.2043
913,MMFIN_minute,long,2024-05-28 15:21:00,2024-05-29 09:19:00,250.45,247.95,1,250.45,247.95,closed,-2.5,-1.0
