,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
7,POLYMED_minute,long,2024-01-19 15:21:00,2024-01-20 15:29:00,1456.35,1445.0,1,1456.35,1445.0,closed,-11.35,-0.7793
35,POLYMED_minute,long,2024-01-24 15:21:00,2024-01-25 09:19:00,1454.6,1440.05,1,1454.6,1440.05,closed,-14.55,-1.0
81,POLYMED_minute,long,2024-02-01 15:21:00,2024-02-02 09:16:00,1481.15,1478.07,1,1481.15,1478.07,closed,-3.08,-0.2079
112,POLYMED_minute,long,2024-02-06 15:21:00,2024-02-07 15:29:00,1587.0,1608.4,1,1587.0,1608.4,closed,21.4,1.3485
123,POLYMED_minute,long,2024-02-07 15:21:00,2024-02-08 09:15:00,1616.1,1608.55,1,1616.1,1608.55,closed,-7.55,-0.4671
142,POLYMED_minute,long,2024-02-09 15:21:00,2024-02-12 15:29:00,1535.45,1505.25,1,1535.45,1505.25,closed,-30.2,-1.9669
267,POLYMED_minute,long,2024-02-29 15:21:00,2024-03-01 15:29:00,1567.0,1626.05,1,1567.0,1626.05,closed,59.05,3.7683
412,POLYMED_minute,long,2024-03-20 15:21:00,2024-03-21 15:29:00,1497.0,1527.05,1,1497.0,1527.05,closed,30.05,2.0073
429,POLYMED_minute,long,2024-03-22 15:21:00,2024-03-26 09:15:00,1559.15,1543.56,1,1559.15,1543.56,closed,-15.59,-1.0
489,POLYMED_minute,long,2024-04-01 15:21:00,2024-04-02 15:29:00,1575.25,1561.1,1,1575.25,1561.1,closed,-14.15,-0.8983
525,POLYMED_minute,long,2024-04-04 15:21:00,2024-04-05 09:15:00,1577.0,1569.45,1,1577.0,1569.45,closed,-7.55,-0.4789
560,POLYMED_minute,long,2024-04-12 15:21:00,2024-04-15 09:15:00,1549.0,1533.51,1,1549.0,1533.51,closed,-15.49,-1.0
699,POLYMED_minute,long,2024-04-29 15:21:00,2024-04-30 15:29:00,1644.0,1639.6,1,1644.0,1639.6,closed,-4.4,-0.2676
725,POLYMED_minute,long,2024-05-03 15:21:00,2024-05-06 15:29:00,1690.05,1625.05,1,1690.05,1625.05,closed,-65.0,-3.846
743,POLYMED_minute,long,2024-05-07 15:21:00,2024-05-08 09:17:00,1595.55,1582.02,1,1595.55,1582.02,closed,-13.53,-0.848
864,POLYMED_minute,long,2024-05-23 15:21:00,2024-05-24 15:29:00,1807.5,1794.0,1,1807.5,1794.0,closed,-13.5,-0.7469
876,POLYMED_minute,long,2024-05-24 15:21:00,2024-05-27 15:29:00,1796.95,1805.95,1,1796.95,1805.95,closed,9.0,0.5008
881,POLYMED_minute,long,2024-05-27 15:21:00,2024-05-28 15:29:00,1809.95,1813.0,1,1809.95,1813.0,closed,3.05,0.1685
905,POLYMED_minute,long,2024-05-30 15:21:00,2024-05-31 09:15:00,1770.45,1762.0,1,1770.45,1762.0,closed,-8.45,-0.4773
919,POLYMED_minute,long,2024-05-31 15:21:00,2024-06-03 09:15:00,1807.75,1831.5,1,1807.75,1831.5,closed,23.75,1.3138
967,POLYMED_minute,long,2024-06-06 15:21:00,2024-06-07 09:16:00,1825.4,1819.62,1,1825.4,1819.62,closed,-5.78,-0.3166
1127,POLYMED_minute,long,2024-07-01 15:21:00,2024-07-02 09:15:00,1983.85,1997.82,1,1983.85,1997.82,closed,13.97,0.7042
1143,POLYMED_minute,long,2024-07-03 15:21:00,2024-07-04 09:15:00,1961.25,1951.0,1,1961.25,1951.0,closed,-10.25,-0.5226
1176,POLYMED_minute,long,2024-07-08 15:21:00,2024-07-09 09:15:00,2123.1,2121.0,1,2123.1,2121.0,closed,-2.1,-0.0989
1179,POLYMED_minute,long,2024-07-09 15:21:00,2024-07-10 09:15:00,2140.0,2149.0,1,2140.0,2149.0,closed,9.0,0.4206
1194,POLYMED_minute,long,2024-07-11 15:21:00,2024-07-12 09:17:00,2152.45,2146.05,1,2152.45,2146.05,closed,-6.4,-0.2973
1206,POLYMED_minute,long,2024-07-15 15:21:00,2024-07-16 15:29:00,2117.1,2133.95,1,2117.1,2133.95,closed,16.85,0.7959
1270,POLYMED_minute,long,2024-07-24 15:21:00,2024-07-25 09:16:00,2032.4,2020.0,1,2032.4,2020.0,closed,-12.4,-0.6103
1377,POLYMED_minute,long,2024-08-07 15:21:00,2024-08-08 09:17:00,1854.85,1879.71,1,1854.85,1879.71,closed,24.86,1.3404
1411,POLYMED_minute,long,2024-08-12 15:21:00,2024-08-13 09:15:00,1929.6,1923.57,1,1929.6,1923.57,closed,-6.03,-0.3125
1430,POLYMED_minute,long,2024-08-14 15:21:00,2024-08-16 15:29:00,1877.1,1953.9,1,1877.1,1953.9,closed,76.8,4.0914
1467,POLYMED_minute,long,2024-08-19 15:21:00,2024-08-20 09:15:00,2128.8,2112.81,1,2128.8,2112.81,closed,-15.99,-0.7512
1487,POLYMED_minute,long,2024-08-21 15:21:00,2024-08-22 09:15:00,2184.3,2164.93,1,2184.3,2164.93,closed,-19.37,-0.8867
