,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
152,RAILTEL_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,365.8,362.34,1,365.8,362.34,closed,-3.46,-0.9459
166,RAILTEL_minute,long,2024-02-14 15:21:00,2024-02-15 09:15:00,376.0,379.07,1,376.0,379.07,closed,3.07,0.8168
238,RAILTEL_minute,long,2024-02-26 15:21:00,2024-02-27 09:15:00,426.85,417.5,1,426.85,417.5,closed,-9.35,-2.1905
263,RAILTEL_minute,long,2024-02-29 15:21:00,2024-03-01 09:15:00,448.45,453.92,1,448.45,453.92,closed,5.47,1.2186
311,RAILTEL_minute,long,2024-03-05 15:21:00,2024-03-06 09:15:00,438.25,433.97,1,438.25,433.97,closed,-4.28,-0.9774
411,RAILTEL_minute,long,2024-03-20 15:21:00,2024-03-21 09:15:00,351.05,355.1,1,351.05,355.1,closed,4.05,1.1537
440,RAILTEL_minute,long,2024-03-22 15:21:00,2024-03-26 09:18:00,360.55,359.77,1,360.55,359.77,closed,-0.78,-0.2174
461,RAILTEL_minute,long,2024-03-27 15:21:00,2024-03-28 09:16:00,368.5,370.16,1,368.5,370.16,closed,1.66,0.4507
482,RAILTEL_minute,long,2024-04-01 15:21:00,2024-04-02 09:15:00,390.05,386.15,1,390.05,386.15,closed,-3.9,-1.0
552,RAILTEL_minute,long,2024-04-09 15:21:00,2024-04-10 09:15:00,386.8,384.02,1,386.8,384.02,closed,-2.78,-0.7185
629,RAILTEL_minute,long,2024-04-19 15:21:00,2024-04-22 09:17:00,364.7,371.45,1,364.7,371.45,closed,6.75,1.8503
695,RAILTEL_minute,long,2024-04-26 15:21:00,2024-04-29 15:29:00,403.7,399.6,1,403.7,399.6,closed,-4.1,-1.0156
791,RAILTEL_minute,long,2024-05-14 15:21:00,2024-05-15 09:15:00,392.25,388.33,1,392.25,388.33,closed,-3.92,-1.0
918,RAILTEL_minute,long,2024-05-31 15:21:00,2024-06-03 09:15:00,415.7,437.58,1,415.7,437.58,closed,21.88,5.2634
933,RAILTEL_minute,long,2024-06-03 15:21:00,2024-06-04 09:15:00,429.35,425.06,1,429.35,425.06,closed,-4.29,-1.0
959,RAILTEL_minute,long,2024-06-06 15:21:00,2024-06-07 09:15:00,380.3,377.49,1,380.3,377.49,closed,-2.81,-0.7397
975,RAILTEL_minute,long,2024-06-07 15:21:00,2024-06-10 09:15:00,379.0,390.0,1,379.0,390.0,closed,11.0,2.9024
979,RAILTEL_minute,long,2024-06-10 15:21:00,2024-06-11 09:15:00,383.1,387.0,1,383.1,387.0,closed,3.9,1.018
1084,RAILTEL_minute,long,2024-06-27 15:21:00,2024-06-28 15:29:00,463.8,465.25,1,463.8,465.25,closed,1.45,0.3126
1107,RAILTEL_minute,long,2024-07-02 15:21:00,2024-07-03 09:16:00,481.85,479.06,1,481.85,479.06,closed,-2.79,-0.5788
1128,RAILTEL_minute,long,2024-07-04 15:21:00,2024-07-05 09:16:00,486.15,488.7,1,486.15,488.7,closed,2.55,0.5245
1170,RAILTEL_minute,long,2024-07-10 15:21:00,2024-07-11 09:15:00,524.0,520.49,1,524.0,520.49,closed,-3.51,-0.6694
1241,RAILTEL_minute,long,2024-07-24 15:21:00,2024-07-25 09:15:00,508.0,503.17,1,508.0,503.17,closed,-4.83,-0.9513
1356,RAILTEL_minute,long,2024-08-07 15:21:00,2024-08-08 09:18:00,465.9,463.22,1,465.9,463.22,closed,-2.68,-0.575
1380,RAILTEL_minute,long,2024-08-09 15:21:00,2024-08-12 09:15:00,472.0,467.28,1,472.0,467.28,closed,-4.72,-1.0
1401,RAILTEL_minute,long,2024-08-12 15:21:00,2024-08-13 15:29:00,483.65,476.0,1,483.65,476.0,closed,-7.65,-1.5817
1414,RAILTEL_minute,long,2024-08-14 15:21:00,2024-08-16 15:29:00,465.75,476.15,1,465.75,476.15,closed,10.4,2.233
1430,RAILTEL_minute,long,2024-08-16 15:21:00,2024-08-19 15:29:00,475.55,475.95,1,475.55,475.95,closed,0.4,0.0841
1494,RAILTEL_minute,long,2024-08-26 15:21:00,2024-08-27 15:29:00,502.9,499.6,1,502.9,499.6,closed,-3.3,-0.6562
