,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
43,RKFORGE_minute,long,2024-01-25 15:21:00,2024-01-29 15:29:00,740.45,748.5,1,740.45,748.5,closed,8.05,1.0872
75,RKFORGE_minute,long,2024-01-31 15:21:00,2024-02-01 09:15:00,764.65,760.32,1,764.65,760.32,closed,-4.33,-0.5663
144,RKFORGE_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,734.7,726.9,1,734.7,726.9,closed,-7.8,-1.0617
216,RKFORGE_minute,long,2024-02-22 15:21:00,2024-02-23 09:15:00,737.6,748.0,1,737.6,748.0,closed,10.4,1.41
264,RKFORGE_minute,long,2024-02-29 15:21:00,2024-03-01 09:15:00,781.45,789.48,1,781.45,789.48,closed,8.03,1.027
290,RKFORGE_minute,long,2024-03-01 15:21:00,2024-03-02 12:29:00,774.7,782.3,1,774.7,782.3,closed,7.6,0.981
433,RKFORGE_minute,long,2024-03-22 15:21:00,2024-03-26 09:15:00,683.15,676.32,1,683.15,676.32,closed,-6.83,-1.0
451,RKFORGE_minute,long,2024-03-27 15:21:00,2024-03-28 09:15:00,700.75,693.74,1,700.75,693.74,closed,-7.01,-1.0
495,RKFORGE_minute,long,2024-04-02 15:21:00,2024-04-03 09:15:00,717.1,709.93,1,717.1,709.93,closed,-7.17,-1.0
631,RKFORGE_minute,long,2024-04-19 15:21:00,2024-04-22 09:15:00,778.7,734.0,1,778.7,734.0,closed,-44.7,-5.7403
763,RKFORGE_minute,long,2024-05-10 15:21:00,2024-05-13 09:15:00,695.8,688.84,1,695.8,688.84,closed,-6.96,-1.0
800,RKFORGE_minute,long,2024-05-15 15:21:00,2024-05-16 15:29:00,717.15,711.95,1,717.15,711.95,closed,-5.2,-0.7251
1104,RKFORGE_minute,long,2024-07-01 15:21:00,2024-07-02 15:29:00,913.35,911.5,1,913.35,911.5,closed,-1.85,-0.2026
1126,RKFORGE_minute,long,2024-07-03 15:21:00,2024-07-04 09:15:00,963.7,954.06,1,963.7,954.06,closed,-9.64,-1.0
1155,RKFORGE_minute,long,2024-07-08 15:21:00,2024-07-09 15:29:00,957.1,932.2,1,957.1,932.2,closed,-24.9,-2.6016
1287,RKFORGE_minute,long,2024-07-30 15:21:00,2024-07-31 09:18:00,858.0,856.05,1,858.0,856.05,closed,-1.95,-0.2269
1295,RKFORGE_minute,long,2024-07-31 15:21:00,2024-08-01 09:15:00,860.0,861.2,1,860.0,861.2,closed,1.2,0.1397
1315,RKFORGE_minute,long,2024-08-01 15:21:00,2024-08-02 09:15:00,848.8,840.31,1,848.8,840.31,closed,-8.49,-1.0
1385,RKFORGE_minute,long,2024-08-12 15:21:00,2024-08-13 15:29:00,929.75,925.0,1,929.75,925.0,closed,-4.75,-0.5109
1411,RKFORGE_minute,long,2024-08-13 15:21:00,2024-08-14 09:16:00,929.35,923.03,1,929.35,923.03,closed,-6.32,-0.6804
1519,RKFORGE_minute,long,2024-08-29 15:21:00,2024-08-30 09:16:00,965.3,973.0,1,965.3,973.0,closed,7.7,0.7977
1647,RKFORGE_minute,long,2024-09-13 15:21:00,2024-09-16 09:15:00,1012.9,1020.45,1,1012.9,1020.45,closed,7.55,0.7454
1689,RKFORGE_minute,long,2024-09-19 15:21:00,2024-09-20 09:17:00,1003.1,1001.53,1,1003.1,1001.53,closed,-1.57,-0.1562
1705,RKFORGE_minute,long,2024-09-20 15:21:00,2024-09-23 09:17:00,1008.1,1005.44,1,1008.1,1005.44,closed,-2.66,-0.2635
1801,RKFORGE_minute,long,2024-10-03 15:21:00,2024-10-04 09:15:00,985.0,980.0,1,985.0,980.0,closed,-5.0,-0.5076
1868,RKFORGE_minute,long,2024-10-10 15:21:00,2024-10-11 15:29:00,972.3,996.1,1,972.3,996.1,closed,23.8,2.4478
1886,RKFORGE_minute,long,2024-10-14 15:21:00,2024-10-15 09:16:00,1031.65,1053.41,1,1031.65,1053.41,closed,21.76,2.1092
2021,RKFORGE_minute,long,2024-10-29 15:21:00,2024-10-30 09:19:00,883.35,883.77,1,883.35,883.77,closed,0.42,0.0479
2202,RKFORGE_minute,long,2024-11-18 15:21:00,2024-11-19 09:16:00,942.85,952.23,1,942.85,952.23,closed,9.38,0.995
2215,RKFORGE_minute,long,2024-11-21 15:21:00,2024-11-22 15:29:00,965.65,963.2,1,965.65,963.2,closed,-2.45,-0.2537
2356,RKFORGE_minute,long,2024-12-02 15:21:00,2024-12-03 09:15:00,969.4,969.9,1,969.4,969.9,closed,0.5,0.0516
2390,RKFORGE_minute,long,2024-12-04 15:21:00,2024-12-05 09:16:00,969.65,971.19,1,969.65,971.19,closed,1.54,0.1588
2480,RKFORGE_minute,long,2024-12-18 15:21:00,2024-12-19 09:15:00,900.55,896.89,1,900.55,896.89,closed,-3.66,-0.4064
