,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
139,SBICARD_minute,long,2024-02-08 15:21:00,2024-02-09 09:18:00,722.25,717.6,1,722.25,717.6,closed,-4.65,-0.6436
174,SBICARD_minute,long,2024-02-14 15:21:00,2024-02-15 15:29:00,718.2,714.2,1,718.2,714.2,closed,-4.0,-0.5569
221,SBICARD_minute,long,2024-02-20 15:21:00,2024-02-21 15:29:00,740.0,736.6,1,740.0,736.6,closed,-3.4,-0.4595
323,SBICARD_minute,long,2024-03-06 15:21:00,2024-03-07 15:29:00,702.45,706.9,1,702.45,706.9,closed,4.45,0.6335
343,SBICARD_minute,long,2024-03-11 15:21:00,2024-03-12 15:29:00,704.55,699.0,1,704.55,699.0,closed,-5.55,-0.7877
447,SBICARD_minute,long,2024-03-21 15:21:00,2024-03-22 15:29:00,702.95,703.3,1,702.95,703.3,closed,0.35,0.0498
558,SBICARD_minute,long,2024-04-04 15:21:00,2024-04-05 15:29:00,694.45,731.0,1,694.45,731.0,closed,36.55,5.2632
568,SBICARD_minute,long,2024-04-05 15:21:00,2024-04-08 09:15:00,731.25,735.42,1,731.25,735.42,closed,4.17,0.5705
607,SBICARD_minute,long,2024-04-15 15:21:00,2024-04-16 09:15:00,721.45,714.0,1,721.45,714.0,closed,-7.45,-1.0326
638,SBICARD_minute,long,2024-04-18 15:21:00,2024-04-19 09:15:00,727.95,720.0,1,727.95,720.0,closed,-7.95,-1.0921
768,SBICARD_minute,long,2024-05-07 15:21:00,2024-05-08 15:29:00,716.6,712.2,1,716.6,712.2,closed,-4.4,-0.614
797,SBICARD_minute,long,2024-05-10 15:21:00,2024-05-13 15:29:00,721.1,719.35,1,721.1,719.35,closed,-1.75,-0.2427
827,SBICARD_minute,long,2024-05-13 15:21:00,2024-05-14 15:29:00,721.3,718.75,1,721.3,718.75,closed,-2.55,-0.3535
853,SBICARD_minute,long,2024-05-16 15:21:00,2024-05-17 15:29:00,713.55,714.75,1,713.55,714.75,closed,1.2,0.1682
