,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
18,STARHEALTH_minute,long,2024-01-20 15:21:00,2024-01-23 09:15:00,575.0,569.25,1,575.0,569.25,closed,-5.75,-1.0
26,STARHEALTH_minute,long,2024-01-23 15:21:00,2024-01-24 09:15:00,565.2,559.55,1,565.2,559.55,closed,-5.65,-1.0
51,STARHEALTH_minute,long,2024-01-29 15:21:00,2024-01-30 09:16:00,558.5,554.65,1,558.5,554.65,closed,-3.85,-0.6898
115,STARHEALTH_minute,long,2024-02-07 15:21:00,2024-02-08 09:16:00,575.05,571.23,1,575.05,571.23,closed,-3.82,-0.6643
125,STARHEALTH_minute,long,2024-02-08 15:21:00,2024-02-09 09:15:00,562.55,561.83,1,562.55,561.83,closed,-0.72,-0.1289
190,STARHEALTH_minute,long,2024-02-16 15:21:00,2024-02-19 09:15:00,553.65,568.0,1,553.65,568.0,closed,14.35,2.5919
229,STARHEALTH_minute,long,2024-02-22 15:21:00,2024-02-23 15:29:00,560.45,562.95,1,560.45,562.95,closed,2.5,0.4461
249,STARHEALTH_minute,long,2024-02-23 15:21:00,2024-02-26 15:29:00,564.0,576.35,1,564.0,576.35,closed,12.35,2.1897
259,STARHEALTH_minute,long,2024-02-26 15:21:00,2024-02-27 15:29:00,576.15,578.3,1,576.15,578.3,closed,2.15,0.3732
288,STARHEALTH_minute,long,2024-02-29 15:21:00,2024-03-01 09:15:00,565.65,559.99,1,565.65,559.99,closed,-5.66,-1.0
314,STARHEALTH_minute,long,2024-03-05 15:21:00,2024-03-06 09:18:00,555.3,550.64,1,555.3,550.64,closed,-4.66,-0.8395
325,STARHEALTH_minute,long,2024-03-06 15:21:00,2024-03-07 09:15:00,555.0,549.9,1,555.0,549.9,closed,-5.1,-0.9197
333,STARHEALTH_minute,long,2024-03-07 15:21:00,2024-03-11 15:29:00,549.75,557.2,1,549.75,557.2,closed,7.45,1.3552
353,STARHEALTH_minute,long,2024-03-13 15:21:00,2024-03-14 09:15:00,545.35,539.9,1,545.35,539.9,closed,-5.45,-1.0
378,STARHEALTH_minute,long,2024-03-15 15:21:00,2024-03-18 09:15:00,559.4,553.81,1,559.4,553.81,closed,-5.59,-1.0
386,STARHEALTH_minute,long,2024-03-18 15:21:00,2024-03-19 09:15:00,553.05,547.52,1,553.05,547.52,closed,-5.53,-1.0
