,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
11,SUNTV_minute,long,2024-01-20 15:21:00,2024-01-23 15:29:00,664.05,620.4,1,664.05,620.4,closed,-43.65,-6.5733
39,SUNTV_minute,long,2024-01-24 15:21:00,2024-01-25 15:29:00,644.15,654.0,1,644.15,654.0,closed,9.85,1.5291
157,SUNTV_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,614.85,608.7,1,614.85,608.7,closed,-6.15,-1.0
167,SUNTV_minute,long,2024-02-14 15:21:00,2024-02-15 09:15:00,627.5,616.35,1,627.5,616.35,closed,-11.15,-1.7769
300,SUNTV_minute,long,2024-03-04 15:21:00,2024-03-05 09:15:00,640.0,635.53,1,640.0,635.53,closed,-4.47,-0.6984
364,SUNTV_minute,long,2024-03-14 15:21:00,2024-03-15 15:29:00,593.5,591.0,1,593.5,591.0,closed,-2.5,-0.4212
375,SUNTV_minute,long,2024-03-15 15:21:00,2024-03-18 15:29:00,589.95,591.4,1,589.95,591.4,closed,1.45,0.2458
403,SUNTV_minute,long,2024-03-20 15:21:00,2024-03-21 15:29:00,575.9,594.2,1,575.9,594.2,closed,18.3,3.1776
462,SUNTV_minute,long,2024-03-28 15:21:00,2024-04-01 15:29:00,600.0,609.35,1,600.0,609.35,closed,9.35,1.5583
479,SUNTV_minute,long,2024-04-02 15:21:00,2024-04-03 15:29:00,616.0,621.9,1,616.0,621.9,closed,5.9,0.9578
492,SUNTV_minute,long,2024-04-03 15:21:00,2024-04-04 15:29:00,622.15,618.45,1,622.15,618.45,closed,-3.7,-0.5947
572,SUNTV_minute,long,2024-04-15 15:21:00,2024-04-16 09:15:00,608.65,598.0,1,608.65,598.0,closed,-10.65,-1.7498
591,SUNTV_minute,long,2024-04-18 15:21:00,2024-04-19 09:15:00,610.55,599.0,1,610.55,599.0,closed,-11.55,-1.8917
643,SUNTV_minute,long,2024-04-25 15:21:00,2024-04-26 09:15:00,636.55,630.18,1,636.55,630.18,closed,-6.37,-1.0
664,SUNTV_minute,long,2024-04-29 15:21:00,2024-04-30 15:29:00,656.1,655.4,1,656.1,655.4,closed,-0.7,-0.1067
702,SUNTV_minute,long,2024-05-08 15:21:00,2024-05-09 15:29:00,650.1,656.05,1,650.1,656.05,closed,5.95,0.9152
715,SUNTV_minute,long,2024-05-10 15:21:00,2024-05-13 15:29:00,671.95,670.65,1,671.95,670.65,closed,-1.3,-0.1935
737,SUNTV_minute,long,2024-05-13 15:21:00,2024-05-14 09:19:00,669.2,674.39,1,669.2,674.39,closed,5.19,0.7753
803,SUNTV_minute,long,2024-05-22 15:21:00,2024-05-23 09:16:00,676.25,669.49,1,676.25,669.49,closed,-6.76,-1.0
842,SUNTV_minute,long,2024-05-29 15:21:00,2024-05-30 15:29:00,653.2,668.65,1,653.2,668.65,closed,15.45,2.3653
859,SUNTV_minute,long,2024-05-31 15:21:00,2024-06-03 09:15:00,656.0,655.25,1,656.0,655.25,closed,-0.75,-0.1143
960,SUNTV_minute,long,2024-06-14 15:21:00,2024-06-18 15:29:00,755.2,758.5,1,755.2,758.5,closed,3.3,0.437
969,SUNTV_minute,long,2024-06-19 15:21:00,2024-06-20 09:17:00,765.4,767.89,1,765.4,767.89,closed,2.49,0.3258
984,SUNTV_minute,long,2024-06-20 15:21:00,2024-06-21 15:29:00,770.75,774.25,1,770.75,774.25,closed,3.5,0.4541
1015,SUNTV_minute,long,2024-06-25 15:21:00,2024-06-26 09:15:00,750.4,752.0,1,750.4,752.0,closed,1.6,0.2132
1055,SUNTV_minute,long,2024-07-01 15:21:00,2024-07-02 15:29:00,778.5,783.9,1,778.5,783.9,closed,5.4,0.6936
1085,SUNTV_minute,long,2024-07-03 15:21:00,2024-07-04 09:15:00,796.35,791.85,1,796.35,791.85,closed,-4.5,-0.5649
1095,SUNTV_minute,long,2024-07-04 15:21:00,2024-07-05 09:15:00,780.95,780.42,1,780.95,780.42,closed,-0.53,-0.0683
1109,SUNTV_minute,long,2024-07-05 15:21:00,2024-07-08 15:29:00,785.25,783.8,1,785.25,783.8,closed,-1.45,-0.1847
1113,SUNTV_minute,long,2024-07-08 15:21:00,2024-07-09 15:29:00,784.8,791.8,1,784.8,791.8,closed,7.0,0.8919
1137,SUNTV_minute,long,2024-07-11 15:21:00,2024-07-12 15:29:00,812.65,808.3,1,812.65,808.3,closed,-4.35,-0.5353
1213,SUNTV_minute,long,2024-07-25 15:21:00,2024-07-26 15:29:00,816.7,831.5,1,816.7,831.5,closed,14.8,1.8122
1231,SUNTV_minute,long,2024-07-29 15:21:00,2024-07-30 15:29:00,867.3,879.8,1,867.3,879.8,closed,12.5,1.4413
1245,SUNTV_minute,long,2024-07-30 15:21:00,2024-07-31 15:29:00,880.0,898.75,1,880.0,898.75,closed,18.75,2.1307
1259,SUNTV_minute,long,2024-07-31 15:21:00,2024-08-01 15:29:00,902.35,889.25,1,902.35,889.25,closed,-13.1,-1.4518
1278,SUNTV_minute,long,2024-08-02 15:21:00,2024-08-05 09:15:00,893.45,884.52,1,893.45,884.52,closed,-8.93,-1.0
