,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
107,THERMAX_minute,long,2024-02-06 15:21:00,2024-02-07 09:15:00,3273.0,3296.7,1,3273.0,3296.7,closed,23.7,0.7241
118,THERMAX_minute,long,2024-02-07 15:21:00,2024-02-08 09:15:00,3280.0,3306.06,1,3280.0,3306.06,closed,26.06,0.7944
197,THERMAX_minute,long,2024-02-16 15:21:00,2024-02-19 15:29:00,3449.95,3483.85,1,3449.95,3483.85,closed,33.9,0.9826
310,THERMAX_minute,long,2024-03-06 15:21:00,2024-03-07 15:29:00,3575.0,3628.8,1,3575.0,3628.8,closed,53.8,1.5049
367,THERMAX_minute,long,2024-03-15 15:21:00,2024-03-18 09:15:00,3475.8,3474.06,1,3475.8,3474.06,closed,-1.74,-0.0501
400,THERMAX_minute,long,2024-03-18 15:21:00,2024-03-19 09:15:00,3696.5,3677.75,1,3696.5,3677.75,closed,-18.75,-0.5072
443,THERMAX_minute,long,2024-03-26 15:21:00,2024-03-27 09:15:00,4104.9,4063.85,1,4104.9,4063.85,closed,-41.05,-1.0
468,THERMAX_minute,long,2024-03-28 15:21:00,2024-04-01 09:15:00,4200.0,4210.1,1,4200.0,4210.1,closed,10.1,0.2405
483,THERMAX_minute,long,2024-04-01 15:21:00,2024-04-02 09:15:00,4286.5,4274.87,1,4286.5,4274.87,closed,-11.63,-0.2713
562,THERMAX_minute,long,2024-04-12 15:21:00,2024-04-15 09:15:00,4554.85,4535.69,1,4554.85,4535.69,closed,-19.16,-0.4208
581,THERMAX_minute,long,2024-04-15 15:21:00,2024-04-16 09:19:00,4740.6,4732.05,1,4740.6,4732.05,closed,-8.55,-0.1803
597,THERMAX_minute,long,2024-04-18 15:21:00,2024-04-19 09:15:00,4754.9,4720.07,1,4754.9,4720.07,closed,-34.83,-0.7325
706,THERMAX_minute,long,2024-04-30 15:21:00,2024-05-02 09:15:00,4667.1,4677.95,1,4667.1,4677.95,closed,10.85,0.2324
841,THERMAX_minute,long,2024-05-21 15:21:00,2024-05-22 09:15:00,5038.45,5063.7,1,5038.45,5063.7,closed,25.25,0.5011
855,THERMAX_minute,long,2024-05-22 15:21:00,2024-05-23 09:15:00,5044.95,5043.06,1,5044.95,5043.06,closed,-1.89,-0.0375
886,THERMAX_minute,long,2024-05-27 15:21:00,2024-05-28 09:16:00,5299.9,5270.66,1,5299.9,5270.66,closed,-29.24,-0.5517
908,THERMAX_minute,long,2024-05-30 15:21:00,2024-05-31 09:19:00,5428.65,5477.97,1,5428.65,5477.97,closed,49.32,0.9085
