,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
203,ULTRACEMCO_minute,long,2024-02-20 15:21:00,2024-02-21 15:29:00,9986.65,9960.05,1,9986.65,9960.05,closed,-26.6,-0.2664
248,ULTRACEMCO_minute,long,2024-02-29 15:21:00,2024-03-01 15:29:00,9908.7,10132.15,1,9908.7,10132.15,closed,223.45,2.2551
346,ULTRACEMCO_minute,long,2024-03-14 15:21:00,2024-03-15 15:29:00,9704.4,9592.2,1,9704.4,9592.2,closed,-112.2,-1.1562
408,ULTRACEMCO_minute,long,2024-03-19 15:21:00,2024-03-20 15:29:00,9454.55,9483.45,1,9454.55,9483.45,closed,28.9,0.3057
453,ULTRACEMCO_minute,long,2024-03-27 15:21:00,2024-03-28 15:29:00,9645.2,9754.95,1,9645.2,9754.95,closed,109.75,1.1379
482,ULTRACEMCO_minute,long,2024-04-02 15:21:00,2024-04-03 09:17:00,10055.15,10174.92,1,10055.15,10174.92,closed,119.77,1.1912
526,ULTRACEMCO_minute,long,2024-04-09 15:21:00,2024-04-10 15:29:00,9770.0,9800.0,1,9770.0,9800.0,closed,30.0,0.3071
579,ULTRACEMCO_minute,long,2024-04-18 15:21:00,2024-04-19 09:15:00,9389.3,9295.41,1,9389.3,9295.41,closed,-93.89,-1.0
619,ULTRACEMCO_minute,long,2024-04-24 15:21:00,2024-04-25 09:16:00,9675.85,9579.09,1,9675.85,9579.09,closed,-96.76,-1.0
694,ULTRACEMCO_minute,long,2024-05-03 15:21:00,2024-05-06 15:29:00,9829.75,9776.85,1,9829.75,9776.85,closed,-52.9,-0.5382
778,ULTRACEMCO_minute,long,2024-05-14 15:21:00,2024-05-15 15:29:00,9687.0,9619.9,1,9687.0,9619.9,closed,-67.1,-0.6927
784,ULTRACEMCO_minute,long,2024-05-15 15:21:00,2024-05-16 15:29:00,9620.0,9707.9,1,9620.0,9707.9,closed,87.9,0.9137
799,ULTRACEMCO_minute,long,2024-05-16 15:21:00,2024-05-17 15:29:00,9709.2,9895.0,1,9709.2,9895.0,closed,185.8,1.9136
896,ULTRACEMCO_minute,long,2024-05-31 15:21:00,2024-06-03 09:17:00,9921.3,10224.52,1,9921.3,10224.52,closed,303.22,3.0563
930,ULTRACEMCO_minute,long,2024-06-03 15:21:00,2024-06-04 09:15:00,10478.35,10393.52,1,10478.35,10393.52,closed,-84.84,-0.8096
944,ULTRACEMCO_minute,long,2024-06-06 15:21:00,2024-06-07 15:29:00,10064.3,10448.0,1,10064.3,10448.0,closed,383.7,3.8125
988,ULTRACEMCO_minute,long,2024-06-13 15:21:00,2024-06-14 15:29:00,11200.1,11250.25,1,11200.1,11250.25,closed,50.15,0.4478
1003,ULTRACEMCO_minute,long,2024-06-18 15:21:00,2024-06-19 15:29:00,11123.0,10990.35,1,11123.0,10990.35,closed,-132.65,-1.1926
1071,ULTRACEMCO_minute,long,2024-06-27 15:21:00,2024-06-28 09:15:00,11742.85,11625.42,1,11742.85,11625.42,closed,-117.43,-1.0
1117,ULTRACEMCO_minute,long,2024-07-03 15:21:00,2024-07-04 15:29:00,11878.05,11780.0,1,11878.05,11780.0,closed,-98.05,-0.8255
