,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
60,ZYDUSLIFE,long,2024-01-29 15:21:00,2024-01-30 15:29:00,749.05,758.35,1,749.05,758.35,closed,9.3,1.2416
123,ZYDUSLIFE,long,2024-02-07 15:21:00,2024-02-08 15:29:00,791.6,805.0,1,791.6,805.0,closed,13.4,1.6928
177,ZYDUSLIFE,long,2024-02-14 15:21:00,2024-02-15 15:29:00,869.8,882.7,1,869.8,882.7,closed,12.9,1.4831
185,ZYDUSLIFE,long,2024-02-15 15:21:00,2024-02-16 15:29:00,878.0,892.0,1,878.0,892.0,closed,14.0,1.5945
209,ZYDUSLIFE,long,2024-02-19 15:21:00,2024-02-20 15:29:00,907.65,895.85,1,907.65,895.85,closed,-11.8,-1.3001
253,ZYDUSLIFE,long,2024-02-22 15:21:00,2024-02-23 15:29:00,905.0,919.6,1,905.0,919.6,closed,14.6,1.6133
304,ZYDUSLIFE,long,2024-02-29 15:21:00,2024-03-01 09:16:00,946.45,938.87,1,946.45,938.87,closed,-7.58,-0.8013
340,ZYDUSLIFE,long,2024-03-07 15:21:00,2024-03-11 15:29:00,977.45,998.0,1,977.45,998.0,closed,20.55,2.1024
383,ZYDUSLIFE,long,2024-03-14 15:21:00,2024-03-15 09:15:00,993.5,980.95,1,993.5,980.95,closed,-12.55,-1.2632
393,ZYDUSLIFE,long,2024-03-15 15:21:00,2024-03-18 15:29:00,985.3,993.0,1,985.3,993.0,closed,7.7,0.7815
550,ZYDUSLIFE,long,2024-04-04 15:21:00,2024-04-05 15:29:00,983.85,1006.65,1,983.85,1006.65,closed,22.8,2.3174
593,ZYDUSLIFE,long,2024-04-15 15:21:00,2024-04-16 09:16:00,935.35,931.45,1,935.35,931.45,closed,-3.9,-0.417
621,ZYDUSLIFE,long,2024-04-16 15:21:00,2024-04-18 15:29:00,946.4,936.1,1,946.4,936.1,closed,-10.3,-1.0883
648,ZYDUSLIFE,long,2024-04-19 15:21:00,2024-04-22 09:15:00,924.1,936.15,1,924.1,936.15,closed,12.05,1.304
776,ZYDUSLIFE,long,2024-05-06 15:21:00,2024-05-07 09:16:00,1021.3,1022.67,1,1021.3,1022.67,closed,1.37,0.1341
836,ZYDUSLIFE,long,2024-05-14 15:21:00,2024-05-15 15:29:00,986.2,999.25,1,986.2,999.25,closed,13.05,1.3233
882,ZYDUSLIFE,long,2024-05-17 15:21:00,2024-05-18 12:29:00,1046.0,1103.95,1,1046.0,1103.95,closed,57.95,5.5402
898,ZYDUSLIFE,long,2024-05-21 15:21:00,2024-05-22 09:19:00,1086.9,1085.58,1,1086.9,1085.58,closed,-1.32,-0.121
913,ZYDUSLIFE,long,2024-05-22 15:21:00,2024-05-23 09:15:00,1084.65,1082.91,1,1084.65,1082.91,closed,-1.74,-0.1603
947,ZYDUSLIFE,long,2024-05-28 15:21:00,2024-05-29 09:15:00,1055.95,1044.15,1,1055.95,1044.15,closed,-11.8,-1.1175
1000,ZYDUSLIFE,long,2024-05-31 15:21:00,2024-06-03 09:15:00,1001.85,1034.55,1,1001.85,1034.55,closed,32.7,3.264
1042,ZYDUSLIFE,long,2024-06-06 15:21:00,2024-06-07 09:15:00,1045.7,1036.0,1,1045.7,1036.0,closed,-9.7,-0.9276
1092,ZYDUSLIFE,long,2024-06-13 15:21:00,2024-06-14 15:29:00,1090.65,1110.5,1,1090.65,1110.5,closed,19.85,1.82
1099,ZYDUSLIFE,long,2024-06-14 15:21:00,2024-06-18 09:15:00,1110.85,1099.74,1,1110.85,1099.74,closed,-11.11,-1.0
1113,ZYDUSLIFE,long,2024-06-18 15:21:00,2024-06-19 15:29:00,1078.65,1074.75,1,1078.65,1074.75,closed,-3.9,-0.3616
1132,ZYDUSLIFE,long,2024-06-20 15:21:00,2024-06-21 15:29:00,1092.05,1084.75,1,1092.05,1084.75,closed,-7.3,-0.6685
1174,ZYDUSLIFE,long,2024-06-25 15:21:00,2024-06-26 09:15:00,1073.7,1067.47,1,1073.7,1067.47,closed,-6.23,-0.5805
1190,ZYDUSLIFE,long,2024-06-27 15:21:00,2024-06-28 09:15:00,1060.45,1063.0,1,1060.45,1063.0,closed,2.55,0.2405
1217,ZYDUSLIFE,long,2024-06-28 15:21:00,2024-07-01 09:15:00,1074.1,1085.73,1,1074.1,1085.73,closed,11.63,1.083
1366,ZYDUSLIFE,long,2024-07-22 15:21:00,2024-07-23 15:29:00,1155.2,1149.9,1,1155.2,1149.9,closed,-5.3,-0.4588
1436,ZYDUSLIFE,long,2024-07-30 15:21:00,2024-07-31 15:29:00,1219.95,1249.5,1,1219.95,1249.5,closed,29.55,2.4222
1484,ZYDUSLIFE,long,2024-08-02 15:21:00,2024-08-05 09:15:00,1249.8,1210.05,1,1249.8,1210.05,closed,-39.75,-3.1805
1530,ZYDUSLIFE,long,2024-08-08 15:21:00,2024-08-09 09:15:00,1279.7,1293.9,1,1279.7,1293.9,closed,14.2,1.1096
1536,ZYDUSLIFE,long,2024-08-09 15:21:00,2024-08-12 09:15:00,1303.75,1290.71,1,1303.75,1290.71,closed,-13.04,-1.0
1579,ZYDUSLIFE,long,2024-08-16 15:21:00,2024-08-19 15:29:00,1188.0,1181.0,1,1188.0,1181.0,closed,-7.0,-0.5892
1614,ZYDUSLIFE,long,2024-08-20 15:21:00,2024-08-21 15:29:00,1195.5,1207.45,1,1195.5,1207.45,closed,11.95,0.9996
1639,ZYDUSLIFE,long,2024-08-22 15:21:00,2024-08-23 15:29:00,1211.65,1182.0,1,1211.65,1182.0,closed,-29.65,-2.4471
1686,ZYDUSLIFE,long,2024-08-29 15:21:00,2024-08-30 15:29:00,1134.9,1116.0,1,1134.9,1116.0,closed,-18.9,-1.6653
1733,ZYDUSLIFE,long,2024-09-03 15:21:00,2024-09-04 15:29:00,1114.35,1127.55,1,1114.35,1127.55,closed,13.2,1.1845
1819,ZYDUSLIFE,long,2024-09-16 15:21:00,2024-09-17 15:29:00,1116.8,1108.65,1,1116.8,1108.65,closed,-8.15,-0.7298
1855,ZYDUSLIFE,long,2024-09-20 15:21:00,2024-09-23 15:29:00,1056.95,1054.0,1,1056.95,1054.0,closed,-2.95,-0.2791
1915,ZYDUSLIFE,long,2024-09-26 15:21:00,2024-09-27 09:15:00,1069.0,1056.0,1,1069.0,1056.0,closed,-13.0,-1.2161
1935,ZYDUSLIFE,long,2024-09-27 15:21:00,2024-09-30 15:29:00,1077.5,1071.15,1,1077.5,1071.15,closed,-6.35,-0.5893
2042,ZYDUSLIFE,long,2024-10-11 15:21:00,2024-10-14 15:29:00,1065.75,1061.85,1,1065.75,1061.85,closed,-3.9,-0.3659
2142,ZYDUSLIFE,long,2024-10-25 15:21:00,2024-10-28 09:15:00,990.5,990.6,1,990.5,990.6,closed,0.1,0.0101
2207,ZYDUSLIFE,long,2024-10-31 15:21:00,2024-11-01 18:59:00,1003.1,1001.95,1,1003.1,1001.95,closed,-1.15,-0.1146
2233,ZYDUSLIFE,long,2024-11-05 15:21:00,2024-11-06 15:29:00,990.0,995.0,1,990.0,995.0,closed,5.0,0.5051
2316,ZYDUSLIFE,long,2024-11-14 15:21:00,2024-11-18 09:15:00,958.9,956.34,1,958.9,956.34,closed,-2.56,-0.267
2432,ZYDUSLIFE,long,2024-11-28 15:21:00,2024-11-29 15:29:00,950.45,965.2,1,950.45,965.2,closed,14.75,1.5519
2519,ZYDUSLIFE,long,2024-12-06 15:21:00,2024-12-09 15:29:00,995.9,985.0,1,995.9,985.0,closed,-10.9,-1.0945
2631,ZYDUSLIFE,long,2024-12-24 15:21:00,2024-12-26 15:29:00,965.0,959.45,1,965.0,959.45,closed,-5.55,-0.5751
2655,ZYDUSLIFE,long,2024-12-30 15:21:00,,956.2,0.0,1,956.2,0.0,open,0.0,0.0
