,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
54,ANGELONE_minute,long,2024-01-30 15:21:00,2024-01-31 15:29:00,3099.65,3283.05,1,3099.65,3283.05,closed,183.4,5.9168
109,ANGELONE_minute,long,2024-02-07 15:21:00,2024-02-08 15:29:00,3361.0,3401.0,1,3361.0,3401.0,closed,40.0,1.1901
171,ANGELONE_minute,long,2024-02-14 15:21:00,2024-02-15 15:29:00,3281.15,3268.35,1,3281.15,3268.35,closed,-12.8,-0.3901
202,ANGELONE_minute,long,2024-02-19 15:21:00,2024-02-20 15:29:00,3243.85,3147.65,1,3243.85,3147.65,closed,-96.2,-2.9656
229,ANGELONE_minute,long,2024-02-22 15:21:00,2024-02-23 15:29:00,3063.95,3034.55,1,3063.95,3034.55,closed,-29.4,-0.9595
329,ANGELONE_minute,long,2024-03-12 15:21:00,2024-03-13 15:29:00,2528.6,2410.6,1,2528.6,2410.6,closed,-118.0,-4.6666
341,ANGELONE_minute,long,2024-03-13 15:21:00,2024-03-14 15:29:00,2430.05,2655.05,1,2430.05,2655.05,closed,225.0,9.2591
357,ANGELONE_minute,long,2024-03-14 15:21:00,2024-03-15 15:29:00,2665.65,2615.5,1,2665.65,2615.5,closed,-50.15,-1.8813
379,ANGELONE_minute,long,2024-03-15 15:21:00,2024-03-18 15:29:00,2635.1,2529.75,1,2635.1,2529.75,closed,-105.35,-3.998
440,ANGELONE_minute,long,2024-03-27 15:21:00,2024-03-28 15:29:00,2975.75,3037.0,1,2975.75,3037.0,closed,61.25,2.0583
556,ANGELONE_minute,long,2024-04-15 15:21:00,2024-04-16 09:15:00,2846.3,2770.0,1,2846.3,2770.0,closed,-76.3,-2.6807
607,ANGELONE_minute,long,2024-04-22 15:21:00,2024-04-23 15:29:00,2832.1,2858.5,1,2832.1,2858.5,closed,26.4,0.9322
624,ANGELONE_minute,long,2024-04-23 15:21:00,2024-04-24 15:29:00,2857.35,2839.0,1,2857.35,2839.0,closed,-18.35,-0.6422
762,ANGELONE_minute,long,2024-05-14 15:21:00,2024-05-15 09:17:00,2616.85,2587.25,1,2616.85,2587.25,closed,-29.6,-1.1312
772,ANGELONE_minute,long,2024-05-15 15:21:00,2024-05-16 15:29:00,2689.9,2725.0,1,2689.9,2725.0,closed,35.1,1.3049
774,ANGELONE_minute,long,2024-05-16 15:21:00,2024-05-17 15:29:00,2725.65,2749.5,1,2725.65,2749.5,closed,23.85,0.875
798,ANGELONE_minute,long,2024-05-17 15:21:00,2024-05-18 12:29:00,2755.45,2755.0,1,2755.45,2755.0,closed,-0.45,-0.0163
922,ANGELONE_minute,long,2024-06-06 15:21:00,2024-06-07 15:29:00,2523.1,2587.0,1,2523.1,2587.0,closed,63.9,2.5326
937,ANGELONE_minute,long,2024-06-07 15:21:00,2024-06-10 15:29:00,2595.4,2625.0,1,2595.4,2625.0,closed,29.6,1.1405
984,ANGELONE_minute,long,2024-06-18 15:21:00,2024-06-19 15:29:00,2655.8,2609.0,1,2655.8,2609.0,closed,-46.8,-1.7622
1008,ANGELONE_minute,long,2024-06-21 15:21:00,2024-06-24 15:29:00,2624.5,2577.55,1,2624.5,2577.55,closed,-46.95,-1.7889
