,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
7,APOLLOHOSP_minute,long,2024-01-19 15:21:00,2024-01-20 15:29:00,6092.05,6127.0,1,6092.05,6127.0,closed,34.95,0.5737
60,APOLLOHOSP_minute,long,2024-01-30 15:21:00,2024-01-31 15:29:00,6295.3,6369.75,1,6295.3,6369.75,closed,74.45,1.1826
64,APOLLOHOSP_minute,long,2024-01-31 15:21:00,2024-02-01 15:29:00,6358.35,6283.8,1,6358.35,6283.8,closed,-74.55,-1.1725
136,APOLLOHOSP_minute,long,2024-02-13 15:21:00,2024-02-14 15:29:00,6729.15,6760.0,1,6729.15,6760.0,closed,30.85,0.4585
194,APOLLOHOSP_minute,long,2024-02-19 15:21:00,2024-02-20 15:29:00,6664.05,6761.4,1,6664.05,6761.4,closed,97.35,1.4608
205,APOLLOHOSP_minute,long,2024-02-20 15:21:00,2024-02-21 15:29:00,6768.9,6749.75,1,6768.9,6749.75,closed,-19.15,-0.2829
263,APOLLOHOSP_minute,long,2024-02-29 15:21:00,2024-03-01 09:16:00,6110.1,5987.9,1,6110.1,5987.9,closed,-122.2,-2.0
305,APOLLOHOSP_minute,long,2024-03-06 15:21:00,2024-03-07 15:29:00,6062.3,6053.1,1,6062.3,6053.1,closed,-9.2,-0.1518
321,APOLLOHOSP_minute,long,2024-03-11 15:21:00,2024-03-12 15:29:00,6208.35,6150.35,1,6208.35,6150.35,closed,-58.0,-0.9342
343,APOLLOHOSP_minute,long,2024-03-14 15:21:00,2024-03-15 15:29:00,6031.25,6003.8,1,6031.25,6003.8,closed,-27.45,-0.4551
534,APOLLOHOSP_minute,long,2024-04-10 15:21:00,2024-04-12 15:29:00,6491.4,6406.9,1,6491.4,6406.9,closed,-84.5,-1.3017
563,APOLLOHOSP_minute,long,2024-04-16 15:21:00,2024-04-18 15:29:00,6342.95,6087.25,1,6342.95,6087.25,closed,-255.7,-4.0312
583,APOLLOHOSP_minute,long,2024-04-18 15:21:00,2024-04-19 15:29:00,6058.0,6150.0,1,6058.0,6150.0,closed,92.0,1.5187
631,APOLLOHOSP_minute,long,2024-04-24 15:21:00,2024-04-25 15:29:00,6294.35,6361.05,1,6294.35,6361.05,closed,66.7,1.0597
898,APOLLOHOSP_minute,long,2024-05-31 15:21:00,2024-06-03 15:29:00,5853.15,5854.0,1,5853.15,5854.0,closed,0.85,0.0145
925,APOLLOHOSP_minute,long,2024-06-03 15:21:00,2024-06-04 09:15:00,5850.9,5733.88,1,5850.9,5733.88,closed,-117.02,-2.0
1001,APOLLOHOSP_minute,long,2024-06-18 15:21:00,2024-06-19 15:29:00,6246.15,6151.0,1,6246.15,6151.0,closed,-95.15,-1.5233
1008,APOLLOHOSP_minute,long,2024-06-19 15:21:00,2024-06-20 15:29:00,6175.4,6165.75,1,6175.4,6165.75,closed,-9.65,-0.1563
1033,APOLLOHOSP_minute,long,2024-06-21 15:21:00,2024-06-24 15:29:00,6173.9,6254.35,1,6173.9,6254.35,closed,80.45,1.3031
1142,APOLLOHOSP_minute,long,2024-07-04 15:21:00,2024-07-05 15:29:00,6223.6,6338.0,1,6223.6,6338.0,closed,114.4,1.8382
1203,APOLLOHOSP_minute,long,2024-07-15 15:21:00,2024-07-16 15:29:00,6442.65,6455.0,1,6442.65,6455.0,closed,12.35,0.1917
1310,APOLLOHOSP_minute,long,2024-07-31 15:21:00,2024-08-01 15:29:00,6620.75,6695.8,1,6620.75,6695.8,closed,75.05,1.1336
1454,APOLLOHOSP_minute,long,2024-08-21 15:21:00,2024-08-22 15:29:00,6769.05,6840.0,1,6769.05,6840.0,closed,70.95,1.0482
1526,APOLLOHOSP_minute,long,2024-08-29 15:21:00,2024-08-30 15:29:00,6863.5,6934.45,1,6863.5,6934.45,closed,70.95,1.0337
1536,APOLLOHOSP_minute,long,2024-08-30 15:21:00,2024-09-02 15:29:00,6938.75,6875.75,1,6938.75,6875.75,closed,-63.0,-0.9079
1559,APOLLOHOSP_minute,long,2024-09-02 15:21:00,2024-09-03 15:29:00,6877.9,6839.75,1,6877.9,6839.75,closed,-38.15,-0.5547
1564,APOLLOHOSP_minute,long,2024-09-03 15:21:00,2024-09-04 15:29:00,6841.55,6927.4,1,6841.55,6927.4,closed,85.85,1.2548
1625,APOLLOHOSP_minute,long,2024-09-09 15:21:00,2024-09-10 15:29:00,6863.2,6926.45,1,6863.2,6926.45,closed,63.25,0.9216
1705,APOLLOHOSP_minute,long,2024-09-19 15:21:00,2024-09-20 15:29:00,7030.1,7105.0,1,7030.1,7105.0,closed,74.9,1.0654
1783,APOLLOHOSP_minute,long,2024-09-26 15:21:00,2024-09-27 15:29:00,7164.05,7240.05,1,7164.05,7240.05,closed,76.0,1.0609
1789,APOLLOHOSP_minute,long,2024-09-27 15:21:00,2024-09-30 15:29:00,7266.9,7200.0,1,7266.9,7200.0,closed,-66.9,-0.9206
1846,APOLLOHOSP_minute,long,2024-10-07 15:21:00,2024-10-08 15:29:00,6779.35,6920.1,1,6779.35,6920.1,closed,140.75,2.0762
1905,APOLLOHOSP_minute,long,2024-10-10 15:21:00,2024-10-11 15:29:00,6958.65,6991.0,1,6958.65,6991.0,closed,32.35,0.4649
1987,APOLLOHOSP_minute,long,2024-10-22 15:21:00,2024-10-23 15:29:00,6895.15,6903.1,1,6895.15,6903.1,closed,7.95,0.1153
2008,APOLLOHOSP_minute,long,2024-10-24 15:21:00,2024-10-25 15:29:00,6962.1,6930.2,1,6962.1,6930.2,closed,-31.9,-0.4582
2171,APOLLOHOSP_minute,long,2024-11-13 15:21:00,2024-11-14 15:29:00,6868.9,6868.15,1,6868.9,6868.15,closed,-0.75,-0.0109
2190,APOLLOHOSP_minute,long,2024-11-14 15:21:00,2024-11-18 15:29:00,6882.8,6750.0,1,6882.8,6750.0,closed,-132.8,-1.9294
2207,APOLLOHOSP_minute,long,2024-11-18 15:21:00,2024-11-19 15:29:00,6746.6,6693.55,1,6746.6,6693.55,closed,-53.05,-0.7863
2237,APOLLOHOSP_minute,long,2024-11-21 15:21:00,2024-11-22 15:29:00,6750.2,6910.0,1,6750.2,6910.0,closed,159.8,2.3673
2263,APOLLOHOSP_minute,long,2024-11-25 15:21:00,2024-11-26 15:29:00,7088.1,7067.25,1,7088.1,7067.25,closed,-20.85,-0.2942
2304,APOLLOHOSP_minute,long,2024-11-28 15:21:00,2024-11-29 15:29:00,6850.3,6832.1,1,6850.3,6832.1,closed,-18.2,-0.2657
2314,APOLLOHOSP_minute,long,2024-11-29 15:21:00,2024-12-02 15:29:00,6828.5,7059.25,1,6828.5,7059.25,closed,230.75,3.3792
2362,APOLLOHOSP_minute,long,2024-12-04 15:21:00,2024-12-05 15:29:00,7238.05,7273.95,1,7238.05,7273.95,closed,35.9,0.496
2377,APOLLOHOSP_minute,long,2024-12-05 15:21:00,2024-12-06 15:29:00,7294.35,7231.45,1,7294.35,7231.45,closed,-62.9,-0.8623
2455,APOLLOHOSP_minute,long,2024-12-16 15:21:00,2024-12-17 15:29:00,7266.2,7213.8,1,7266.2,7213.8,closed,-52.4,-0.7211
2503,APOLLOHOSP_minute,long,2024-12-23 15:21:00,2024-12-24 15:29:00,7271.3,7229.75,1,7271.3,7229.75,closed,-41.55,-0.5714
2531,APOLLOHOSP_minute,long,2024-12-27 15:21:00,2024-12-30 15:29:00,7247.7,7345.0,1,7247.7,7345.0,closed,97.3,1.3425
2533,APOLLOHOSP_minute,long,2024-12-30 15:21:00,,7330.95,0.0,1,7330.95,0.0,open,0.0,0.0
