,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
67,CHAMBLFERT_minute,long,2024-01-31 15:21:00,2024-02-01 15:29:00,366.25,363.0,1,366.25,363.0,closed,-3.25,-0.8874
114,CHAMBLFERT_minute,long,2024-02-07 15:21:00,2024-02-08 09:16:00,377.85,370.29,1,377.85,370.29,closed,-7.56,-2.0
119,CHAMBLFERT_minute,long,2024-02-08 15:21:00,2024-02-09 15:29:00,362.6,361.45,1,362.6,361.45,closed,-1.15,-0.3172
200,CHAMBLFERT_minute,long,2024-02-19 15:21:00,2024-02-20 15:29:00,365.75,369.4,1,365.75,369.4,closed,3.65,0.9979
291,CHAMBLFERT_minute,long,2024-03-05 15:21:00,2024-03-06 15:29:00,357.55,357.75,1,357.55,357.75,closed,0.2,0.0559
381,CHAMBLFERT_minute,long,2024-03-15 15:21:00,2024-03-18 15:29:00,346.8,344.4,1,346.8,344.4,closed,-2.4,-0.692
426,CHAMBLFERT_minute,long,2024-03-26 15:21:00,2024-03-27 15:29:00,343.0,343.95,1,343.0,343.95,closed,0.95,0.277
494,CHAMBLFERT_minute,long,2024-04-03 15:21:00,2024-04-04 15:29:00,374.0,369.85,1,374.0,369.85,closed,-4.15,-1.1096
505,CHAMBLFERT_minute,long,2024-04-04 15:21:00,2024-04-05 15:29:00,369.25,380.8,1,369.25,380.8,closed,11.55,3.128
594,CHAMBLFERT_minute,long,2024-04-19 15:21:00,2024-04-22 15:29:00,369.9,372.35,1,369.9,372.35,closed,2.45,0.6623
617,CHAMBLFERT_minute,long,2024-04-23 15:21:00,2024-04-24 15:29:00,380.7,402.5,1,380.7,402.5,closed,21.8,5.7263
639,CHAMBLFERT_minute,long,2024-04-25 15:21:00,2024-04-26 15:29:00,409.05,424.75,1,409.05,424.75,closed,15.7,3.8382
644,CHAMBLFERT_minute,long,2024-04-26 15:21:00,2024-04-29 15:29:00,424.3,426.75,1,424.3,426.75,closed,2.45,0.5774
741,CHAMBLFERT_minute,long,2024-05-10 15:21:00,2024-05-13 15:29:00,393.45,392.6,1,393.45,392.6,closed,-0.85,-0.216
754,CHAMBLFERT_minute,long,2024-05-13 15:21:00,2024-05-14 15:29:00,392.6,398.9,1,392.6,398.9,closed,6.3,1.6047
789,CHAMBLFERT_minute,long,2024-05-16 15:21:00,2024-05-17 15:29:00,403.85,404.3,1,403.85,404.3,closed,0.45,0.1114
794,CHAMBLFERT_minute,long,2024-05-17 15:21:00,2024-05-18 12:29:00,405.4,400.05,1,405.4,400.05,closed,-5.35,-1.3197
878,CHAMBLFERT_minute,long,2024-05-31 15:21:00,2024-06-03 15:29:00,389.1,407.5,1,389.1,407.5,closed,18.4,4.7289
941,CHAMBLFERT_minute,long,2024-06-07 15:21:00,2024-06-10 15:29:00,407.65,424.85,1,407.65,424.85,closed,17.2,4.2193
954,CHAMBLFERT_minute,long,2024-06-11 15:21:00,2024-06-12 15:29:00,423.0,427.1,1,423.0,427.1,closed,4.1,0.9693
960,CHAMBLFERT_minute,long,2024-06-12 15:21:00,2024-06-13 15:29:00,427.35,434.5,1,427.35,434.5,closed,7.15,1.6731
1027,CHAMBLFERT_minute,long,2024-06-26 15:21:00,2024-06-27 09:15:00,521.75,511.32,1,521.75,511.32,closed,-10.44,-2.0
1082,CHAMBLFERT_minute,long,2024-07-02 15:21:00,2024-07-03 15:29:00,509.0,514.8,1,509.0,514.8,closed,5.8,1.1395
1084,CHAMBLFERT_minute,long,2024-07-03 15:21:00,2024-07-04 15:29:00,514.5,517.8,1,514.5,517.8,closed,3.3,0.6414
1132,CHAMBLFERT_minute,long,2024-07-10 15:21:00,2024-07-11 15:29:00,501.1,498.0,1,501.1,498.0,closed,-3.1,-0.6186
1161,CHAMBLFERT_minute,long,2024-07-15 15:21:00,2024-07-16 15:29:00,508.0,507.55,1,508.0,507.55,closed,-0.45,-0.0886
1203,CHAMBLFERT_minute,long,2024-07-22 15:21:00,2024-07-23 15:29:00,510.4,483.45,1,510.4,483.45,closed,-26.95,-5.2802
1230,CHAMBLFERT_minute,long,2024-07-25 15:21:00,2024-07-26 15:29:00,487.7,496.85,1,487.7,496.85,closed,9.15,1.8762
1255,CHAMBLFERT_minute,long,2024-07-29 15:21:00,2024-07-30 15:29:00,504.8,516.9,1,504.8,516.9,closed,12.1,2.397
1281,CHAMBLFERT_minute,long,2024-07-31 15:21:00,2024-08-01 15:29:00,518.2,521.85,1,518.2,521.85,closed,3.65,0.7044
1310,CHAMBLFERT_minute,long,2024-08-02 15:21:00,2024-08-05 09:15:00,524.65,514.16,1,524.65,514.16,closed,-10.49,-2.0
1323,CHAMBLFERT_minute,long,2024-08-05 15:21:00,2024-08-06 15:29:00,499.05,491.9,1,499.05,491.9,closed,-7.15,-1.4327
1409,CHAMBLFERT_minute,long,2024-08-19 15:21:00,2024-08-20 15:29:00,496.9,505.65,1,496.9,505.65,closed,8.75,1.7609
1430,CHAMBLFERT_minute,long,2024-08-20 15:21:00,2024-08-21 15:29:00,506.15,523.7,1,506.15,523.7,closed,17.55,3.4674
1489,CHAMBLFERT_minute,long,2024-08-27 15:21:00,2024-08-28 15:29:00,515.4,515.1,1,515.4,515.1,closed,-0.3,-0.0582
1508,CHAMBLFERT_minute,long,2024-08-29 15:21:00,2024-08-30 15:29:00,512.0,520.95,1,512.0,520.95,closed,8.95,1.748
1525,CHAMBLFERT_minute,long,2024-08-30 15:21:00,2024-09-02 15:29:00,521.35,529.0,1,521.35,529.0,closed,7.65,1.4673
1533,CHAMBLFERT_minute,long,2024-09-02 15:21:00,2024-09-03 15:29:00,528.6,527.55,1,528.6,527.55,closed,-1.05,-0.1986
1554,CHAMBLFERT_minute,long,2024-09-03 15:21:00,2024-09-04 09:15:00,529.05,518.47,1,529.05,518.47,closed,-10.58,-2.0
1606,CHAMBLFERT_minute,long,2024-09-09 15:21:00,2024-09-10 15:29:00,504.25,510.7,1,504.25,510.7,closed,6.45,1.2791
1610,CHAMBLFERT_minute,long,2024-09-10 15:21:00,2024-09-11 15:29:00,512.1,501.95,1,512.1,501.95,closed,-10.15,-1.982
1644,CHAMBLFERT_minute,long,2024-09-16 15:21:00,2024-09-17 15:29:00,515.15,518.1,1,515.15,518.1,closed,2.95,0.5726
1661,CHAMBLFERT_minute,long,2024-09-18 15:21:00,2024-09-19 15:29:00,520.55,478.95,1,520.55,478.95,closed,-41.6,-7.9915
1678,CHAMBLFERT_minute,long,2024-09-19 15:21:00,2024-09-20 15:29:00,480.3,481.25,1,480.3,481.25,closed,0.95,0.1978
1685,CHAMBLFERT_minute,long,2024-09-20 15:21:00,2024-09-23 15:29:00,482.2,490.5,1,482.2,490.5,closed,8.3,1.7213
1726,CHAMBLFERT_minute,long,2024-09-24 15:21:00,2024-09-25 15:29:00,500.6,515.95,1,500.6,515.95,closed,15.35,3.0663
1743,CHAMBLFERT_minute,long,2024-09-26 15:21:00,2024-09-27 15:29:00,508.45,524.55,1,508.45,524.55,closed,16.1,3.1665
1772,CHAMBLFERT_minute,long,2024-09-27 15:21:00,2024-09-30 15:29:00,526.85,529.95,1,526.85,529.95,closed,3.1,0.5884
1816,CHAMBLFERT_minute,long,2024-10-04 15:21:00,2024-10-07 15:29:00,499.1,479.9,1,499.1,479.9,closed,-19.2,-3.8469
1831,CHAMBLFERT_minute,long,2024-10-07 15:21:00,2024-10-08 15:29:00,480.3,497.45,1,480.3,497.45,closed,17.15,3.5707
1850,CHAMBLFERT_minute,long,2024-10-08 15:21:00,2024-10-09 15:29:00,496.5,495.4,1,496.5,495.4,closed,-1.1,-0.2216
1886,CHAMBLFERT_minute,long,2024-10-11 15:21:00,2024-10-14 15:29:00,499.1,501.85,1,499.1,501.85,closed,2.75,0.551
1919,CHAMBLFERT_minute,long,2024-10-16 15:21:00,2024-10-17 15:29:00,502.25,500.25,1,502.25,500.25,closed,-2.0,-0.3982
1929,CHAMBLFERT_minute,long,2024-10-17 15:21:00,2024-10-18 09:19:00,500.85,490.83,1,500.85,490.83,closed,-10.02,-2.0
1937,CHAMBLFERT_minute,long,2024-10-18 15:21:00,2024-10-21 15:29:00,493.45,485.15,1,493.45,485.15,closed,-8.3,-1.682
2005,CHAMBLFERT_minute,long,2024-10-25 15:21:00,2024-10-28 15:29:00,458.5,445.7,1,458.5,445.7,closed,-12.8,-2.7917
