,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
91,DELHIVERY_minute,long,2024-02-02 15:21:00,2024-02-05 09:15:00,475.05,465.55,1,475.05,465.55,closed,-9.5,-2.0
142,DELHIVERY_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,438.5,429.73,1,438.5,429.73,closed,-8.77,-2.0
151,DELHIVERY_minute,long,2024-02-14 15:21:00,2024-02-15 15:29:00,446.0,460.5,1,446.0,460.5,closed,14.5,3.2511
285,DELHIVERY_minute,long,2024-02-29 15:21:00,2024-03-01 09:16:00,473.95,465.45,1,473.95,465.45,closed,-8.5,-1.7932
319,DELHIVERY_minute,long,2024-03-06 15:21:00,2024-03-07 15:29:00,458.3,459.4,1,458.3,459.4,closed,1.1,0.24
366,DELHIVERY_minute,long,2024-03-15 15:21:00,2024-03-18 15:29:00,438.95,445.05,1,438.95,445.05,closed,6.1,1.3897
427,DELHIVERY_minute,long,2024-03-22 15:21:00,2024-03-26 09:16:00,464.55,456.34,1,464.55,456.34,closed,-8.21,-1.7679
603,DELHIVERY_minute,long,2024-04-16 15:21:00,2024-04-18 15:29:00,454.05,450.95,1,454.05,450.95,closed,-3.1,-0.6827
636,DELHIVERY_minute,long,2024-04-19 15:21:00,2024-04-22 15:29:00,454.35,449.05,1,454.35,449.05,closed,-5.3,-1.1665
692,DELHIVERY_minute,long,2024-04-25 15:21:00,2024-04-26 15:29:00,462.55,456.6,1,462.55,456.6,closed,-5.95,-1.2863
771,DELHIVERY_minute,long,2024-05-07 15:21:00,2024-05-08 15:29:00,447.0,452.1,1,447.0,452.1,closed,5.1,1.1409
835,DELHIVERY_minute,long,2024-05-15 15:21:00,2024-05-16 15:29:00,449.45,452.0,1,449.45,452.0,closed,2.55,0.5674
864,DELHIVERY_minute,long,2024-05-17 15:21:00,2024-05-18 12:29:00,453.9,431.1,1,453.9,431.1,closed,-22.8,-5.0231
888,DELHIVERY_minute,long,2024-05-22 15:21:00,2024-05-23 09:16:00,404.85,399.84,1,404.85,399.84,closed,-5.01,-1.2375
912,DELHIVERY_minute,long,2024-05-27 15:21:00,2024-05-28 15:29:00,414.75,416.3,1,414.75,416.3,closed,1.55,0.3737
927,DELHIVERY_minute,long,2024-05-28 15:21:00,2024-05-29 09:16:00,416.55,409.88,1,416.55,409.88,closed,-6.67,-1.6
960,DELHIVERY_minute,long,2024-05-31 15:21:00,2024-06-03 15:29:00,387.4,389.85,1,387.4,389.85,closed,2.45,0.6324
997,DELHIVERY_minute,long,2024-06-05 15:21:00,2024-06-06 15:29:00,379.0,383.7,1,379.0,383.7,closed,4.7,1.2401
1032,DELHIVERY_minute,long,2024-06-07 15:21:00,2024-06-10 15:29:00,385.85,390.25,1,385.85,390.25,closed,4.4,1.1403
1357,DELHIVERY_minute,long,2024-07-30 15:21:00,2024-07-31 09:16:00,406.2,398.96,1,406.2,398.96,closed,-7.24,-1.7829
1375,DELHIVERY_minute,long,2024-08-01 15:21:00,2024-08-02 09:15:00,406.2,398.08,1,406.2,398.08,closed,-8.12,-2.0
1384,DELHIVERY_minute,long,2024-08-02 15:21:00,2024-08-05 09:15:00,416.1,405.0,1,416.1,405.0,closed,-11.1,-2.6676
1429,DELHIVERY_minute,long,2024-08-08 15:21:00,2024-08-09 15:29:00,409.2,397.85,1,409.2,397.85,closed,-11.35,-2.7737
1450,DELHIVERY_minute,long,2024-08-12 15:21:00,2024-08-13 15:29:00,403.75,408.0,1,403.75,408.0,closed,4.25,1.0526
1475,DELHIVERY_minute,long,2024-08-14 15:21:00,2024-08-16 15:29:00,415.25,416.55,1,415.25,416.55,closed,1.3,0.3131
1509,DELHIVERY_minute,long,2024-08-20 15:21:00,2024-08-21 15:29:00,439.0,429.4,1,439.0,429.4,closed,-9.6,-2.1868
1605,DELHIVERY_minute,long,2024-08-30 15:21:00,2024-09-02 15:29:00,420.55,416.3,1,420.55,416.3,closed,-4.25,-1.0106
1695,DELHIVERY_minute,long,2024-09-11 15:21:00,2024-09-12 15:29:00,410.3,417.75,1,410.3,417.75,closed,7.45,1.8157
1730,DELHIVERY_minute,long,2024-09-17 15:21:00,2024-09-18 15:29:00,425.75,426.0,1,425.75,426.0,closed,0.25,0.0587
1817,DELHIVERY_minute,long,2024-09-26 15:21:00,2024-09-27 15:29:00,435.3,430.0,1,435.3,430.0,closed,-5.3,-1.2176
1855,DELHIVERY_minute,long,2024-09-27 15:21:00,2024-09-30 15:29:00,430.4,425.85,1,430.4,425.85,closed,-4.55,-1.0572
1871,DELHIVERY_minute,long,2024-10-03 15:21:00,2024-10-04 15:29:00,411.0,409.75,1,411.0,409.75,closed,-1.25,-0.3041
1893,DELHIVERY_minute,long,2024-10-07 15:21:00,2024-10-08 09:15:00,404.0,395.92,1,404.0,395.92,closed,-8.08,-2.0
1905,DELHIVERY_minute,long,2024-10-08 15:21:00,2024-10-09 15:29:00,417.95,413.8,1,417.95,413.8,closed,-4.15,-0.9929
1959,DELHIVERY_minute,long,2024-10-11 15:21:00,2024-10-14 15:29:00,412.0,418.0,1,412.0,418.0,closed,6.0,1.4563
