,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
48,ELGIEQUIP_minute,long,2024-01-30 15:21:00,2024-01-31 15:29:00,606.1,612.2,1,606.1,612.2,closed,6.1,1.0064
69,ELGIEQUIP_minute,long,2024-01-31 15:21:00,2024-02-01 15:29:00,614.85,614.8,1,614.85,614.8,closed,-0.05,-0.0081
88,ELGIEQUIP_minute,long,2024-02-05 15:21:00,2024-02-06 15:29:00,596.0,622.9,1,596.0,622.9,closed,26.9,4.5134
92,ELGIEQUIP_minute,long,2024-02-06 15:21:00,2024-02-07 15:29:00,616.15,653.0,1,616.15,653.0,closed,36.85,5.9807
225,ELGIEQUIP_minute,long,2024-02-27 15:21:00,2024-02-28 15:29:00,633.4,631.9,1,633.4,631.9,closed,-1.5,-0.2368
234,ELGIEQUIP_minute,long,2024-02-29 15:21:00,2024-03-01 09:18:00,654.95,668.0,1,654.95,668.0,closed,13.05,1.9925
280,ELGIEQUIP_minute,long,2024-03-06 15:21:00,2024-03-07 15:29:00,698.95,700.0,1,698.95,700.0,closed,1.05,0.1502
285,ELGIEQUIP_minute,long,2024-03-07 15:21:00,2024-03-11 15:29:00,699.1,684.95,1,699.1,684.95,closed,-14.15,-2.024
355,ELGIEQUIP_minute,long,2024-03-19 15:21:00,2024-03-20 15:29:00,630.05,598.35,1,630.05,598.35,closed,-31.7,-5.0313
516,ELGIEQUIP_minute,long,2024-04-15 15:21:00,2024-04-16 15:29:00,629.65,622.9,1,629.65,622.9,closed,-6.75,-1.072
574,ELGIEQUIP_minute,long,2024-04-22 15:21:00,2024-04-23 09:16:00,615.6,611.05,1,615.6,611.05,closed,-4.55,-0.7391
612,ELGIEQUIP_minute,long,2024-04-24 15:21:00,2024-04-25 09:16:00,616.7,606.57,1,616.7,606.57,closed,-10.13,-1.6425
718,ELGIEQUIP_minute,long,2024-05-10 15:21:00,2024-05-13 15:29:00,628.65,625.85,1,628.65,625.85,closed,-2.8,-0.4454
802,ELGIEQUIP_minute,long,2024-05-23 15:21:00,2024-05-24 15:29:00,648.5,643.95,1,648.5,643.95,closed,-4.55,-0.7016
882,ELGIEQUIP_minute,long,2024-06-04 15:21:00,2024-06-05 09:19:00,571.4,563.5,1,571.4,563.5,closed,-7.9,-1.3826
931,ELGIEQUIP_minute,long,2024-06-13 15:21:00,2024-06-14 15:29:00,657.0,685.45,1,657.0,685.45,closed,28.45,4.3303
966,ELGIEQUIP_minute,long,2024-06-20 15:21:00,2024-06-21 15:29:00,745.45,738.4,1,745.45,738.4,closed,-7.05,-0.9457
975,ELGIEQUIP_minute,long,2024-06-21 15:21:00,2024-06-24 15:29:00,737.8,763.1,1,737.8,763.1,closed,25.3,3.4291
993,ELGIEQUIP_minute,long,2024-06-25 15:21:00,2024-06-26 15:29:00,743.75,724.95,1,743.75,724.95,closed,-18.8,-2.5277
1017,ELGIEQUIP_minute,long,2024-06-28 15:21:00,2024-07-01 15:29:00,718.3,733.55,1,718.3,733.55,closed,15.25,2.1231
1026,ELGIEQUIP_minute,long,2024-07-01 15:21:00,2024-07-02 15:29:00,732.7,722.8,1,732.7,722.8,closed,-9.9,-1.3512
1060,ELGIEQUIP_minute,long,2024-07-05 15:21:00,2024-07-08 15:29:00,738.0,743.2,1,738.0,743.2,closed,5.2,0.7046
1069,ELGIEQUIP_minute,long,2024-07-08 15:21:00,2024-07-09 09:15:00,743.8,746.96,1,743.8,746.96,closed,3.16,0.4243
1091,ELGIEQUIP_minute,long,2024-07-11 15:21:00,2024-07-12 09:15:00,707.0,712.41,1,707.0,712.41,closed,5.41,0.7653
1104,ELGIEQUIP_minute,long,2024-07-15 15:21:00,2024-07-16 15:29:00,700.95,704.0,1,700.95,704.0,closed,3.05,0.4351
1113,ELGIEQUIP_minute,long,2024-07-16 15:21:00,2024-07-18 15:29:00,703.0,681.5,1,703.0,681.5,closed,-21.5,-3.0583
1146,ELGIEQUIP_minute,long,2024-07-23 15:21:00,2024-07-24 15:29:00,672.25,694.0,1,672.25,694.0,closed,21.75,3.2354
1179,ELGIEQUIP_minute,long,2024-07-26 15:21:00,2024-07-29 15:29:00,706.6,711.0,1,706.6,711.0,closed,4.4,0.6227
