,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
34,ERIS_minute,long,2024-01-24 15:21:00,2024-01-25 15:29:00,899.5,899.0,1,899.5,899.0,closed,-0.5,-0.0556
126,ERIS_minute,long,2024-02-07 15:21:00,2024-02-08 15:29:00,908.0,944.0,1,908.0,944.0,closed,36.0,3.9648
195,ERIS_minute,long,2024-02-16 15:21:00,2024-02-19 15:29:00,889.95,863.55,1,889.95,863.55,closed,-26.4,-2.9665
220,ERIS_minute,long,2024-02-21 15:21:00,2024-02-22 15:29:00,855.9,868.4,1,855.9,868.4,closed,12.5,1.4605
406,ERIS_minute,long,2024-03-19 15:21:00,2024-03-20 15:29:00,849.0,840.15,1,849.0,840.15,closed,-8.85,-1.0424
537,ERIS_minute,long,2024-04-05 15:21:00,2024-04-08 15:29:00,852.2,844.35,1,852.2,844.35,closed,-7.85,-0.9211
602,ERIS_minute,long,2024-04-18 15:21:00,2024-04-19 09:15:00,874.35,856.86,1,874.35,856.86,closed,-17.49,-2.0
612,ERIS_minute,long,2024-04-19 15:21:00,2024-04-22 15:29:00,876.95,882.5,1,876.95,882.5,closed,5.55,0.6329
703,ERIS_minute,long,2024-04-30 15:21:00,2024-05-02 15:29:00,893.25,890.0,1,893.25,890.0,closed,-3.25,-0.3638
747,ERIS_minute,long,2024-05-08 15:21:00,2024-05-09 09:15:00,874.2,857.74,1,874.2,857.74,closed,-16.46,-1.8823
778,ERIS_minute,long,2024-05-13 15:21:00,2024-05-14 15:29:00,852.35,875.55,1,852.35,875.55,closed,23.2,2.7219
858,ERIS_minute,long,2024-05-22 15:21:00,2024-05-23 15:29:00,907.55,885.0,1,907.55,885.0,closed,-22.55,-2.4847
982,ERIS_minute,long,2024-06-07 15:21:00,2024-06-10 09:15:00,995.4,999.99,1,995.4,999.99,closed,4.59,0.4613
1006,ERIS_minute,long,2024-06-13 15:21:00,2024-06-14 15:29:00,1027.7,1006.8,1,1027.7,1006.8,closed,-20.9,-2.0337
1023,ERIS_minute,long,2024-06-18 15:21:00,2024-06-19 15:29:00,1049.6,1038.05,1,1049.6,1038.05,closed,-11.55,-1.1004
1092,ERIS_minute,long,2024-06-27 15:21:00,2024-06-28 15:29:00,1031.55,1021.25,1,1031.55,1021.25,closed,-10.3,-0.9985
1107,ERIS_minute,long,2024-06-28 15:21:00,2024-07-01 15:29:00,1023.0,1049.0,1,1023.0,1049.0,closed,26.0,2.5415
1139,ERIS_minute,long,2024-07-02 15:21:00,2024-07-03 15:29:00,1043.6,1047.45,1,1043.6,1047.45,closed,3.85,0.3689
1196,ERIS_minute,long,2024-07-11 15:21:00,2024-07-12 15:29:00,1037.6,1040.0,1,1037.6,1040.0,closed,2.4,0.2313
1214,ERIS_minute,long,2024-07-15 15:21:00,2024-07-16 15:29:00,1016.95,1014.45,1,1016.95,1014.45,closed,-2.5,-0.2458
1236,ERIS_minute,long,2024-07-19 15:21:00,2024-07-22 15:29:00,1008.5,1016.0,1,1008.5,1016.0,closed,7.5,0.7437
1375,ERIS_minute,long,2024-08-07 15:21:00,2024-08-08 15:29:00,1126.3,1160.95,1,1126.3,1160.95,closed,34.65,3.0764
1472,ERIS_minute,long,2024-08-20 15:21:00,2024-08-21 15:29:00,1211.2,1216.45,1,1211.2,1216.45,closed,5.25,0.4335
1486,ERIS_minute,long,2024-08-21 15:21:00,2024-08-22 15:29:00,1211.45,1237.1,1,1211.45,1237.1,closed,25.65,2.1173
1515,ERIS_minute,long,2024-08-23 15:21:00,2024-08-26 15:29:00,1259.4,1269.8,1,1259.4,1269.8,closed,10.4,0.8258
1526,ERIS_minute,long,2024-08-26 15:21:00,2024-08-27 15:29:00,1274.95,1281.15,1,1274.95,1281.15,closed,6.2,0.4863
1574,ERIS_minute,long,2024-08-30 15:21:00,2024-09-02 15:29:00,1392.65,1423.0,1,1392.65,1423.0,closed,30.35,2.1793
1581,ERIS_minute,long,2024-09-02 15:21:00,2024-09-03 15:29:00,1423.1,1456.7,1,1423.1,1456.7,closed,33.6,2.361
1638,ERIS_minute,long,2024-09-06 15:21:00,2024-09-09 09:15:00,1451.1,1458.68,1,1451.1,1458.68,closed,7.58,0.5224
1662,ERIS_minute,long,2024-09-10 15:21:00,2024-09-11 09:19:00,1467.05,1450.01,1,1467.05,1450.01,closed,-17.04,-1.1617
1690,ERIS_minute,long,2024-09-11 15:21:00,2024-09-12 09:17:00,1452.3,1433.74,1,1452.3,1433.74,closed,-18.56,-1.278
1714,ERIS_minute,long,2024-09-13 15:21:00,2024-09-16 09:16:00,1395.0,1367.1,1,1395.0,1367.1,closed,-27.9,-2.0
1871,ERIS_minute,long,2024-10-01 15:21:00,2024-10-03 09:15:00,1321.45,1326.0,1,1321.45,1326.0,closed,4.55,0.3443
1875,ERIS_minute,long,2024-10-03 15:21:00,2024-10-04 15:29:00,1346.7,1350.95,1,1346.7,1350.95,closed,4.25,0.3156
1897,ERIS_minute,long,2024-10-07 15:21:00,2024-10-08 15:29:00,1322.6,1364.95,1,1322.6,1364.95,closed,42.35,3.202
1912,ERIS_minute,long,2024-10-08 15:21:00,2024-10-09 15:29:00,1371.95,1422.95,1,1371.95,1422.95,closed,51.0,3.7173
2003,ERIS_minute,long,2024-10-17 15:21:00,2024-10-18 09:16:00,1354.8,1329.32,1,1354.8,1329.32,closed,-25.48,-1.8806
2190,ERIS_minute,long,2024-11-08 15:21:00,2024-11-11 15:29:00,1304.6,1324.9,1,1304.6,1324.9,closed,20.3,1.556
2325,ERIS_minute,long,2024-11-25 15:21:00,2024-11-26 09:16:00,1482.85,1466.77,1,1482.85,1466.77,closed,-16.08,-1.0847
2343,ERIS_minute,long,2024-11-26 15:21:00,2024-11-27 15:29:00,1477.55,1470.05,1,1477.55,1470.05,closed,-7.5,-0.5076
2430,ERIS_minute,long,2024-12-03 15:21:00,2024-12-04 15:29:00,1470.6,1469.85,1,1470.6,1469.85,closed,-0.75,-0.051
2572,ERIS_minute,long,2024-12-19 15:21:00,2024-12-20 15:29:00,1397.9,1388.8,1,1397.9,1388.8,closed,-9.1,-0.651
2586,ERIS_minute,long,2024-12-20 15:21:00,2024-12-23 15:29:00,1376.6,1335.45,1,1376.6,1335.45,closed,-41.15,-2.9892
