,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
35,FACT_minute,long,2024-01-24 15:21:00,2024-01-25 15:29:00,823.65,887.0,1,823.65,887.0,closed,63.35,7.6914
44,FACT_minute,long,2024-01-25 15:21:00,2024-01-29 15:29:00,886.05,865.0,1,886.05,865.0,closed,-21.05,-2.3757
101,FACT_minute,long,2024-02-06 15:21:00,2024-02-07 15:29:00,807.1,784.7,1,807.1,784.7,closed,-22.4,-2.7754
164,FACT_minute,long,2024-02-14 15:21:00,2024-02-15 15:29:00,747.7,776.5,1,747.7,776.5,closed,28.8,3.8518
200,FACT_minute,long,2024-02-20 15:21:00,2024-02-21 15:29:00,836.5,840.0,1,836.5,840.0,closed,3.5,0.4184
361,FACT_minute,long,2024-03-14 15:21:00,2024-03-15 09:15:00,682.4,668.75,1,682.4,668.75,closed,-13.65,-2.0
450,FACT_minute,long,2024-03-27 15:21:00,2024-03-28 15:29:00,642.95,626.1,1,642.95,626.1,closed,-16.85,-2.6207
577,FACT_minute,long,2024-04-15 15:21:00,2024-04-16 15:29:00,653.75,666.05,1,653.75,666.05,closed,12.3,1.8815
649,FACT_minute,long,2024-04-22 15:21:00,2024-04-23 15:29:00,666.95,673.0,1,666.95,673.0,closed,6.05,0.9071
690,FACT_minute,long,2024-04-25 15:21:00,2024-04-26 15:29:00,717.65,717.65,1,717.65,717.65,closed,0.0,0.0
768,FACT_minute,long,2024-05-07 15:21:00,2024-05-08 15:29:00,684.75,677.8,1,684.75,677.8,closed,-6.95,-1.015
787,FACT_minute,long,2024-05-10 15:21:00,2024-05-13 09:16:00,661.95,650.62,1,661.95,650.62,closed,-11.33,-1.7113
830,FACT_minute,long,2024-05-15 15:21:00,2024-05-16 15:29:00,693.65,683.9,1,693.65,683.9,closed,-9.75,-1.4056
838,FACT_minute,long,2024-05-16 15:21:00,2024-05-17 09:15:00,687.0,673.26,1,687.0,673.26,closed,-13.74,-2.0
963,FACT_minute,long,2024-05-31 15:21:00,2024-06-03 09:16:00,673.4,686.0,1,673.4,686.0,closed,12.6,1.8711
1153,FACT_minute,long,2024-06-27 15:21:00,2024-06-28 15:29:00,964.65,984.5,1,964.65,984.5,closed,19.85,2.0577
1217,FACT_minute,long,2024-07-08 15:21:00,2024-07-09 09:16:00,1118.95,1121.12,1,1118.95,1121.12,closed,2.17,0.1939
1419,FACT_minute,long,2024-08-07 15:21:00,2024-08-08 15:29:00,969.2,959.4,1,969.2,959.4,closed,-9.8,-1.0111
1484,FACT_minute,long,2024-08-16 15:21:00,2024-08-19 15:29:00,924.3,926.75,1,924.3,926.75,closed,2.45,0.2651
1624,FACT_minute,long,2024-09-03 15:21:00,2024-09-04 09:15:00,1004.0,983.92,1,1004.0,983.92,closed,-20.08,-2.0
1645,FACT_minute,long,2024-09-05 15:21:00,2024-09-06 15:29:00,1007.35,973.05,1,1007.35,973.05,closed,-34.3,-3.405
1666,FACT_minute,long,2024-09-09 15:21:00,2024-09-10 15:29:00,974.8,996.6,1,974.8,996.6,closed,21.8,2.2364
1714,FACT_minute,long,2024-09-13 15:21:00,2024-09-16 15:29:00,996.7,987.0,1,996.7,987.0,closed,-9.7,-0.9732
1731,FACT_minute,long,2024-09-18 15:21:00,2024-09-19 15:29:00,1006.9,975.55,1,1006.9,975.55,closed,-31.35,-3.1135
1758,FACT_minute,long,2024-09-20 15:21:00,2024-09-23 15:29:00,978.0,981.55,1,978.0,981.55,closed,3.55,0.363
1857,FACT_minute,long,2024-09-30 15:21:00,2024-10-01 15:29:00,969.9,971.5,1,969.9,971.5,closed,1.6,0.165
1907,FACT_minute,long,2024-10-08 15:21:00,2024-10-09 15:29:00,878.65,883.0,1,878.65,883.0,closed,4.35,0.4951
1941,FACT_minute,long,2024-10-10 15:21:00,2024-10-11 15:29:00,931.0,917.95,1,931.0,917.95,closed,-13.05,-1.4017
2057,FACT_minute,long,2024-10-25 15:21:00,2024-10-28 15:29:00,789.95,824.0,1,789.95,824.0,closed,34.05,4.3104
2078,FACT_minute,long,2024-10-28 15:21:00,2024-10-29 15:29:00,829.7,830.5,1,829.7,830.5,closed,0.8,0.0964
2103,FACT_minute,long,2024-10-29 15:21:00,2024-10-30 15:29:00,830.1,862.75,1,830.1,862.75,closed,32.65,3.9333
2117,FACT_minute,long,2024-10-30 15:21:00,2024-10-31 15:29:00,864.95,861.65,1,864.95,861.65,closed,-3.3,-0.3815
2160,FACT_minute,long,2024-11-06 15:21:00,2024-11-07 09:16:00,894.6,893.65,1,894.6,893.65,closed,-0.95,-0.1062
2264,FACT_minute,long,2024-11-21 15:21:00,2024-11-22 15:29:00,811.35,829.0,1,811.35,829.0,closed,17.65,2.1754
2282,FACT_minute,long,2024-11-22 15:21:00,2024-11-25 15:29:00,830.95,833.95,1,830.95,833.95,closed,3.0,0.361
2304,FACT_minute,long,2024-11-26 15:21:00,2024-11-27 15:29:00,854.35,870.0,1,854.35,870.0,closed,15.65,1.8318
2370,FACT_minute,long,2024-12-02 15:21:00,2024-12-03 15:29:00,994.0,1010.0,1,994.0,1010.0,closed,16.0,1.6097
2394,FACT_minute,long,2024-12-04 15:21:00,2024-12-05 15:29:00,1002.7,1025.4,1,1002.7,1025.4,closed,22.7,2.2639
2428,FACT_minute,long,2024-12-06 15:21:00,2024-12-09 15:29:00,1029.5,996.05,1,1029.5,996.05,closed,-33.45,-3.2492
2446,FACT_minute,long,2024-12-09 15:21:00,2024-12-10 15:29:00,998.6,1021.55,1,998.6,1021.55,closed,22.95,2.2982
2483,FACT_minute,long,2024-12-16 15:21:00,2024-12-17 15:29:00,1011.6,1017.6,1,1011.6,1017.6,closed,6.0,0.5931
2500,FACT_minute,long,2024-12-18 15:21:00,2024-12-19 09:15:00,1001.9,981.86,1,1001.9,981.86,closed,-20.04,-2.0
2538,FACT_minute,long,2024-12-23 15:21:00,2024-12-24 15:29:00,930.9,961.9,1,930.9,961.9,closed,31.0,3.3301
2544,FACT_minute,long,2024-12-24 15:21:00,2024-12-26 15:29:00,964.9,945.4,1,964.9,945.4,closed,-19.5,-2.0209
2560,FACT_minute,long,2024-12-27 15:21:00,2024-12-30 15:29:00,964.0,959.7,1,964.0,959.7,closed,-4.3,-0.4461
