,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
10,GAEL_minute,long,2024-01-25 15:21:00,2024-01-29 09:18:00,176.45,192.42,1,176.45,192.42,closed,15.97,9.0524
20,GAEL_minute,long,2024-02-05 15:21:00,2024-02-06 15:29:00,195.3,193.3,1,195.3,193.3,closed,-2.0,-1.0241
33,GAEL_minute,long,2024-02-12 15:21:00,2024-02-13 15:29:00,180.4,179.5,1,180.4,179.5,closed,-0.9,-0.4989
56,GAEL_minute,long,2024-02-23 15:21:00,2024-02-26 15:29:00,204.6,206.75,1,204.6,206.75,closed,2.15,1.0508
57,GAEL_minute,long,2024-02-26 15:21:00,2024-02-27 15:29:00,205.95,204.5,1,205.95,204.5,closed,-1.45,-0.7041
240,GAEL_minute,long,2024-06-07 15:21:00,2024-06-10 15:29:00,152.75,153.43,1,152.75,153.43,closed,0.68,0.4452
275,GAEL_minute,long,2024-07-02 15:21:00,2024-07-03 15:29:00,136.17,136.8,1,136.17,136.8,closed,0.63,0.4627
285,GAEL_minute,long,2024-07-10 15:21:00,2024-07-11 15:29:00,136.08,136.0,1,136.08,136.0,closed,-0.08,-0.0588
307,GAEL_minute,long,2024-07-25 15:21:00,2024-07-26 09:15:00,139.75,140.14,1,139.75,140.14,closed,0.39,0.2791
323,GAEL_minute,long,2024-08-02 15:21:00,2024-08-05 09:15:00,137.95,135.0,1,137.95,135.0,closed,-2.95,-2.1385
348,GAEL_minute,long,2024-08-20 15:21:00,2024-08-21 15:29:00,135.49,138.5,1,135.49,138.5,closed,3.01,2.2216
357,GAEL_minute,long,2024-08-22 15:21:00,2024-08-23 15:29:00,138.59,136.13,1,138.59,136.13,closed,-2.46,-1.775
377,GAEL_minute,long,2024-09-03 15:21:00,2024-09-04 09:15:00,145.94,143.02,1,145.94,143.02,closed,-2.92,-2.0
386,GAEL_minute,long,2024-09-05 15:21:00,2024-09-06 15:29:00,145.6,143.24,1,145.6,143.24,closed,-2.36,-1.6209
432,GAEL_minute,long,2024-09-30 15:21:00,2024-10-01 15:29:00,127.81,126.15,1,127.81,126.15,closed,-1.66,-1.2988
445,GAEL_minute,long,2024-10-08 15:21:00,2024-10-09 15:29:00,130.63,142.7,1,130.63,142.7,closed,12.07,9.2398
450,GAEL_minute,long,2024-10-09 15:21:00,2024-10-10 09:16:00,143.12,140.26,1,143.12,140.26,closed,-2.86,-2.0
452,GAEL_minute,long,2024-10-10 15:21:00,2024-10-11 09:17:00,140.09,141.79,1,140.09,141.79,closed,1.7,1.2109
457,GAEL_minute,long,2024-10-15 15:21:00,2024-10-16 15:29:00,137.35,141.75,1,137.35,141.75,closed,4.4,3.2035
461,GAEL_minute,long,2024-10-16 15:21:00,2024-10-17 15:29:00,141.69,137.6,1,141.69,137.6,closed,-4.09,-2.8866
462,GAEL_minute,long,2024-10-17 15:21:00,2024-10-18 09:19:00,137.98,135.43,1,137.98,135.43,closed,-2.55,-1.8508
466,GAEL_minute,long,2024-10-21 15:21:00,2024-10-22 15:29:00,131.25,124.99,1,131.25,124.99,closed,-6.26,-4.7695
484,GAEL_minute,long,2024-10-29 15:21:00,2024-10-30 15:29:00,127.15,132.56,1,127.15,132.56,closed,5.41,4.2548
497,GAEL_minute,long,2024-11-05 15:21:00,2024-11-06 15:29:00,131.03,134.39,1,131.03,134.39,closed,3.36,2.5643
499,GAEL_minute,long,2024-11-06 15:21:00,2024-11-07 15:29:00,134.26,134.99,1,134.26,134.99,closed,0.73,0.5437
508,GAEL_minute,long,2024-11-13 15:21:00,2024-11-14 09:18:00,122.43,122.44,1,122.43,122.44,closed,0.01,0.0091
563,GAEL_minute,long,2024-12-06 15:21:00,2024-12-09 15:29:00,130.78,139.98,1,130.78,139.98,closed,9.2,7.0347
578,GAEL_minute,long,2024-12-13 15:21:00,2024-12-16 15:29:00,132.45,133.79,1,132.45,133.79,closed,1.34,1.0117
