,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
37,GLENMARK_minute,long,2024-01-24 15:21:00,2024-01-25 15:29:00,891.05,890.15,1,891.05,890.15,closed,-0.9,-0.101
46,GLENMARK_minute,long,2024-01-25 15:21:00,2024-01-29 15:29:00,891.45,900.25,1,891.45,900.25,closed,8.8,0.9872
103,GLENMARK_minute,long,2024-02-06 15:21:00,2024-02-07 15:29:00,885.7,876.9,1,885.7,876.9,closed,-8.8,-0.9936
108,GLENMARK_minute,long,2024-02-07 15:21:00,2024-02-08 15:29:00,877.7,859.55,1,877.7,859.55,closed,-18.15,-2.0679
159,GLENMARK_minute,long,2024-02-14 15:21:00,2024-02-15 09:15:00,800.5,771.0,1,800.5,771.0,closed,-29.5,-3.6852
190,GLENMARK_minute,long,2024-02-19 15:21:00,2024-02-20 15:29:00,863.45,893.95,1,863.45,893.95,closed,30.5,3.5323
201,GLENMARK_minute,long,2024-02-20 15:21:00,2024-02-21 15:29:00,889.75,900.0,1,889.75,900.0,closed,10.25,1.152
217,GLENMARK_minute,long,2024-02-22 15:21:00,2024-02-23 15:29:00,915.0,900.0,1,915.0,900.0,closed,-15.0,-1.6393
321,GLENMARK_minute,long,2024-03-06 15:21:00,2024-03-07 15:29:00,923.8,956.25,1,923.8,956.25,closed,32.45,3.5127
336,GLENMARK_minute,long,2024-03-11 15:21:00,2024-03-12 15:29:00,954.95,943.1,1,954.95,943.1,closed,-11.85,-1.2409
373,GLENMARK_minute,long,2024-03-14 15:21:00,2024-03-15 15:29:00,938.6,924.95,1,938.6,924.95,closed,-13.65,-1.4543
389,GLENMARK_minute,long,2024-03-15 15:21:00,2024-03-18 15:29:00,927.3,939.15,1,927.3,939.15,closed,11.85,1.2779
445,GLENMARK_minute,long,2024-03-26 15:21:00,2024-03-27 15:29:00,954.5,962.3,1,954.5,962.3,closed,7.8,0.8172
484,GLENMARK_minute,long,2024-04-01 15:21:00,2024-04-02 15:29:00,983.5,984.55,1,983.5,984.55,closed,1.05,0.1068
518,GLENMARK_minute,long,2024-04-03 15:21:00,2024-04-04 15:29:00,993.75,1008.0,1,993.75,1008.0,closed,14.25,1.434
523,GLENMARK_minute,long,2024-04-04 15:21:00,2024-04-05 15:29:00,1006.5,1015.0,1,1006.5,1015.0,closed,8.5,0.8445
538,GLENMARK_minute,long,2024-04-05 15:21:00,2024-04-08 15:29:00,1017.8,1040.0,1,1017.8,1040.0,closed,22.2,2.1812
565,GLENMARK_minute,long,2024-04-12 15:21:00,2024-04-15 09:15:00,1052.3,1031.0,1,1052.3,1031.0,closed,-21.3,-2.0241
634,GLENMARK_minute,long,2024-04-22 15:21:00,2024-04-23 15:29:00,1038.75,1035.05,1,1038.75,1035.05,closed,-3.7,-0.3562
665,GLENMARK_minute,long,2024-04-24 15:21:00,2024-04-25 15:29:00,1073.35,1079.95,1,1073.35,1079.95,closed,6.6,0.6149
693,GLENMARK_minute,long,2024-04-26 15:21:00,2024-04-29 15:29:00,1080.8,1073.8,1,1080.8,1073.8,closed,-7.0,-0.6477
752,GLENMARK_minute,long,2024-05-09 15:21:00,2024-05-10 15:29:00,1001.3,1024.95,1,1001.3,1024.95,closed,23.65,2.3619
774,GLENMARK_minute,long,2024-05-10 15:21:00,2024-05-13 15:29:00,1025.0,1034.6,1,1025.0,1034.6,closed,9.6,0.9366
809,GLENMARK_minute,long,2024-05-16 15:21:00,2024-05-17 15:29:00,1007.85,1017.6,1,1007.85,1017.6,closed,9.75,0.9674
827,GLENMARK_minute,long,2024-05-17 15:21:00,2024-05-18 12:29:00,1020.95,1041.5,1,1020.95,1041.5,closed,20.55,2.0128
844,GLENMARK_minute,long,2024-05-21 15:21:00,2024-05-22 15:29:00,1036.0,1031.0,1,1036.0,1031.0,closed,-5.0,-0.4826
855,GLENMARK_minute,long,2024-05-22 15:21:00,2024-05-23 09:15:00,1024.7,1015.72,1,1024.7,1015.72,closed,-8.98,-0.8763
876,GLENMARK_minute,long,2024-05-27 15:21:00,2024-05-28 15:29:00,1122.05,1159.45,1,1122.05,1159.45,closed,37.4,3.3332
934,GLENMARK_minute,long,2024-06-03 15:21:00,2024-06-04 09:15:00,1177.0,1165.22,1,1177.0,1165.22,closed,-11.78,-1.0008
956,GLENMARK_minute,long,2024-06-06 15:21:00,2024-06-07 15:29:00,1213.15,1199.0,1,1213.15,1199.0,closed,-14.15,-1.1664
1001,GLENMARK_minute,long,2024-06-14 15:21:00,2024-06-18 15:29:00,1239.6,1243.95,1,1239.6,1243.95,closed,4.35,0.3509
1057,GLENMARK_minute,long,2024-06-25 15:21:00,2024-06-26 15:29:00,1216.35,1229.0,1,1216.35,1229.0,closed,12.65,1.04
1067,GLENMARK_minute,long,2024-06-26 15:21:00,2024-06-27 15:29:00,1225.7,1218.15,1,1225.7,1218.15,closed,-7.55,-0.616
1091,GLENMARK_minute,long,2024-06-28 15:21:00,2024-07-01 15:29:00,1229.75,1267.0,1,1229.75,1267.0,closed,37.25,3.0291
1138,GLENMARK_minute,long,2024-07-04 15:21:00,2024-07-05 09:15:00,1296.4,1295.0,1,1296.4,1295.0,closed,-1.4,-0.108
