,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
5,GMDCLTD_minute,long,2024-01-19 15:21:00,2024-01-20 15:29:00,474.4,475.8,1,474.4,475.8,closed,1.4,0.2951
41,GMDCLTD_minute,long,2024-01-24 15:21:00,2024-01-25 15:29:00,460.75,458.0,1,460.75,458.0,closed,-2.75,-0.5969
150,GMDCLTD_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,399.55,391.56,1,399.55,391.56,closed,-7.99,-2.0
171,GMDCLTD_minute,long,2024-02-14 15:21:00,2024-02-15 15:29:00,406.55,417.75,1,406.55,417.75,closed,11.2,2.7549
187,GMDCLTD_minute,long,2024-02-15 15:21:00,2024-02-16 15:29:00,419.3,409.6,1,419.3,409.6,closed,-9.7,-2.3134
212,GMDCLTD_minute,long,2024-02-20 15:21:00,2024-02-21 15:29:00,411.2,402.35,1,411.2,402.35,closed,-8.85,-2.1522
278,GMDCLTD_minute,long,2024-03-01 15:21:00,2024-03-02 12:29:00,398.25,398.0,1,398.25,398.0,closed,-0.25,-0.0628
364,GMDCLTD_minute,long,2024-03-14 15:21:00,2024-03-15 09:15:00,347.25,342.02,1,347.25,342.02,closed,-5.23,-1.5061
403,GMDCLTD_minute,long,2024-03-19 15:21:00,2024-03-20 15:29:00,342.0,344.75,1,342.0,344.75,closed,2.75,0.8041
413,GMDCLTD_minute,long,2024-03-20 15:21:00,2024-03-21 09:15:00,344.1,343.0,1,344.1,343.0,closed,-1.1,-0.3197
503,GMDCLTD_minute,long,2024-04-03 15:21:00,2024-04-04 15:29:00,391.65,390.15,1,391.65,390.15,closed,-1.5,-0.383
545,GMDCLTD_minute,long,2024-04-09 15:21:00,2024-04-10 15:29:00,394.35,408.3,1,394.35,408.3,closed,13.95,3.5375
568,GMDCLTD_minute,long,2024-04-15 15:21:00,2024-04-16 15:29:00,389.5,387.85,1,389.5,387.85,closed,-1.65,-0.4236
608,GMDCLTD_minute,long,2024-04-18 15:21:00,2024-04-19 09:15:00,384.45,376.76,1,384.45,376.76,closed,-7.69,-2.0
621,GMDCLTD_minute,long,2024-04-19 15:21:00,2024-04-22 15:29:00,388.9,389.7,1,388.9,389.7,closed,0.8,0.2057
629,GMDCLTD_minute,long,2024-04-22 15:21:00,2024-04-23 15:29:00,390.6,401.5,1,390.6,401.5,closed,10.9,2.7906
679,GMDCLTD_minute,long,2024-04-26 15:21:00,2024-04-29 15:29:00,435.65,433.05,1,435.65,433.05,closed,-2.6,-0.5968
726,GMDCLTD_minute,long,2024-05-03 15:21:00,2024-05-06 15:29:00,451.3,429.8,1,451.3,429.8,closed,-21.5,-4.764
862,GMDCLTD_minute,long,2024-05-23 15:21:00,2024-05-24 15:29:00,419.3,409.0,1,419.3,409.0,closed,-10.3,-2.4565
875,GMDCLTD_minute,long,2024-05-24 15:21:00,2024-05-27 15:29:00,408.1,402.0,1,408.1,402.0,closed,-6.1,-1.4947
1078,GMDCLTD_minute,long,2024-06-26 15:21:00,2024-06-27 15:29:00,401.2,396.5,1,401.2,396.5,closed,-4.7,-1.1715
1183,GMDCLTD_minute,long,2024-07-10 15:21:00,2024-07-11 15:29:00,423.45,422.25,1,423.45,422.25,closed,-1.2,-0.2834
1211,GMDCLTD_minute,long,2024-07-15 15:21:00,2024-07-16 15:29:00,422.45,416.4,1,422.45,416.4,closed,-6.05,-1.4321
1484,GMDCLTD_minute,long,2024-08-21 15:21:00,2024-08-22 15:29:00,372.6,370.85,1,372.6,370.85,closed,-1.75,-0.4697
1510,GMDCLTD_minute,long,2024-08-22 15:21:00,2024-08-23 15:29:00,371.0,371.25,1,371.0,371.25,closed,0.25,0.0674
