,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
64,GRINDWELL_minute,long,2024-01-29 15:21:00,2024-01-30 15:29:00,2424.15,2332.15,1,2424.15,2332.15,closed,-92.0,-3.7951
119,GRINDWELL_minute,long,2024-02-06 15:21:00,2024-02-07 15:29:00,2273.85,2241.05,1,2273.85,2241.05,closed,-32.8,-1.4425
149,GRINDWELL_minute,long,2024-02-09 15:21:00,2024-02-12 15:29:00,2220.25,2219.9,1,2220.25,2219.9,closed,-0.35,-0.0158
182,GRINDWELL_minute,long,2024-02-14 15:21:00,2024-02-15 15:29:00,2201.15,2192.75,1,2201.15,2192.75,closed,-8.4,-0.3816
297,GRINDWELL_minute,long,2024-02-29 15:21:00,2024-03-01 15:29:00,2094.7,2092.5,1,2094.7,2092.5,closed,-2.2,-0.105
411,GRINDWELL_minute,long,2024-03-19 15:21:00,2024-03-20 15:29:00,1926.0,1907.65,1,1926.0,1907.65,closed,-18.35,-0.9528
428,GRINDWELL_minute,long,2024-03-20 15:21:00,2024-03-21 15:29:00,1920.35,1959.85,1,1920.35,1959.85,closed,39.5,2.0569
433,GRINDWELL_minute,long,2024-03-21 15:21:00,2024-03-22 15:29:00,1947.0,1961.35,1,1947.0,1961.35,closed,14.35,0.737
528,GRINDWELL_minute,long,2024-04-02 15:21:00,2024-04-03 15:29:00,2021.95,2042.05,1,2021.95,2042.05,closed,20.1,0.9941
719,GRINDWELL_minute,long,2024-04-29 15:21:00,2024-04-30 15:29:00,2069.2,2127.5,1,2069.2,2127.5,closed,58.3,2.8175
733,GRINDWELL_minute,long,2024-04-30 15:21:00,2024-05-02 15:29:00,2128.3,2120.0,1,2128.3,2120.0,closed,-8.3,-0.39
748,GRINDWELL_minute,long,2024-05-03 15:21:00,2024-05-06 15:29:00,2121.65,2186.3,1,2121.65,2186.3,closed,64.65,3.0472
797,GRINDWELL_minute,long,2024-05-13 15:21:00,2024-05-14 15:29:00,2241.6,2250.45,1,2241.6,2250.45,closed,8.85,0.3948
859,GRINDWELL_minute,long,2024-05-17 15:21:00,2024-05-18 12:29:00,2379.3,2368.0,1,2379.3,2368.0,closed,-11.3,-0.4749
924,GRINDWELL_minute,long,2024-05-29 15:21:00,2024-05-30 09:15:00,2585.9,2590.55,1,2585.9,2590.55,closed,4.65,0.1798
932,GRINDWELL_minute,long,2024-05-30 15:21:00,2024-05-31 15:29:00,2501.9,2569.0,1,2501.9,2569.0,closed,67.1,2.682
983,GRINDWELL_minute,long,2024-06-04 15:21:00,2024-06-05 09:18:00,2524.8,2497.53,1,2524.8,2497.53,closed,-27.27,-1.0801
1031,GRINDWELL_minute,long,2024-06-11 15:21:00,2024-06-12 15:29:00,2632.65,2684.65,1,2632.65,2684.65,closed,52.0,1.9752
1059,GRINDWELL_minute,long,2024-06-14 15:21:00,2024-06-18 15:29:00,2720.0,2710.0,1,2720.0,2710.0,closed,-10.0,-0.3676
1066,GRINDWELL_minute,long,2024-06-18 15:21:00,2024-06-19 15:29:00,2712.3,2736.0,1,2712.3,2736.0,closed,23.7,0.8738
1077,GRINDWELL_minute,long,2024-06-19 15:21:00,2024-06-20 15:29:00,2739.5,2752.0,1,2739.5,2752.0,closed,12.5,0.4563
1122,GRINDWELL_minute,long,2024-06-25 15:21:00,2024-06-26 15:29:00,2728.85,2760.95,1,2728.85,2760.95,closed,32.1,1.1763
1170,GRINDWELL_minute,long,2024-07-01 15:21:00,2024-07-02 15:29:00,2838.1,2867.85,1,2838.1,2867.85,closed,29.75,1.0482
1237,GRINDWELL_minute,long,2024-07-09 15:21:00,2024-07-10 15:29:00,2890.0,2790.35,1,2890.0,2790.35,closed,-99.65,-3.4481
1249,GRINDWELL_minute,long,2024-07-10 15:21:00,2024-07-11 15:29:00,2780.85,2730.0,1,2780.85,2730.0,closed,-50.85,-1.8286
1297,GRINDWELL_minute,long,2024-07-22 15:21:00,2024-07-23 15:29:00,2562.2,2563.95,1,2562.2,2563.95,closed,1.75,0.0683
1319,GRINDWELL_minute,long,2024-07-24 15:21:00,2024-07-25 09:17:00,2595.5,2548.0,1,2595.5,2548.0,closed,-47.5,-1.8301
1732,GRINDWELL_minute,long,2024-09-10 15:21:00,2024-09-11 15:29:00,2499.8,2475.2,1,2499.8,2475.2,closed,-24.6,-0.9841
1751,GRINDWELL_minute,long,2024-09-11 15:21:00,2024-09-12 15:29:00,2470.35,2455.0,1,2470.35,2455.0,closed,-15.35,-0.6214
1786,GRINDWELL_minute,long,2024-09-17 15:21:00,2024-09-18 15:29:00,2404.0,2377.95,1,2404.0,2377.95,closed,-26.05,-1.0836
1799,GRINDWELL_minute,long,2024-09-19 15:21:00,2024-09-20 09:17:00,2396.6,2367.14,1,2396.6,2367.14,closed,-29.46,-1.2292
1970,GRINDWELL_minute,long,2024-10-08 15:21:00,2024-10-09 15:29:00,2389.85,2380.05,1,2389.85,2380.05,closed,-9.8,-0.4101
1999,GRINDWELL_minute,long,2024-10-09 15:21:00,2024-10-10 15:29:00,2387.55,2450.7,1,2387.55,2450.7,closed,63.15,2.645
2076,GRINDWELL_minute,long,2024-10-16 15:21:00,2024-10-17 15:29:00,2521.55,2432.5,1,2521.55,2432.5,closed,-89.05,-3.5316
2081,GRINDWELL_minute,long,2024-10-17 15:21:00,2024-10-18 15:29:00,2441.2,2451.0,1,2441.2,2451.0,closed,9.8,0.4014
