,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
57,GRINFRA_minute,long,2024-01-29 15:21:00,2024-01-30 15:29:00,1185.1,1181.0,1,1185.1,1181.0,closed,-4.1,-0.346
138,GRINFRA_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,1208.8,1160.0,1,1208.8,1160.0,closed,-48.8,-4.0371
228,GRINFRA_minute,long,2024-02-22 15:21:00,2024-02-23 15:29:00,1273.0,1260.95,1,1273.0,1260.95,closed,-12.05,-0.9466
237,GRINFRA_minute,long,2024-02-23 15:21:00,2024-02-26 09:15:00,1265.05,1250.19,1,1265.05,1250.19,closed,-14.86,-1.175
273,GRINFRA_minute,long,2024-02-29 15:21:00,2024-03-01 15:29:00,1210.3,1227.95,1,1210.3,1227.95,closed,17.65,1.4583
305,GRINFRA_minute,long,2024-03-05 15:21:00,2024-03-06 09:15:00,1221.25,1196.82,1,1221.25,1196.82,closed,-24.42,-2.0
317,GRINFRA_minute,long,2024-03-06 15:21:00,2024-03-07 09:15:00,1225.6,1201.09,1,1225.6,1201.09,closed,-24.51,-2.0
371,GRINFRA_minute,long,2024-03-14 15:21:00,2024-03-15 15:29:00,1236.5,1234.7,1,1236.5,1234.7,closed,-1.8,-0.1456
425,GRINFRA_minute,long,2024-03-21 15:21:00,2024-03-22 15:29:00,1285.0,1311.0,1,1285.0,1311.0,closed,26.0,2.0233
460,GRINFRA_minute,long,2024-03-27 15:21:00,2024-03-28 15:29:00,1281.0,1305.0,1,1281.0,1305.0,closed,24.0,1.8735
562,GRINFRA_minute,long,2024-04-10 15:21:00,2024-04-12 15:29:00,1358.7,1345.5,1,1358.7,1345.5,closed,-13.2,-0.9715
687,GRINFRA_minute,long,2024-04-26 15:21:00,2024-04-29 09:15:00,1364.4,1352.4,1,1364.4,1352.4,closed,-12.0,-0.8795
798,GRINFRA_minute,long,2024-05-14 15:21:00,2024-05-15 15:29:00,1356.95,1450.0,1,1356.95,1450.0,closed,93.05,6.8573
825,GRINFRA_minute,long,2024-05-17 15:21:00,2024-05-18 12:29:00,1565.2,1553.05,1,1565.2,1553.05,closed,-12.15,-0.7763
868,GRINFRA_minute,long,2024-05-23 15:21:00,2024-05-24 15:29:00,1598.0,1608.15,1,1598.0,1608.15,closed,10.15,0.6352
890,GRINFRA_minute,long,2024-05-29 15:21:00,2024-05-30 15:29:00,1591.95,1551.15,1,1591.95,1551.15,closed,-40.8,-2.5629
901,GRINFRA_minute,long,2024-05-30 15:21:00,2024-05-31 15:29:00,1554.05,1620.95,1,1554.05,1620.95,closed,66.9,4.3049
943,GRINFRA_minute,long,2024-06-04 15:21:00,2024-06-05 09:18:00,1502.85,1510.03,1,1502.85,1510.03,closed,7.18,0.478
984,GRINFRA_minute,long,2024-06-11 15:21:00,2024-06-12 09:18:00,1700.0,1725.78,1,1700.0,1725.78,closed,25.78,1.5165
1000,GRINFRA_minute,long,2024-06-14 15:21:00,2024-06-18 15:29:00,1687.0,1703.9,1,1687.0,1703.9,closed,16.9,1.0018
1066,GRINFRA_minute,long,2024-06-26 15:21:00,2024-06-27 09:15:00,1842.05,1805.21,1,1842.05,1805.21,closed,-36.84,-2.0
1077,GRINFRA_minute,long,2024-06-27 15:21:00,2024-06-28 09:17:00,1750.15,1728.96,1,1750.15,1728.96,closed,-21.19,-1.2105
1205,GRINFRA_minute,long,2024-07-19 15:21:00,2024-07-22 15:29:00,1699.7,1698.0,1,1699.7,1698.0,closed,-1.7,-0.1
1227,GRINFRA_minute,long,2024-07-23 15:21:00,2024-07-24 15:29:00,1726.3,1706.75,1,1726.3,1706.75,closed,-19.55,-1.1325
1301,GRINFRA_minute,long,2024-07-31 15:21:00,2024-08-01 09:17:00,1778.45,1773.8,1,1778.45,1773.8,closed,-4.65,-0.2615
1316,GRINFRA_minute,long,2024-08-01 15:21:00,2024-08-02 09:15:00,1768.55,1682.35,1,1768.55,1682.35,closed,-86.2,-4.874
1428,GRINFRA_minute,long,2024-08-16 15:21:00,2024-08-19 15:29:00,1606.25,1588.5,1,1606.25,1588.5,closed,-17.75,-1.1051
1557,GRINFRA_minute,long,2024-09-03 15:21:00,2024-09-04 15:29:00,1607.25,1600.45,1,1607.25,1600.45,closed,-6.8,-0.4231
1608,GRINFRA_minute,long,2024-09-09 15:21:00,2024-09-10 15:29:00,1653.85,1648.4,1,1653.85,1648.4,closed,-5.45,-0.3295
1626,GRINFRA_minute,long,2024-09-11 15:21:00,2024-09-12 15:29:00,1622.3,1622.8,1,1622.3,1622.8,closed,0.5,0.0308
1640,GRINFRA_minute,long,2024-09-12 15:21:00,2024-09-13 15:29:00,1631.3,1617.15,1,1631.3,1617.15,closed,-14.15,-0.8674
1652,GRINFRA_minute,long,2024-09-16 15:21:00,2024-09-17 15:29:00,1639.25,1643.75,1,1639.25,1643.75,closed,4.5,0.2745
1668,GRINFRA_minute,long,2024-09-18 15:21:00,2024-09-19 09:16:00,1677.4,1643.85,1,1677.4,1643.85,closed,-33.55,-2.0
1691,GRINFRA_minute,long,2024-09-20 15:21:00,2024-09-23 15:29:00,1713.0,1662.1,1,1713.0,1662.1,closed,-50.9,-2.9714
1716,GRINFRA_minute,long,2024-09-23 15:21:00,2024-09-24 09:15:00,1664.0,1699.0,1,1664.0,1699.0,closed,35.0,2.1034
1788,GRINFRA_minute,long,2024-10-01 15:21:00,2024-10-03 09:15:00,1748.55,1690.05,1,1748.55,1690.05,closed,-58.5,-3.3456
1839,GRINFRA_minute,long,2024-10-08 15:21:00,2024-10-09 15:29:00,1603.85,1645.0,1,1603.85,1645.0,closed,41.15,2.5657
1851,GRINFRA_minute,long,2024-10-09 15:21:00,2024-10-10 09:15:00,1636.9,1695.0,1,1636.9,1695.0,closed,58.1,3.5494
2018,GRINFRA_minute,long,2024-10-28 15:21:00,2024-10-29 15:29:00,1548.95,1552.0,1,1548.95,1552.0,closed,3.05,0.1969
2083,GRINFRA_minute,long,2024-11-05 15:21:00,2024-11-06 15:29:00,1577.25,1621.0,1,1577.25,1621.0,closed,43.75,2.7738
2116,GRINFRA_minute,long,2024-11-07 15:21:00,2024-11-08 09:15:00,1633.3,1600.0,1,1633.3,1600.0,closed,-33.3,-2.0388
2345,GRINFRA_minute,long,2024-11-29 15:21:00,2024-12-02 15:29:00,1636.15,1632.3,1,1636.15,1632.3,closed,-3.85,-0.2353
2363,GRINFRA_minute,long,2024-12-03 15:21:00,2024-12-04 15:29:00,1644.95,1631.2,1,1644.95,1631.2,closed,-13.75,-0.8359
2402,GRINFRA_minute,long,2024-12-05 15:21:00,2024-12-06 15:29:00,1635.45,1650.0,1,1635.45,1650.0,closed,14.55,0.8897
