,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
17,HINDPETRO_minute,long,2024-02-01 15:21:00,2024-02-02 15:29:00,289.45,304.5,1,289.45,304.5,closed,15.05,5.1995
25,HINDPETRO_minute,long,2024-02-06 15:21:00,2024-02-07 15:29:00,336.35,338.35,1,336.35,338.35,closed,2.0,0.5946
35,HINDPETRO_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,323.5,317.03,1,323.5,317.03,closed,-6.47,-2.0
53,HINDPETRO_minute,long,2024-02-22 15:21:00,2024-02-23 15:29:00,348.95,340.15,1,348.95,340.15,closed,-8.8,-2.5219
83,HINDPETRO_minute,long,2024-03-15 15:21:00,2024-03-18 15:29:00,301.7,296.85,1,301.7,296.85,closed,-4.85,-1.6076
88,HINDPETRO_minute,long,2024-03-19 15:21:00,2024-03-20 15:29:00,286.0,292.4,1,286.0,292.4,closed,6.4,2.2378
92,HINDPETRO_minute,long,2024-03-20 15:21:00,2024-03-21 15:29:00,291.45,303.55,1,291.45,303.55,closed,12.1,4.1517
98,HINDPETRO_minute,long,2024-03-22 15:21:00,2024-03-26 15:29:00,304.6,303.65,1,304.6,303.65,closed,-0.95,-0.3119
103,HINDPETRO_minute,long,2024-03-27 15:21:00,2024-03-28 15:29:00,303.2,306.9,1,303.2,306.9,closed,3.7,1.2203
117,HINDPETRO_minute,long,2024-04-02 15:21:00,2024-04-03 09:15:00,311.25,305.02,1,311.25,305.02,closed,-6.23,-2.0
131,HINDPETRO_minute,long,2024-04-05 15:21:00,2024-04-08 15:29:00,296.95,296.65,1,296.95,296.65,closed,-0.3,-0.101
133,HINDPETRO_minute,long,2024-04-08 15:21:00,2024-04-09 15:29:00,297.55,294.65,1,297.55,294.65,closed,-2.9,-0.9746
146,HINDPETRO_minute,long,2024-04-18 15:21:00,2024-04-19 09:15:00,308.65,300.25,1,308.65,300.25,closed,-8.4,-2.7215
154,HINDPETRO_minute,long,2024-04-19 15:21:00,2024-04-22 15:29:00,308.55,316.85,1,308.55,316.85,closed,8.3,2.69
162,HINDPETRO_minute,long,2024-04-24 15:21:00,2024-04-25 15:29:00,314.35,316.35,1,314.35,316.35,closed,2.0,0.6362
167,HINDPETRO_minute,long,2024-04-25 15:21:00,2024-04-26 15:29:00,317.45,316.15,1,317.45,316.15,closed,-1.3,-0.4095
173,HINDPETRO_minute,long,2024-04-29 15:21:00,2024-04-30 15:29:00,325.6,319.1,1,325.6,319.1,closed,-6.5,-1.9963
178,HINDPETRO_minute,long,2024-05-02 15:21:00,2024-05-03 15:29:00,344.55,345.2,1,344.55,345.2,closed,0.65,0.1887
186,HINDPETRO_minute,long,2024-05-08 15:21:00,2024-05-09 15:29:00,337.5,322.95,1,337.5,322.95,closed,-14.55,-4.3111
192,HINDPETRO_minute,long,2024-05-09 15:21:00,2024-05-10 09:19:00,324.35,325.31,1,324.35,325.31,closed,0.96,0.2963
205,HINDPETRO_minute,long,2024-05-16 15:21:00,2024-05-17 15:29:00,322.05,326.25,1,322.05,326.25,closed,4.2,1.3041
219,HINDPETRO_minute,long,2024-05-23 15:21:00,2024-05-24 15:29:00,346.45,350.35,1,346.45,350.35,closed,3.9,1.1257
251,HINDPETRO_minute,long,2024-06-19 15:21:00,2024-06-20 15:29:00,333.0,339.0,1,333.0,339.0,closed,6.0,1.8018
255,HINDPETRO_minute,long,2024-06-21 15:21:00,2024-06-24 09:15:00,330.05,325.16,1,330.05,325.16,closed,-4.89,-1.4804
258,HINDPETRO_minute,long,2024-06-24 15:21:00,2024-06-25 15:29:00,327.45,323.45,1,327.45,323.45,closed,-4.0,-1.2216
265,HINDPETRO_minute,long,2024-06-27 15:21:00,2024-06-28 15:29:00,323.9,321.0,1,323.9,321.0,closed,-2.9,-0.8953
280,HINDPETRO_minute,long,2024-07-04 15:21:00,2024-07-05 15:29:00,319.0,321.6,1,319.0,321.6,closed,2.6,0.815
284,HINDPETRO_minute,long,2024-07-09 15:21:00,2024-07-10 15:29:00,320.0,325.2,1,320.0,325.2,closed,5.2,1.625
