,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
23,JWL_minute,long,2024-02-06 15:21:00,2024-02-07 09:16:00,391.9,396.9,1,391.9,396.9,closed,5.0,1.2758
44,JWL_minute,long,2024-02-16 15:21:00,2024-02-19 15:29:00,367.1,386.35,1,367.1,386.35,closed,19.25,5.2438
70,JWL_minute,long,2024-03-05 15:21:00,2024-03-06 15:29:00,378.3,363.05,1,378.3,363.05,closed,-15.25,-4.0312
74,JWL_minute,long,2024-03-11 15:21:00,2024-03-12 09:16:00,364.3,364.56,1,364.3,364.56,closed,0.26,0.0714
90,JWL_minute,long,2024-03-19 15:21:00,2024-03-20 15:29:00,339.8,333.7,1,339.8,333.7,closed,-6.1,-1.7952
102,JWL_minute,long,2024-03-27 15:21:00,2024-03-28 15:29:00,368.25,374.55,1,368.25,374.55,closed,6.3,1.7108
110,JWL_minute,long,2024-04-01 15:21:00,2024-04-02 15:29:00,381.75,387.6,1,381.75,387.6,closed,5.85,1.5324
170,JWL_minute,long,2024-04-26 15:21:00,2024-04-29 15:29:00,410.8,407.35,1,410.8,407.35,closed,-3.45,-0.8398
182,JWL_minute,long,2024-05-06 15:21:00,2024-05-07 15:29:00,401.1,403.55,1,401.1,403.55,closed,2.45,0.6108
183,JWL_minute,long,2024-05-07 15:21:00,2024-05-08 09:15:00,404.95,414.65,1,404.95,414.65,closed,9.7,2.3954
184,JWL_minute,long,2024-05-08 15:21:00,2024-05-09 15:29:00,408.2,424.6,1,408.2,424.6,closed,16.4,4.0176
191,JWL_minute,long,2024-05-09 15:21:00,2024-05-10 09:15:00,419.5,429.24,1,419.5,429.24,closed,9.74,2.3218
213,JWL_minute,long,2024-05-21 15:21:00,2024-05-22 15:29:00,528.6,557.6,1,528.6,557.6,closed,29.0,5.4862
214,JWL_minute,long,2024-05-22 15:21:00,2024-05-23 15:29:00,558.35,537.95,1,558.35,537.95,closed,-20.4,-3.6536
217,JWL_minute,long,2024-05-23 15:21:00,2024-05-24 15:29:00,536.95,525.75,1,536.95,525.75,closed,-11.2,-2.0859
231,JWL_minute,long,2024-05-31 15:21:00,2024-06-03 09:15:00,606.45,658.56,1,606.45,658.56,closed,52.11,8.5926
239,JWL_minute,long,2024-06-07 15:21:00,2024-06-10 15:29:00,593.15,624.0,1,593.15,624.0,closed,30.85,5.201
241,JWL_minute,long,2024-06-10 15:21:00,2024-06-11 15:29:00,623.8,657.2,1,623.8,657.2,closed,33.4,5.3543
248,JWL_minute,long,2024-06-13 15:21:00,2024-06-14 15:29:00,700.15,686.0,1,700.15,686.0,closed,-14.15,-2.021
250,JWL_minute,long,2024-06-19 15:21:00,2024-06-20 15:29:00,674.25,691.8,1,674.25,691.8,closed,17.55,2.6029
273,JWL_minute,long,2024-07-02 15:21:00,2024-07-03 15:29:00,682.5,693.85,1,682.5,693.85,closed,11.35,1.663
295,JWL_minute,long,2024-07-16 15:21:00,2024-07-18 15:29:00,662.95,642.0,1,662.95,642.0,closed,-20.95,-3.1601
303,JWL_minute,long,2024-07-24 15:21:00,2024-07-25 09:15:00,647.7,630.0,1,647.7,630.0,closed,-17.7,-2.7327
327,JWL_minute,long,2024-08-05 15:21:00,2024-08-06 09:15:00,575.0,576.05,1,575.0,576.05,closed,1.05,0.1826
334,JWL_minute,long,2024-08-09 15:21:00,2024-08-12 15:29:00,555.35,566.9,1,555.35,566.9,closed,11.55,2.0798
359,JWL_minute,long,2024-08-22 15:21:00,2024-08-23 15:29:00,555.75,554.0,1,555.75,554.0,closed,-1.75,-0.3149
