,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
89,LINDEINDIA_minute,long,2024-02-02 15:21:00,2024-02-05 15:29:00,5559.4,5564.55,1,5559.4,5564.55,closed,5.15,0.0926
167,LINDEINDIA_minute,long,2024-02-14 15:21:00,2024-02-15 15:29:00,5550.15,5604.95,1,5550.15,5604.95,closed,54.8,0.9874
292,LINDEINDIA_minute,long,2024-03-04 15:21:00,2024-03-05 15:29:00,5439.1,5460.0,1,5439.1,5460.0,closed,20.9,0.3843
492,LINDEINDIA_minute,long,2024-04-02 15:21:00,2024-04-03 09:15:00,6997.0,6952.51,1,6997.0,6952.51,closed,-44.49,-0.6358
643,LINDEINDIA_minute,long,2024-04-23 15:21:00,2024-04-24 15:29:00,7650.0,8160.0,1,7650.0,8160.0,closed,510.0,6.6667
715,LINDEINDIA_minute,long,2024-05-02 15:21:00,2024-05-03 15:29:00,8486.05,8274.0,1,8486.05,8274.0,closed,-212.05,-2.4988
775,LINDEINDIA_minute,long,2024-05-10 15:21:00,2024-05-13 15:29:00,7845.05,7915.0,1,7845.05,7915.0,closed,69.95,0.8916
802,LINDEINDIA_minute,long,2024-05-15 15:21:00,2024-05-16 15:29:00,8798.75,8999.95,1,8798.75,8999.95,closed,201.2,2.2867
817,LINDEINDIA_minute,long,2024-05-16 15:21:00,2024-05-17 15:29:00,9020.1,9385.1,1,9020.1,9385.1,closed,365.0,4.0465
827,LINDEINDIA_minute,long,2024-05-17 15:21:00,2024-05-18 12:29:00,9431.8,9473.15,1,9431.8,9473.15,closed,41.35,0.4384
845,LINDEINDIA_minute,long,2024-05-21 15:21:00,2024-05-22 09:16:00,9696.75,9736.35,1,9696.75,9736.35,closed,39.6,0.4084
848,LINDEINDIA_minute,long,2024-05-22 15:21:00,2024-05-23 09:16:00,9268.9,9193.87,1,9268.9,9193.87,closed,-75.03,-0.8095
874,LINDEINDIA_minute,long,2024-05-24 15:21:00,2024-05-27 15:29:00,9081.8,8746.0,1,9081.8,8746.0,closed,-335.8,-3.6975
896,LINDEINDIA_minute,long,2024-05-29 15:21:00,2024-05-30 15:29:00,8436.25,9090.0,1,8436.25,9090.0,closed,653.75,7.7493
904,LINDEINDIA_minute,long,2024-05-30 15:21:00,2024-05-31 09:15:00,9193.55,9009.68,1,9193.55,9009.68,closed,-183.87,-2.0
947,LINDEINDIA_minute,long,2024-06-04 15:21:00,2024-06-05 09:18:00,8307.5,8281.0,1,8307.5,8281.0,closed,-26.5,-0.319
966,LINDEINDIA_minute,long,2024-06-06 15:21:00,2024-06-07 15:29:00,8686.9,8500.2,1,8686.9,8500.2,closed,-186.7,-2.1492
990,LINDEINDIA_minute,long,2024-06-11 15:21:00,2024-06-12 15:29:00,9020.05,9206.0,1,9020.05,9206.0,closed,185.95,2.0615
995,LINDEINDIA_minute,long,2024-06-12 15:21:00,2024-06-13 15:29:00,9181.8,9248.0,1,9181.8,9248.0,closed,66.2,0.721
1060,LINDEINDIA_minute,long,2024-06-21 15:21:00,2024-06-24 15:29:00,8358.0,8296.0,1,8358.0,8296.0,closed,-62.0,-0.7418
1126,LINDEINDIA_minute,long,2024-07-01 15:21:00,2024-07-02 15:29:00,8444.0,8479.2,1,8444.0,8479.2,closed,35.2,0.4169
1170,LINDEINDIA_minute,long,2024-07-08 15:21:00,2024-07-09 15:29:00,9215.65,9076.0,1,9215.65,9076.0,closed,-139.65,-1.5154
1297,LINDEINDIA_minute,long,2024-07-26 15:21:00,2024-07-29 15:29:00,7946.7,7912.95,1,7946.7,7912.95,closed,-33.75,-0.4247
1337,LINDEINDIA_minute,long,2024-08-01 15:21:00,2024-08-02 15:29:00,8177.3,8099.95,1,8177.3,8099.95,closed,-77.35,-0.9459
1463,LINDEINDIA_minute,long,2024-08-19 15:21:00,2024-08-20 15:29:00,7421.0,7420.95,1,7421.0,7420.95,closed,-0.05,-0.0007
1676,LINDEINDIA_minute,long,2024-09-10 15:21:00,2024-09-11 15:29:00,7824.7,7639.0,1,7824.7,7639.0,closed,-185.7,-2.3733
1711,LINDEINDIA_minute,long,2024-09-13 15:21:00,2024-09-16 15:29:00,8252.9,8306.6,1,8252.9,8306.6,closed,53.7,0.6507
1726,LINDEINDIA_minute,long,2024-09-16 15:21:00,2024-09-17 15:29:00,8347.9,8075.0,1,8347.9,8075.0,closed,-272.9,-3.2691
1750,LINDEINDIA_minute,long,2024-09-19 15:21:00,2024-09-20 15:29:00,8087.1,8160.0,1,8087.1,8160.0,closed,72.9,0.9014
1990,LINDEINDIA_minute,long,2024-10-16 15:21:00,2024-10-17 15:29:00,8455.0,8375.05,1,8455.0,8375.05,closed,-79.95,-0.9456
2007,LINDEINDIA_minute,long,2024-10-17 15:21:00,2024-10-18 09:19:00,8403.05,8234.99,1,8403.05,8234.99,closed,-168.06,-2.0
2112,LINDEINDIA_minute,long,2024-10-29 15:21:00,2024-10-30 15:29:00,7524.95,7643.0,1,7524.95,7643.0,closed,118.05,1.5688
2210,LINDEINDIA_minute,long,2024-11-12 15:21:00,2024-11-13 09:15:00,6997.15,6857.21,1,6997.15,6857.21,closed,-139.94,-2.0
2313,LINDEINDIA_minute,long,2024-11-22 15:21:00,2024-11-25 09:15:00,6506.5,6610.0,1,6506.5,6610.0,closed,103.5,1.5907
2357,LINDEINDIA_minute,long,2024-11-27 15:21:00,2024-11-28 15:29:00,7059.6,6940.4,1,7059.6,6940.4,closed,-119.2,-1.6885
2425,LINDEINDIA_minute,long,2024-12-02 15:21:00,2024-12-03 15:29:00,6985.0,6964.0,1,6985.0,6964.0,closed,-21.0,-0.3006
2519,LINDEINDIA_minute,long,2024-12-11 15:21:00,2024-12-12 15:29:00,6794.0,6713.4,1,6794.0,6713.4,closed,-80.6,-1.1863
