,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
9,MAZDOCK_minute,long,2024-01-20 15:21:00,2024-01-23 15:29:00,1181.5,1142.45,1,1181.5,1142.45,closed,-39.05,-3.3051
125,MAZDOCK_minute,long,2024-02-12 15:21:00,2024-02-13 09:15:00,1079.4,1104.95,1,1079.4,1104.95,closed,25.55,2.3671
129,MAZDOCK_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,1076.5,1054.97,1,1076.5,1054.97,closed,-21.53,-2.0
258,MAZDOCK_minute,long,2024-03-01 15:21:00,2024-03-02 12:29:00,1049.05,1052.0,1,1049.05,1052.0,closed,2.95,0.2812
293,MAZDOCK_minute,long,2024-03-11 15:21:00,2024-03-12 15:29:00,1031.2,1009.0,1,1031.2,1009.0,closed,-22.2,-2.1528
353,MAZDOCK_minute,long,2024-03-19 15:21:00,2024-03-20 15:29:00,934.3,918.35,1,934.3,918.35,closed,-15.95,-1.7072
448,MAZDOCK_minute,long,2024-04-02 15:21:00,2024-04-03 15:29:00,999.1,1116.5,1,999.1,1116.5,closed,117.4,11.7506
459,MAZDOCK_minute,long,2024-04-03 15:21:00,2024-04-04 09:16:00,1120.55,1105.73,1,1120.55,1105.73,closed,-14.82,-1.3222
475,MAZDOCK_minute,long,2024-04-05 15:21:00,2024-04-08 15:29:00,1101.15,1125.0,1,1101.15,1125.0,closed,23.85,2.1659
496,MAZDOCK_minute,long,2024-04-09 15:21:00,2024-04-10 15:29:00,1113.0,1102.75,1,1113.0,1102.75,closed,-10.25,-0.9209
532,MAZDOCK_minute,long,2024-04-15 15:21:00,2024-04-16 09:15:00,1073.4,1051.8,1,1073.4,1051.8,closed,-21.6,-2.0123
538,MAZDOCK_minute,long,2024-04-16 15:21:00,2024-04-18 15:29:00,1107.55,1080.0,1,1107.55,1080.0,closed,-27.55,-2.4875
588,MAZDOCK_minute,long,2024-04-23 15:21:00,2024-04-24 15:29:00,1131.7,1149.5,1,1131.7,1149.5,closed,17.8,1.5729
641,MAZDOCK_minute,long,2024-04-29 15:21:00,2024-04-30 15:29:00,1188.85,1177.4,1,1188.85,1177.4,closed,-11.45,-0.9631
674,MAZDOCK_minute,long,2024-05-03 15:21:00,2024-05-06 15:29:00,1183.1,1129.35,1,1183.1,1129.35,closed,-53.75,-4.5431
695,MAZDOCK_minute,long,2024-05-08 15:21:00,2024-05-09 15:29:00,1137.7,1104.5,1,1137.7,1104.5,closed,-33.2,-2.9182
713,MAZDOCK_minute,long,2024-05-10 15:21:00,2024-05-13 15:29:00,1097.3,1067.6,1,1097.3,1067.6,closed,-29.7,-2.7066
742,MAZDOCK_minute,long,2024-05-14 15:21:00,2024-05-15 15:29:00,1174.65,1195.2,1,1174.65,1195.2,closed,20.55,1.7495
863,MAZDOCK_minute,long,2024-05-31 15:21:00,2024-06-03 09:15:00,1591.5,1685.45,1,1591.5,1685.45,closed,93.95,5.9034
902,MAZDOCK_minute,long,2024-06-06 15:21:00,2024-06-07 09:15:00,1591.15,1561.14,1,1591.15,1561.14,closed,-30.01,-1.8861
938,MAZDOCK_minute,long,2024-06-13 15:21:00,2024-06-14 15:29:00,1701.8,1932.45,1,1701.8,1932.45,closed,230.65,13.5533
1028,MAZDOCK_minute,long,2024-07-01 15:21:00,2024-07-02 15:29:00,2195.0,2165.3,1,2195.0,2165.3,closed,-29.7,-1.3531
1049,MAZDOCK_minute,long,2024-07-03 15:21:00,2024-07-04 15:29:00,2355.0,2810.7,1,2355.0,2810.7,closed,455.7,19.3503
1057,MAZDOCK_minute,long,2024-07-04 15:21:00,2024-07-05 09:15:00,2810.7,2787.81,1,2810.7,2787.81,closed,-22.89,-0.8145
1186,MAZDOCK_minute,long,2024-07-26 15:21:00,2024-07-29 15:29:00,2429.6,2671.9,1,2429.6,2671.9,closed,242.3,9.9728
1242,MAZDOCK_minute,long,2024-08-02 15:21:00,2024-08-05 09:15:00,2550.0,2420.5,1,2550.0,2420.5,closed,-129.5,-5.0784
1263,MAZDOCK_minute,long,2024-08-06 15:21:00,2024-08-07 09:16:00,2321.45,2349.06,1,2321.45,2349.06,closed,27.61,1.1893
1290,MAZDOCK_minute,long,2024-08-08 15:21:00,2024-08-09 15:29:00,2445.2,2458.5,1,2445.2,2458.5,closed,13.3,0.5439
1393,MAZDOCK_minute,long,2024-08-26 15:21:00,2024-08-27 15:29:00,2159.0,2145.5,1,2159.0,2145.5,closed,-13.5,-0.6253
1468,MAZDOCK_minute,long,2024-09-03 15:21:00,2024-09-04 15:29:00,2236.2,2390.0,1,2236.2,2390.0,closed,153.8,6.8777
1471,MAZDOCK_minute,long,2024-09-04 15:21:00,2024-09-05 09:15:00,2399.8,2411.0,1,2399.8,2411.0,closed,11.2,0.4667
1621,MAZDOCK_minute,long,2024-09-23 15:21:00,2024-09-24 15:29:00,2160.7,2112.0,1,2160.7,2112.0,closed,-48.7,-2.2539
1643,MAZDOCK_minute,long,2024-09-25 15:21:00,2024-09-26 15:29:00,2127.3,2126.0,1,2127.3,2126.0,closed,-1.3,-0.0611
1650,MAZDOCK_minute,long,2024-09-26 15:21:00,2024-09-27 15:29:00,2123.1,2093.2,1,2123.1,2093.2,closed,-29.9,-1.4083
1715,MAZDOCK_minute,long,2024-10-04 15:21:00,2024-10-07 15:29:00,2045.0,1959.5,1,2045.0,1959.5,closed,-85.5,-4.1809
1757,MAZDOCK_minute,long,2024-10-08 15:21:00,2024-10-09 15:29:00,2045.25,2046.4,1,2045.25,2046.4,closed,1.15,0.0562
