,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
62,MOTHERSON_minute,long,2024-01-29 15:21:00,2024-01-30 15:29:00,77.77,76.07,1,77.77,76.07,closed,-1.7,-2.1859
72,MOTHERSON_minute,long,2024-01-30 15:21:00,2024-01-31 15:29:00,76.13,75.57,1,76.13,75.57,closed,-0.56,-0.7356
80,MOTHERSON_minute,long,2024-01-31 15:21:00,2024-02-01 15:29:00,75.67,76.83,1,75.67,76.83,closed,1.16,1.533
246,MOTHERSON_minute,long,2024-02-22 15:21:00,2024-02-23 15:29:00,76.13,76.7,1,76.13,76.7,closed,0.57,0.7487
322,MOTHERSON_minute,long,2024-03-05 15:21:00,2024-03-06 09:15:00,83.53,81.86,1,83.53,81.86,closed,-1.67,-2.0
363,MOTHERSON_minute,long,2024-03-14 15:21:00,2024-03-15 15:29:00,75.13,74.03,1,75.13,74.03,closed,-1.1,-1.4641
491,MOTHERSON_minute,long,2024-03-28 15:21:00,2024-04-01 15:29:00,78.1,80.17,1,78.1,80.17,closed,2.07,2.6504
564,MOTHERSON_minute,long,2024-04-05 15:21:00,2024-04-08 15:29:00,79.7,80.4,1,79.7,80.4,closed,0.7,0.8783
611,MOTHERSON_minute,long,2024-04-15 15:21:00,2024-04-16 09:15:00,80.6,78.83,1,80.6,78.83,closed,-1.77,-2.196
646,MOTHERSON_minute,long,2024-04-18 15:21:00,2024-04-19 09:19:00,84.17,82.49,1,84.17,82.49,closed,-1.68,-2.0
648,MOTHERSON_minute,long,2024-04-19 15:21:00,2024-04-22 09:15:00,85.0,83.3,1,85.0,83.3,closed,-1.7,-2.0
755,MOTHERSON_minute,long,2024-05-03 15:21:00,2024-05-06 15:29:00,87.5,85.27,1,87.5,85.27,closed,-2.23,-2.5486
786,MOTHERSON_minute,long,2024-05-10 15:21:00,2024-05-13 15:29:00,85.17,83.6,1,85.17,83.6,closed,-1.57,-1.8434
811,MOTHERSON_minute,long,2024-05-13 15:21:00,2024-05-14 15:29:00,83.33,85.07,1,83.33,85.07,closed,1.74,2.0881
833,MOTHERSON_minute,long,2024-05-16 15:21:00,2024-05-17 15:29:00,84.77,86.17,1,84.77,86.17,closed,1.4,1.6515
856,MOTHERSON_minute,long,2024-05-17 15:21:00,2024-05-18 12:29:00,86.33,86.57,1,86.33,86.57,closed,0.24,0.278
917,MOTHERSON_minute,long,2024-05-28 15:21:00,2024-05-29 15:29:00,94.77,98.5,1,94.77,98.5,closed,3.73,3.9358
926,MOTHERSON_minute,long,2024-05-29 15:21:00,2024-05-30 09:15:00,98.93,98.03,1,98.93,98.03,closed,-0.9,-0.9103
1064,MOTHERSON_minute,long,2024-06-14 15:21:00,2024-06-18 15:29:00,116.54,120.17,1,116.54,120.17,closed,3.63,3.1148
1073,MOTHERSON_minute,long,2024-06-18 15:21:00,2024-06-19 15:29:00,120.24,121.27,1,120.24,121.27,closed,1.03,0.8566
1080,MOTHERSON_minute,long,2024-06-19 15:21:00,2024-06-20 15:29:00,121.59,123.63,1,121.59,123.63,closed,2.04,1.6778
1093,MOTHERSON_minute,long,2024-06-20 15:21:00,2024-06-21 15:29:00,124.03,125.07,1,124.03,125.07,closed,1.04,0.8385
1205,MOTHERSON_minute,long,2024-07-04 15:21:00,2024-07-05 15:29:00,137.87,136.66,1,137.87,136.66,closed,-1.21,-0.8776
1214,MOTHERSON_minute,long,2024-07-05 15:21:00,2024-07-08 15:29:00,136.65,134.57,1,136.65,134.57,closed,-2.08,-1.5221
1307,MOTHERSON_minute,long,2024-07-23 15:21:00,2024-07-24 15:29:00,128.48,126.91,1,128.48,126.91,closed,-1.57,-1.222
1330,MOTHERSON_minute,long,2024-07-25 15:21:00,2024-07-26 15:29:00,127.79,130.74,1,127.79,130.74,closed,2.95,2.3085
1366,MOTHERSON_minute,long,2024-07-29 15:21:00,2024-07-30 15:29:00,130.55,129.63,1,130.55,129.63,closed,-0.92,-0.7047
1374,MOTHERSON_minute,long,2024-07-30 15:21:00,2024-07-31 15:29:00,129.57,131.17,1,129.57,131.17,closed,1.6,1.2349
1389,MOTHERSON_minute,long,2024-07-31 15:21:00,2024-08-01 15:29:00,131.01,130.89,1,131.01,130.89,closed,-0.12,-0.0916
1431,MOTHERSON_minute,long,2024-08-05 15:21:00,2024-08-06 09:15:00,117.35,121.12,1,117.35,121.12,closed,3.77,3.2111
1461,MOTHERSON_minute,long,2024-08-07 15:21:00,2024-08-08 15:29:00,120.79,121.54,1,120.79,121.54,closed,0.75,0.6209
1495,MOTHERSON_minute,long,2024-08-13 15:21:00,2024-08-14 09:15:00,121.33,122.67,1,121.33,122.67,closed,1.34,1.1044
1519,MOTHERSON_minute,long,2024-08-16 15:21:00,2024-08-19 15:29:00,123.75,124.37,1,123.75,124.37,closed,0.62,0.501
1541,MOTHERSON_minute,long,2024-08-19 15:21:00,2024-08-20 15:29:00,124.19,126.27,1,124.19,126.27,closed,2.08,1.6749
1590,MOTHERSON_minute,long,2024-08-23 15:21:00,2024-08-26 15:29:00,131.77,131.79,1,131.77,131.79,closed,0.02,0.0152
1649,MOTHERSON_minute,long,2024-08-30 15:21:00,2024-09-02 15:29:00,130.47,128.83,1,130.47,128.83,closed,-1.64,-1.257
