,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
34,NAUKRI_minute,long,2024-01-24 15:21:00,2024-01-25 15:29:00,1006.0,996.0,1,1006.0,996.0,closed,-10.0,-0.994
82,NAUKRI_minute,long,2024-02-01 15:21:00,2024-02-02 09:15:00,1013.0,1018.71,1,1013.0,1018.71,closed,5.71,0.5637
259,NAUKRI_minute,long,2024-02-28 15:21:00,2024-02-29 15:29:00,1063.0,1054.5,1,1063.0,1054.5,closed,-8.5,-0.7996
344,NAUKRI_minute,long,2024-03-14 15:21:00,2024-03-15 15:29:00,1040.5,1044.5,1,1040.5,1044.5,closed,4.0,0.3844
373,NAUKRI_minute,long,2024-03-15 15:21:00,2024-03-18 15:29:00,1050.5,1038.0,1,1050.5,1038.0,closed,-12.5,-1.1899
397,NAUKRI_minute,long,2024-03-18 15:21:00,2024-03-19 15:29:00,1038.0,1016.5,1,1038.0,1016.5,closed,-21.5,-2.0713
462,NAUKRI_minute,long,2024-03-28 15:21:00,2024-04-01 15:29:00,1118.5,1139.0,1,1118.5,1139.0,closed,20.5,1.8328
539,NAUKRI_minute,long,2024-04-08 15:21:00,2024-04-09 15:29:00,1246.0,1248.5,1,1246.0,1248.5,closed,2.5,0.2006
567,NAUKRI_minute,long,2024-04-12 15:21:00,2024-04-15 09:15:00,1196.0,1170.0,1,1196.0,1170.0,closed,-26.0,-2.1739
586,NAUKRI_minute,long,2024-04-15 15:21:00,2024-04-16 15:29:00,1166.0,1150.0,1,1166.0,1150.0,closed,-16.0,-1.3722
625,NAUKRI_minute,long,2024-04-18 15:21:00,2024-04-19 15:29:00,1144.0,1141.0,1,1144.0,1141.0,closed,-3.0,-0.2622
686,NAUKRI_minute,long,2024-04-24 15:21:00,2024-04-25 15:29:00,1177.5,1183.0,1,1177.5,1183.0,closed,5.5,0.4671
701,NAUKRI_minute,long,2024-04-25 15:21:00,2024-04-26 15:29:00,1183.0,1179.5,1,1183.0,1179.5,closed,-3.5,-0.2959
721,NAUKRI_minute,long,2024-04-29 15:21:00,2024-04-30 15:29:00,1214.0,1208.5,1,1214.0,1208.5,closed,-5.5,-0.453
753,NAUKRI_minute,long,2024-05-06 15:21:00,2024-05-07 15:29:00,1197.5,1178.0,1,1197.5,1178.0,closed,-19.5,-1.6284
804,NAUKRI_minute,long,2024-05-13 15:21:00,2024-05-14 15:29:00,1210.5,1205.0,1,1210.5,1205.0,closed,-5.5,-0.4544
827,NAUKRI_minute,long,2024-05-14 15:21:00,2024-05-15 15:29:00,1203.0,1188.0,1,1203.0,1188.0,closed,-15.0,-1.2469
837,NAUKRI_minute,long,2024-05-15 15:21:00,2024-05-16 15:29:00,1189.5,1179.0,1,1189.5,1179.0,closed,-10.5,-0.8827
852,NAUKRI_minute,long,2024-05-17 15:21:00,2024-05-18 12:29:00,1246.5,1243.0,1,1246.5,1243.0,closed,-3.5,-0.2808
886,NAUKRI_minute,long,2024-05-22 15:21:00,2024-05-23 15:29:00,1280.0,1286.5,1,1280.0,1286.5,closed,6.5,0.5078
920,NAUKRI_minute,long,2024-05-27 15:21:00,2024-05-28 15:29:00,1251.0,1214.5,1,1251.0,1214.5,closed,-36.5,-2.9177
949,NAUKRI_minute,long,2024-05-31 15:21:00,2024-06-03 09:15:00,1142.5,1193.15,1,1142.5,1193.15,closed,50.65,4.4333
1053,NAUKRI_minute,long,2024-06-12 15:21:00,2024-06-13 15:29:00,1250.0,1255.0,1,1250.0,1255.0,closed,5.0,0.4
1073,NAUKRI_minute,long,2024-06-18 15:21:00,2024-06-19 15:29:00,1237.0,1249.0,1,1237.0,1249.0,closed,12.0,0.9701
1110,NAUKRI_minute,long,2024-06-24 15:21:00,2024-06-25 15:29:00,1318.5,1331.0,1,1318.5,1331.0,closed,12.5,0.948
1155,NAUKRI_minute,long,2024-06-27 15:21:00,2024-06-28 15:29:00,1348.0,1358.0,1,1348.0,1358.0,closed,10.0,0.7418
1165,NAUKRI_minute,long,2024-06-28 15:21:00,2024-07-01 15:29:00,1358.0,1389.5,1,1358.0,1389.5,closed,31.5,2.3196
1179,NAUKRI_minute,long,2024-07-01 15:21:00,2024-07-02 09:15:00,1387.5,1365.14,1,1387.5,1365.14,closed,-22.36,-1.6115
1198,NAUKRI_minute,long,2024-07-03 15:21:00,2024-07-04 15:29:00,1363.0,1350.5,1,1363.0,1350.5,closed,-12.5,-0.9171
1317,NAUKRI_minute,long,2024-07-25 15:21:00,2024-07-26 15:29:00,1402.5,1438.0,1,1402.5,1438.0,closed,35.5,2.5312
1341,NAUKRI_minute,long,2024-07-29 15:21:00,2024-07-30 15:29:00,1422.0,1404.5,1,1422.0,1404.5,closed,-17.5,-1.2307
1359,NAUKRI_minute,long,2024-07-30 15:21:00,2024-07-31 15:29:00,1400.5,1409.0,1,1400.5,1409.0,closed,8.5,0.6069
1380,NAUKRI_minute,long,2024-08-01 15:21:00,2024-08-02 09:15:00,1387.5,1372.0,1,1387.5,1372.0,closed,-15.5,-1.1171
1448,NAUKRI_minute,long,2024-08-12 15:21:00,2024-08-13 15:29:00,1438.5,1418.0,1,1438.5,1418.0,closed,-20.5,-1.4251
1472,NAUKRI_minute,long,2024-08-14 15:21:00,2024-08-16 15:29:00,1449.0,1481.0,1,1449.0,1481.0,closed,32.0,2.2084
1579,NAUKRI_minute,long,2024-08-29 15:21:00,2024-08-30 15:29:00,1538.5,1532.0,1,1538.5,1532.0,closed,-6.5,-0.4225
