,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
156,PATANJALI_minute,long,2024-02-13 15:21:00,2024-02-14 15:29:00,1538.35,1574.7,1,1538.35,1574.7,closed,36.35,2.3629
195,PATANJALI_minute,long,2024-02-16 15:21:00,2024-02-19 15:29:00,1599.4,1672.0,1,1599.4,1672.0,closed,72.6,4.5392
211,PATANJALI_minute,long,2024-02-20 15:21:00,2024-02-21 15:29:00,1649.6,1633.0,1,1649.6,1633.0,closed,-16.6,-1.0063
241,PATANJALI_minute,long,2024-02-23 15:21:00,2024-02-26 15:29:00,1646.0,1637.6,1,1646.0,1637.6,closed,-8.4,-0.5103
327,PATANJALI_minute,long,2024-03-06 15:21:00,2024-03-07 15:29:00,1530.95,1524.85,1,1530.95,1524.85,closed,-6.1,-0.3984
409,PATANJALI_minute,long,2024-03-20 15:21:00,2024-03-21 15:29:00,1362.85,1370.0,1,1362.85,1370.0,closed,7.15,0.5246
466,PATANJALI_minute,long,2024-04-01 15:21:00,2024-04-02 15:29:00,1393.6,1392.0,1,1393.6,1392.0,closed,-1.6,-0.1148
519,PATANJALI_minute,long,2024-04-05 15:21:00,2024-04-08 09:15:00,1393.55,1363.6,1,1393.55,1363.6,closed,-29.95,-2.1492
536,PATANJALI_minute,long,2024-04-10 15:21:00,2024-04-12 09:15:00,1342.7,1315.85,1,1342.7,1315.85,closed,-26.85,-2.0
648,PATANJALI_minute,long,2024-04-26 15:21:00,2024-04-29 15:29:00,1597.7,1557.3,1,1597.7,1557.3,closed,-40.4,-2.5286
671,PATANJALI_minute,long,2024-04-30 15:21:00,2024-05-02 09:15:00,1513.05,1482.79,1,1513.05,1482.79,closed,-30.26,-2.0
676,PATANJALI_minute,long,2024-05-02 15:21:00,2024-05-03 15:29:00,1451.5,1458.0,1,1451.5,1458.0,closed,6.5,0.4478
714,PATANJALI_minute,long,2024-05-10 15:21:00,2024-05-13 15:29:00,1361.8,1327.8,1,1361.8,1327.8,closed,-34.0,-2.4967
725,PATANJALI_minute,long,2024-05-13 15:21:00,2024-05-14 15:29:00,1334.7,1335.0,1,1334.7,1335.0,closed,0.3,0.0225
746,PATANJALI_minute,long,2024-05-14 15:21:00,2024-05-15 15:29:00,1334.0,1379.75,1,1334.0,1379.75,closed,45.75,3.4295
811,PATANJALI_minute,long,2024-05-23 15:21:00,2024-05-24 15:29:00,1417.1,1421.05,1,1417.1,1421.05,closed,3.95,0.2787
