,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
10,PFC_minute,long,2024-01-19 15:21:00,2024-01-20 15:29:00,412.8,417.5,1,412.8,417.5,closed,4.7,1.1386
18,PFC_minute,long,2024-01-20 15:21:00,2024-01-23 15:29:00,419.2,397.9,1,419.2,397.9,closed,-21.3,-5.0811
40,PFC_minute,long,2024-01-24 15:21:00,2024-01-25 15:29:00,422.2,419.95,1,422.2,419.95,closed,-2.25,-0.5329
63,PFC_minute,long,2024-01-30 15:21:00,2024-01-31 15:29:00,445.3,443.8,1,445.3,443.8,closed,-1.5,-0.3369
78,PFC_minute,long,2024-01-31 15:21:00,2024-02-01 15:29:00,443.0,446.0,1,443.0,446.0,closed,3.0,0.6772
122,PFC_minute,long,2024-02-08 15:21:00,2024-02-09 09:15:00,468.7,459.33,1,468.7,459.33,closed,-9.37,-2.0
132,PFC_minute,long,2024-02-09 15:21:00,2024-02-12 09:16:00,430.95,422.33,1,430.95,422.33,closed,-8.62,-2.0
147,PFC_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,422.05,413.61,1,422.05,413.61,closed,-8.44,-2.0
163,PFC_minute,long,2024-02-14 15:21:00,2024-02-15 15:29:00,436.0,435.65,1,436.0,435.65,closed,-0.35,-0.0803
191,PFC_minute,long,2024-02-19 15:21:00,2024-02-20 09:19:00,431.55,422.92,1,431.55,422.92,closed,-8.63,-2.0
229,PFC_minute,long,2024-02-22 15:21:00,2024-02-23 15:29:00,416.25,412.2,1,416.25,412.2,closed,-4.05,-0.973
324,PFC_minute,long,2024-03-06 15:21:00,2024-03-07 15:29:00,424.05,429.35,1,424.05,429.35,closed,5.3,1.2499
365,PFC_minute,long,2024-03-14 15:21:00,2024-03-15 15:29:00,400.1,380.4,1,400.1,380.4,closed,-19.7,-4.9238
387,PFC_minute,long,2024-03-15 15:21:00,2024-03-18 15:29:00,381.35,375.5,1,381.35,375.5,closed,-5.85,-1.534
407,PFC_minute,long,2024-03-19 15:21:00,2024-03-20 15:29:00,362.1,361.5,1,362.1,361.5,closed,-0.6,-0.1657
424,PFC_minute,long,2024-03-21 15:21:00,2024-03-22 15:29:00,387.2,391.1,1,387.2,391.1,closed,3.9,1.0072
444,PFC_minute,long,2024-03-26 15:21:00,2024-03-27 15:29:00,395.7,384.15,1,395.7,384.15,closed,-11.55,-2.9189
449,PFC_minute,long,2024-03-27 15:21:00,2024-03-28 15:29:00,385.05,391.5,1,385.05,391.5,closed,6.45,1.6751
526,PFC_minute,long,2024-04-04 15:21:00,2024-04-05 15:29:00,415.3,416.75,1,415.3,416.75,closed,1.45,0.3491
585,PFC_minute,long,2024-04-15 15:21:00,2024-04-16 15:29:00,392.85,397.05,1,392.85,397.05,closed,4.2,1.0691
611,PFC_minute,long,2024-04-18 15:21:00,2024-04-19 09:15:00,396.6,388.67,1,396.6,388.67,closed,-7.93,-2.0
640,PFC_minute,long,2024-04-22 15:21:00,2024-04-23 15:29:00,404.75,398.75,1,404.75,398.75,closed,-6.0,-1.4824
659,PFC_minute,long,2024-04-23 15:21:00,2024-04-24 15:29:00,398.5,402.15,1,398.5,402.15,closed,3.65,0.9159
679,PFC_minute,long,2024-04-25 15:21:00,2024-04-26 15:29:00,407.2,406.4,1,407.2,406.4,closed,-0.8,-0.1965
698,PFC_minute,long,2024-04-29 15:21:00,2024-04-30 15:29:00,415.65,438.65,1,415.65,438.65,closed,23.0,5.5335
723,PFC_minute,long,2024-05-03 15:21:00,2024-05-06 09:15:00,481.1,456.5,1,481.1,456.5,closed,-24.6,-5.1133
747,PFC_minute,long,2024-05-08 15:21:00,2024-05-09 15:29:00,441.7,418.55,1,441.7,418.55,closed,-23.15,-5.2411
775,PFC_minute,long,2024-05-10 15:21:00,2024-05-13 15:29:00,417.65,416.7,1,417.65,416.7,closed,-0.95,-0.2275
782,PFC_minute,long,2024-05-13 15:21:00,2024-05-14 15:29:00,416.35,421.1,1,416.35,421.1,closed,4.75,1.1409
831,PFC_minute,long,2024-05-17 15:21:00,2024-05-18 12:29:00,468.8,465.0,1,468.8,465.0,closed,-3.8,-0.8106
869,PFC_minute,long,2024-05-23 15:21:00,2024-05-24 15:29:00,467.1,492.8,1,467.1,492.8,closed,25.7,5.502
885,PFC_minute,long,2024-05-28 15:21:00,2024-05-29 15:29:00,517.6,509.15,1,517.6,509.15,closed,-8.45,-1.6325
917,PFC_minute,long,2024-05-31 15:21:00,2024-06-03 09:15:00,492.0,528.22,1,492.0,528.22,closed,36.22,7.3618
927,PFC_minute,long,2024-06-03 15:21:00,2024-06-04 09:15:00,555.6,544.49,1,555.6,544.49,closed,-11.11,-2.0
1050,PFC_minute,long,2024-06-24 15:21:00,2024-06-25 15:29:00,489.05,482.85,1,489.05,482.85,closed,-6.2,-1.2678
