,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
36,RAYMOND_minute,long,2024-01-24 15:21:00,2024-01-25 15:29:00,1070.5,1062.0,1,1070.5,1062.0,closed,-8.5,-0.794
149,RAYMOND_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,1047.5,1024.1,1,1047.5,1024.1,closed,-23.4,-2.2339
205,RAYMOND_minute,long,2024-02-19 15:21:00,2024-02-20 15:29:00,1069.1,1073.3,1,1069.1,1073.3,closed,4.2,0.3929
367,RAYMOND_minute,long,2024-03-14 15:21:00,2024-03-15 15:29:00,1020.1,1054.4,1,1020.1,1054.4,closed,34.3,3.3624
398,RAYMOND_minute,long,2024-03-19 15:21:00,2024-03-20 15:29:00,1036.2,1054.4,1,1036.2,1054.4,closed,18.2,1.7564
404,RAYMOND_minute,long,2024-03-20 15:21:00,2024-03-21 15:29:00,1050.7,1078.6,1,1050.7,1078.6,closed,27.9,2.6554
433,RAYMOND_minute,long,2024-03-26 15:21:00,2024-03-27 15:29:00,1068.2,1095.6,1,1068.2,1095.6,closed,27.4,2.5651
455,RAYMOND_minute,long,2024-03-28 15:21:00,2024-04-01 15:29:00,1093.8,1103.3,1,1093.8,1103.3,closed,9.5,0.8685
487,RAYMOND_minute,long,2024-04-02 15:21:00,2024-04-03 15:29:00,1123.5,1160.6,1,1123.5,1160.6,closed,37.1,3.3022
600,RAYMOND_minute,long,2024-04-19 15:21:00,2024-04-22 15:29:00,1225.8,1242.3,1,1225.8,1242.3,closed,16.5,1.3461
639,RAYMOND_minute,long,2024-04-25 15:21:00,2024-04-26 15:29:00,1290.8,1274.2,1,1290.8,1274.2,closed,-16.6,-1.286
674,RAYMOND_minute,long,2024-05-02 15:21:00,2024-05-03 09:15:00,1401.9,1376.21,1,1401.9,1376.21,closed,-25.69,-1.8322
769,RAYMOND_minute,long,2024-05-16 15:21:00,2024-05-17 15:29:00,1305.5,1363.5,1,1305.5,1363.5,closed,58.0,4.4427
