,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
5,RITES_minute,long,2024-01-19 15:21:00,2024-01-20 09:15:00,276.5,279.79,1,276.5,279.79,closed,3.29,1.1899
32,RITES_minute,long,2024-01-24 15:21:00,2024-01-25 15:29:00,289.5,338.0,1,289.5,338.0,closed,48.5,16.753
47,RITES_minute,long,2024-01-30 15:21:00,2024-01-31 09:17:00,361.95,362.6,1,361.95,362.6,closed,0.65,0.1796
67,RITES_minute,long,2024-01-31 15:21:00,2024-02-01 09:15:00,371.4,369.46,1,371.4,369.46,closed,-1.94,-0.5223
82,RITES_minute,long,2024-02-02 15:21:00,2024-02-05 09:15:00,355.85,358.44,1,355.85,358.44,closed,2.58,0.7264
98,RITES_minute,long,2024-02-06 15:21:00,2024-02-07 15:29:00,380.2,400.0,1,380.2,400.0,closed,19.8,5.2078
132,RITES_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,352.1,345.06,1,352.1,345.06,closed,-7.04,-2.0
168,RITES_minute,long,2024-02-15 15:21:00,2024-02-16 15:29:00,388.2,377.5,1,388.2,377.5,closed,-10.7,-2.7563
197,RITES_minute,long,2024-02-22 15:21:00,2024-02-23 15:29:00,373.6,378.9,1,373.6,378.9,closed,5.3,1.4186
231,RITES_minute,long,2024-02-29 15:21:00,2024-03-01 15:29:00,393.4,391.95,1,393.4,391.95,closed,-1.45,-0.3686
342,RITES_minute,long,2024-03-15 15:21:00,2024-03-18 09:15:00,312.3,312.15,1,312.3,312.15,closed,-0.15,-0.048
386,RITES_minute,long,2024-03-22 15:21:00,2024-03-26 15:29:00,327.9,328.6,1,327.9,328.6,closed,0.7,0.2135
436,RITES_minute,long,2024-04-01 15:21:00,2024-04-02 15:29:00,346.15,345.6,1,346.15,345.6,closed,-0.55,-0.1589
451,RITES_minute,long,2024-04-03 15:21:00,2024-04-04 15:29:00,354.05,347.0,1,354.05,347.0,closed,-7.05,-1.9912
480,RITES_minute,long,2024-04-05 15:21:00,2024-04-08 15:29:00,350.9,348.65,1,350.9,348.65,closed,-2.25,-0.6412
566,RITES_minute,long,2024-04-19 15:21:00,2024-04-22 15:29:00,322.6,331.85,1,322.6,331.85,closed,9.25,2.8673
728,RITES_minute,long,2024-05-13 15:21:00,2024-05-14 15:29:00,319.7,335.5,1,319.7,335.5,closed,15.8,4.9421
737,RITES_minute,long,2024-05-14 15:21:00,2024-05-15 15:29:00,336.5,331.0,1,336.5,331.0,closed,-5.5,-1.6345
773,RITES_minute,long,2024-05-17 15:21:00,2024-05-18 12:29:00,348.6,357.3,1,348.6,357.3,closed,8.7,2.4957
794,RITES_minute,long,2024-05-23 15:21:00,2024-05-24 15:29:00,375.5,367.25,1,375.5,367.25,closed,-8.25,-2.1971
901,RITES_minute,long,2024-06-06 15:21:00,2024-06-07 15:29:00,324.0,324.65,1,324.0,324.65,closed,0.65,0.2006
956,RITES_minute,long,2024-06-19 15:21:00,2024-06-20 15:29:00,347.75,351.25,1,347.75,351.25,closed,3.5,1.0065
972,RITES_minute,long,2024-06-20 15:21:00,2024-06-21 15:29:00,350.5,354.2,1,350.5,354.2,closed,3.7,1.0556
1053,RITES_minute,long,2024-07-04 15:21:00,2024-07-05 15:29:00,373.55,381.7,1,373.55,381.7,closed,8.15,2.1818
1106,RITES_minute,long,2024-07-15 15:21:00,2024-07-16 15:29:00,379.4,372.5,1,379.4,372.5,closed,-6.9,-1.8187
