,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
17,SBFC_minute,long,2024-01-20 15:21:00,2024-01-23 15:29:00,86.2,85.0,1,86.2,85.0,closed,-1.2,-1.3921
35,SBFC_minute,long,2024-01-24 15:21:00,2024-01-25 15:29:00,86.15,88.9,1,86.15,88.9,closed,2.75,3.1921
55,SBFC_minute,long,2024-01-29 15:21:00,2024-01-30 09:15:00,89.75,90.0,1,89.75,90.0,closed,0.25,0.2786
72,SBFC_minute,long,2024-01-31 15:21:00,2024-02-01 15:29:00,90.0,88.6,1,90.0,88.6,closed,-1.4,-1.5556
211,SBFC_minute,long,2024-02-21 15:21:00,2024-02-22 15:29:00,89.35,88.9,1,89.35,88.9,closed,-0.45,-0.5036
257,SBFC_minute,long,2024-02-29 15:21:00,2024-03-01 15:29:00,84.25,84.1,1,84.25,84.1,closed,-0.15,-0.178
292,SBFC_minute,long,2024-03-01 15:21:00,2024-03-02 12:29:00,84.0,85.6,1,84.0,85.6,closed,1.6,1.9048
395,SBFC_minute,long,2024-03-15 15:21:00,2024-03-18 15:29:00,77.4,79.9,1,77.4,79.9,closed,2.5,3.23
399,SBFC_minute,long,2024-03-18 15:21:00,2024-03-19 15:29:00,79.85,78.5,1,79.85,78.5,closed,-1.35,-1.6907
414,SBFC_minute,long,2024-03-20 15:21:00,2024-03-21 15:29:00,77.4,80.3,1,77.4,80.3,closed,2.9,3.7468
427,SBFC_minute,long,2024-03-22 15:21:00,2024-03-26 15:29:00,83.45,80.3,1,83.45,80.3,closed,-3.15,-3.7747
497,SBFC_minute,long,2024-04-02 15:21:00,2024-04-03 15:29:00,84.05,84.45,1,84.05,84.45,closed,0.4,0.4759
519,SBFC_minute,long,2024-04-03 15:21:00,2024-04-04 15:29:00,84.55,83.85,1,84.55,83.85,closed,-0.7,-0.8279
571,SBFC_minute,long,2024-04-15 15:21:00,2024-04-16 15:29:00,86.7,87.1,1,86.7,87.1,closed,0.4,0.4614
618,SBFC_minute,long,2024-04-18 15:21:00,2024-04-19 09:15:00,88.4,86.63,1,88.4,86.63,closed,-1.77,-2.0
762,SBFC_minute,long,2024-05-10 15:21:00,2024-05-13 15:29:00,82.7,81.2,1,82.7,81.2,closed,-1.5,-1.8138
1117,SBFC_minute,long,2024-07-02 15:21:00,2024-07-03 15:29:00,82.67,83.6,1,82.67,83.6,closed,0.93,1.125
1492,SBFC_minute,long,2024-08-26 15:21:00,2024-08-27 15:29:00,85.1,87.1,1,85.1,87.1,closed,2.0,2.3502
1571,SBFC_minute,long,2024-09-03 15:21:00,2024-09-04 15:29:00,83.83,84.49,1,83.83,84.49,closed,0.66,0.7873
1573,SBFC_minute,long,2024-09-04 15:21:00,2024-09-05 15:29:00,84.26,84.02,1,84.26,84.02,closed,-0.24,-0.2848
1634,SBFC_minute,long,2024-09-12 15:21:00,2024-09-13 15:29:00,84.22,83.75,1,84.22,83.75,closed,-0.47,-0.5581
1877,SBFC_minute,long,2024-10-11 15:21:00,2024-10-14 15:29:00,90.0,89.75,1,90.0,89.75,closed,-0.25,-0.2778
1995,SBFC_minute,long,2024-10-25 15:21:00,2024-10-28 09:17:00,79.2,80.16,1,79.2,80.16,closed,0.96,1.2172
2046,SBFC_minute,long,2024-10-30 15:21:00,2024-10-31 15:29:00,83.69,86.59,1,83.69,86.59,closed,2.9,3.4652
2055,SBFC_minute,long,2024-10-31 15:21:00,2024-11-01 18:59:00,86.98,86.65,1,86.98,86.65,closed,-0.33,-0.3794
2091,SBFC_minute,long,2024-11-05 15:21:00,2024-11-06 15:29:00,85.3,85.6,1,85.3,85.6,closed,0.3,0.3517
2161,SBFC_minute,long,2024-11-13 15:21:00,2024-11-14 15:29:00,82.31,82.51,1,82.31,82.51,closed,0.2,0.243
2166,SBFC_minute,long,2024-11-14 15:21:00,2024-11-18 15:29:00,83.15,83.81,1,83.15,83.81,closed,0.66,0.7937
2274,SBFC_minute,long,2024-11-26 15:21:00,2024-11-27 15:29:00,87.73,85.75,1,87.73,85.75,closed,-1.98,-2.2569
2302,SBFC_minute,long,2024-11-28 15:21:00,2024-11-29 15:29:00,85.46,87.4,1,85.46,87.4,closed,1.94,2.2701
2423,SBFC_minute,long,2024-12-10 15:21:00,2024-12-11 15:29:00,93.5,93.92,1,93.5,93.92,closed,0.42,0.4492
2482,SBFC_minute,long,2024-12-18 15:21:00,2024-12-19 09:15:00,87.52,85.77,1,87.52,85.77,closed,-1.75,-2.0
