,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
21,SUNPHARMA_minute,long,2024-01-23 15:21:00,2024-01-24 15:29:00,1382.95,1387.65,1,1382.95,1387.65,closed,4.7,0.3399
48,SUNPHARMA_minute,long,2024-01-24 15:21:00,2024-01-25 15:29:00,1383.6,1375.0,1,1383.6,1375.0,closed,-8.6,-0.6216
86,SUNPHARMA_minute,long,2024-02-01 15:21:00,2024-02-02 15:29:00,1407.0,1419.0,1,1407.0,1419.0,closed,12.0,0.8529
96,SUNPHARMA_minute,long,2024-02-02 15:21:00,2024-02-05 15:29:00,1416.9,1461.0,1,1416.9,1461.0,closed,44.1,3.1124
237,SUNPHARMA_minute,long,2024-02-22 15:21:00,2024-02-23 15:29:00,1559.95,1557.05,1,1559.95,1557.05,closed,-2.9,-0.1859
273,SUNPHARMA_minute,long,2024-02-28 15:21:00,2024-02-29 15:29:00,1574.1,1573.45,1,1574.1,1573.45,closed,-0.65,-0.0413
280,SUNPHARMA_minute,long,2024-02-29 15:21:00,2024-03-01 15:29:00,1583.8,1561.55,1,1583.8,1561.55,closed,-22.25,-1.4048
303,SUNPHARMA_minute,long,2024-03-04 15:21:00,2024-03-05 15:29:00,1552.6,1572.35,1,1552.6,1572.35,closed,19.75,1.2721
362,SUNPHARMA_minute,long,2024-03-13 15:21:00,2024-03-14 15:29:00,1560.1,1568.65,1,1560.1,1568.65,closed,8.55,0.548
504,SUNPHARMA_minute,long,2024-03-28 15:21:00,2024-04-01 15:29:00,1617.15,1627.45,1,1617.15,1627.45,closed,10.3,0.6369
531,SUNPHARMA_minute,long,2024-04-02 15:21:00,2024-04-03 15:29:00,1625.8,1616.2,1,1625.8,1616.2,closed,-9.6,-0.5905
542,SUNPHARMA_minute,long,2024-04-03 15:21:00,2024-04-04 15:29:00,1621.85,1615.3,1,1621.85,1615.3,closed,-6.55,-0.4039
611,SUNPHARMA_minute,long,2024-04-15 15:21:00,2024-04-16 15:29:00,1542.6,1534.35,1,1542.6,1534.35,closed,-8.25,-0.5348
623,SUNPHARMA_minute,long,2024-04-16 15:21:00,2024-04-18 15:29:00,1540.7,1520.0,1,1540.7,1520.0,closed,-20.7,-1.3435
645,SUNPHARMA_minute,long,2024-04-18 15:21:00,2024-04-19 15:29:00,1518.85,1518.0,1,1518.85,1518.0,closed,-0.85,-0.056
