,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
19,SUZLON_minute,long,2024-01-20 15:21:00,2024-01-23 09:18:00,41.8,42.14,1,41.8,42.14,closed,0.34,0.8134
67,SUZLON_minute,long,2024-01-30 15:21:00,2024-01-31 15:29:00,43.8,45.95,1,43.8,45.95,closed,2.15,4.9087
120,SUZLON_minute,long,2024-02-08 15:21:00,2024-02-09 15:29:00,49.4,47.65,1,49.4,47.65,closed,-1.75,-3.5425
134,SUZLON_minute,long,2024-02-09 15:21:00,2024-02-12 15:29:00,47.4,45.0,1,47.4,45.0,closed,-2.4,-5.0633
147,SUZLON_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,44.0,42.45,1,44.0,42.45,closed,-1.55,-3.5227
185,SUZLON_minute,long,2024-02-15 15:21:00,2024-02-16 09:16:00,47.15,46.75,1,47.15,46.75,closed,-0.4,-0.8568
232,SUZLON_minute,long,2024-02-22 15:21:00,2024-02-23 15:29:00,44.95,44.95,1,44.95,44.95,closed,0.0,0.0
260,SUZLON_minute,long,2024-02-27 15:21:00,2024-02-28 15:29:00,44.65,43.2,1,44.65,43.2,closed,-1.45,-3.2475
356,SUZLON_minute,long,2024-03-14 15:21:00,2024-03-15 09:15:00,39.15,38.37,1,39.15,38.37,closed,-0.78,-2.0
371,SUZLON_minute,long,2024-03-15 15:21:00,2024-03-18 09:15:00,39.95,38.85,1,39.95,38.85,closed,-1.1,-2.7534
416,SUZLON_minute,long,2024-03-22 15:21:00,2024-03-26 15:29:00,37.4,37.2,1,37.4,37.2,closed,-0.2,-0.5348
430,SUZLON_minute,long,2024-03-26 15:21:00,2024-03-27 15:29:00,37.15,38.6,1,37.15,38.6,closed,1.45,3.9031
436,SUZLON_minute,long,2024-03-27 15:21:00,2024-03-28 09:19:00,38.85,39.1,1,38.85,39.1,closed,0.25,0.6486
549,SUZLON_minute,long,2024-04-12 15:21:00,2024-04-15 09:15:00,42.3,40.05,1,42.3,40.05,closed,-2.25,-5.3191
582,SUZLON_minute,long,2024-04-16 15:21:00,2024-04-18 15:29:00,40.45,41.35,1,40.45,41.35,closed,0.9,2.225
637,SUZLON_minute,long,2024-04-24 15:21:00,2024-04-25 15:29:00,41.85,42.0,1,41.85,42.0,closed,0.15,0.3584
662,SUZLON_minute,long,2024-04-29 15:21:00,2024-04-30 15:29:00,41.6,41.15,1,41.6,41.15,closed,-0.45,-1.0817
791,SUZLON_minute,long,2024-05-17 15:21:00,2024-05-18 12:29:00,42.65,42.45,1,42.65,42.45,closed,-0.2,-0.4689
1024,SUZLON_minute,long,2024-06-26 15:21:00,2024-06-27 15:29:00,52.8,53.42,1,52.8,53.42,closed,0.62,1.1742
1068,SUZLON_minute,long,2024-07-02 15:21:00,2024-07-03 15:29:00,53.04,53.57,1,53.04,53.57,closed,0.53,0.9992
1144,SUZLON_minute,long,2024-07-12 15:21:00,2024-07-15 15:29:00,54.85,54.52,1,54.85,54.52,closed,-0.33,-0.6016
1188,SUZLON_minute,long,2024-07-22 15:21:00,2024-07-23 15:29:00,55.3,57.83,1,55.3,57.83,closed,2.53,4.575
1229,SUZLON_minute,long,2024-07-26 15:21:00,2024-07-29 15:29:00,61.9,64.98,1,61.9,64.98,closed,3.08,4.9758
1273,SUZLON_minute,long,2024-08-01 15:21:00,2024-08-02 09:16:00,68.08,67.42,1,68.08,67.42,closed,-0.66,-0.9694
1314,SUZLON_minute,long,2024-08-08 15:21:00,2024-08-09 09:17:00,72.54,73.79,1,72.54,73.79,closed,1.25,1.7287
1374,SUZLON_minute,long,2024-08-19 15:21:00,2024-08-20 09:17:00,80.75,79.95,1,80.75,79.95,closed,-0.8,-0.9927
1395,SUZLON_minute,long,2024-08-21 15:21:00,2024-08-22 15:29:00,78.85,77.7,1,78.85,77.7,closed,-1.15,-1.4585
