,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
135,TANLA_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,979.8,956.15,1,979.8,956.15,closed,-23.65,-2.4138
286,TANLA_minute,long,2024-03-07 15:21:00,2024-03-11 15:29:00,956.05,927.0,1,956.05,927.0,closed,-29.05,-3.0385
320,TANLA_minute,long,2024-03-14 15:21:00,2024-03-15 09:16:00,876.4,873.9,1,876.4,873.9,closed,-2.5,-0.2853
484,TANLA_minute,long,2024-04-08 15:21:00,2024-04-09 15:29:00,923.0,915.55,1,923.0,915.55,closed,-7.45,-0.8072
500,TANLA_minute,long,2024-04-10 15:21:00,2024-04-12 15:29:00,986.45,987.9,1,986.45,987.9,closed,1.45,0.147
517,TANLA_minute,long,2024-04-15 15:21:00,2024-04-16 15:29:00,936.75,941.0,1,936.75,941.0,closed,4.25,0.4537
593,TANLA_minute,long,2024-04-23 15:21:00,2024-04-24 15:29:00,928.65,985.0,1,928.65,985.0,closed,56.35,6.0679
705,TANLA_minute,long,2024-05-10 15:21:00,2024-05-13 15:29:00,860.8,852.6,1,860.8,852.6,closed,-8.2,-0.9526
827,TANLA_minute,long,2024-05-29 15:21:00,2024-05-30 15:29:00,940.05,930.0,1,940.05,930.0,closed,-10.05,-1.0691
857,TANLA_minute,long,2024-05-31 15:21:00,2024-06-03 09:16:00,920.55,929.04,1,920.55,929.04,closed,8.49,0.9223
1099,TANLA_minute,long,2024-07-12 15:21:00,2024-07-15 15:29:00,952.5,1005.85,1,952.5,1005.85,closed,53.35,5.601
1153,TANLA_minute,long,2024-07-23 15:21:00,2024-07-24 15:29:00,946.1,947.0,1,946.1,947.0,closed,0.9,0.0951
1224,TANLA_minute,long,2024-07-31 15:21:00,2024-08-01 15:29:00,992.75,982.0,1,992.75,982.0,closed,-10.75,-1.0829
1246,TANLA_minute,long,2024-08-02 15:21:00,2024-08-05 09:15:00,985.2,950.0,1,985.2,950.0,closed,-35.2,-3.5729
1355,TANLA_minute,long,2024-08-20 15:21:00,2024-08-21 15:29:00,924.6,921.9,1,924.6,921.9,closed,-2.7,-0.292
1401,TANLA_minute,long,2024-08-26 15:21:00,2024-08-27 15:29:00,936.4,978.0,1,936.4,978.0,closed,41.6,4.4425
1406,TANLA_minute,long,2024-08-27 15:21:00,2024-08-28 15:29:00,976.35,968.0,1,976.35,968.0,closed,-8.35,-0.8552
1539,TANLA_minute,long,2024-09-11 15:21:00,2024-09-12 15:29:00,933.35,937.0,1,933.35,937.0,closed,3.65,0.3911
1545,TANLA_minute,long,2024-09-13 15:21:00,2024-09-16 15:29:00,946.65,948.2,1,946.65,948.2,closed,1.55,0.1637
1574,TANLA_minute,long,2024-09-17 15:21:00,2024-09-18 15:29:00,948.6,935.15,1,948.6,935.15,closed,-13.45,-1.4179
1721,TANLA_minute,long,2024-10-04 15:21:00,2024-10-07 15:29:00,883.35,853.0,1,883.35,853.0,closed,-30.35,-3.4358
1748,TANLA_minute,long,2024-10-08 15:21:00,2024-10-09 15:29:00,855.15,861.0,1,855.15,861.0,closed,5.85,0.6841
1879,TANLA_minute,long,2024-10-24 15:21:00,2024-10-25 15:29:00,755.75,730.4,1,755.75,730.4,closed,-25.35,-3.3543
1931,TANLA_minute,long,2024-10-28 15:21:00,2024-10-29 15:29:00,732.8,731.75,1,732.8,731.75,closed,-1.05,-0.1433
1954,TANLA_minute,long,2024-10-30 15:21:00,2024-10-31 15:29:00,749.05,750.5,1,749.05,750.5,closed,1.45,0.1936
2014,TANLA_minute,long,2024-11-06 15:21:00,2024-11-07 15:29:00,771.4,751.35,1,771.4,751.35,closed,-20.05,-2.5992
2082,TANLA_minute,long,2024-11-18 15:21:00,2024-11-19 15:29:00,696.95,692.25,1,696.95,692.25,closed,-4.7,-0.6744
2156,TANLA_minute,long,2024-11-26 15:21:00,2024-11-27 15:29:00,706.15,703.75,1,706.15,703.75,closed,-2.4,-0.3399
2170,TANLA_minute,long,2024-11-28 15:21:00,2024-11-29 15:29:00,712.2,702.0,1,712.2,702.0,closed,-10.2,-1.4322
2223,TANLA_minute,long,2024-12-02 15:21:00,2024-12-03 15:29:00,708.95,712.95,1,708.95,712.95,closed,4.0,0.5642
2377,TANLA_minute,long,2024-12-24 15:21:00,2024-12-26 15:29:00,671.3,674.0,1,671.3,674.0,closed,2.7,0.4022
