,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
12,TATAINVEST_minute,long,2024-01-20 15:21:00,2024-01-23 15:29:00,4506.05,4398.3,1,4506.05,4398.3,closed,-107.75,-2.3912
121,TATAINVEST_minute,long,2024-02-09 15:21:00,2024-02-12 09:18:00,5440.0,5340.85,1,5440.0,5340.85,closed,-99.15,-1.8226
142,TATAINVEST_minute,long,2024-02-14 15:21:00,2024-02-15 15:29:00,5489.0,5525.0,1,5489.0,5525.0,closed,36.0,0.6559
186,TATAINVEST_minute,long,2024-02-19 15:21:00,2024-02-20 15:29:00,5724.95,5856.9,1,5724.95,5856.9,closed,131.95,2.3048
213,TATAINVEST_minute,long,2024-02-26 15:21:00,2024-02-27 15:29:00,7100.0,7139.95,1,7100.0,7139.95,closed,39.95,0.5627
230,TATAINVEST_minute,long,2024-02-29 15:21:00,2024-03-01 09:15:00,7334.45,7448.0,1,7334.45,7448.0,closed,113.55,1.5482
568,TATAINVEST_minute,long,2024-04-19 15:21:00,2024-04-22 15:29:00,6828.0,6825.0,1,6828.0,6825.0,closed,-3.0,-0.0439
704,TATAINVEST_minute,long,2024-05-10 15:21:00,2024-05-13 09:16:00,6810.0,6673.8,1,6810.0,6673.8,closed,-136.2,-2.0
787,TATAINVEST_minute,long,2024-05-22 15:21:00,2024-05-23 15:29:00,6590.0,6560.0,1,6590.0,6560.0,closed,-30.0,-0.4552
798,TATAINVEST_minute,long,2024-05-23 15:21:00,2024-05-24 09:15:00,6570.0,6692.25,1,6570.0,6692.25,closed,122.25,1.8607
829,TATAINVEST_minute,long,2024-05-29 15:21:00,2024-05-30 15:29:00,6522.5,6470.0,1,6522.5,6470.0,closed,-52.5,-0.8049
838,TATAINVEST_minute,long,2024-05-30 15:21:00,2024-05-31 15:29:00,6440.05,6410.4,1,6440.05,6410.4,closed,-29.65,-0.4604
886,TATAINVEST_minute,long,2024-06-04 15:21:00,2024-06-05 09:19:00,6125.05,6134.8,1,6125.05,6134.8,closed,9.75,0.1592
891,TATAINVEST_minute,long,2024-06-06 15:21:00,2024-06-07 15:29:00,6430.0,6440.65,1,6430.0,6440.65,closed,10.65,0.1656
959,TATAINVEST_minute,long,2024-06-19 15:21:00,2024-06-20 15:29:00,6734.85,6670.35,1,6734.85,6670.35,closed,-64.5,-0.9577
967,TATAINVEST_minute,long,2024-06-20 15:21:00,2024-06-21 15:29:00,6690.0,6707.95,1,6690.0,6707.95,closed,17.95,0.2683
977,TATAINVEST_minute,long,2024-06-21 15:21:00,2024-06-24 15:29:00,6674.95,6789.0,1,6674.95,6789.0,closed,114.05,1.7086
994,TATAINVEST_minute,long,2024-06-25 15:21:00,2024-06-26 15:29:00,6722.0,6665.0,1,6722.0,6665.0,closed,-57.0,-0.848
1093,TATAINVEST_minute,long,2024-07-11 15:21:00,2024-07-12 15:29:00,6398.65,6538.05,1,6398.65,6538.05,closed,139.4,2.1786
1141,TATAINVEST_minute,long,2024-07-22 15:21:00,2024-07-23 15:29:00,6268.0,6202.05,1,6268.0,6202.05,closed,-65.95,-1.0522
1202,TATAINVEST_minute,long,2024-07-30 15:21:00,2024-07-31 15:29:00,6371.2,6360.0,1,6371.2,6360.0,closed,-11.2,-0.1758
1235,TATAINVEST_minute,long,2024-08-02 15:21:00,2024-08-05 09:15:00,6225.65,6010.0,1,6225.65,6010.0,closed,-215.65,-3.4639
1395,TATAINVEST_minute,long,2024-08-26 15:21:00,2024-08-27 15:29:00,6155.75,7414.0,1,6155.75,7414.0,closed,1258.25,20.4402
1416,TATAINVEST_minute,long,2024-08-28 15:21:00,2024-08-29 15:29:00,7172.8,7153.0,1,7172.8,7153.0,closed,-19.8,-0.276
1482,TATAINVEST_minute,long,2024-09-04 15:21:00,2024-09-05 15:29:00,7264.95,7250.0,1,7264.95,7250.0,closed,-14.95,-0.2058
1497,TATAINVEST_minute,long,2024-09-06 15:21:00,2024-09-09 09:18:00,7132.0,7036.11,1,7132.0,7036.11,closed,-95.89,-1.3446
1521,TATAINVEST_minute,long,2024-09-10 15:21:00,2024-09-11 15:29:00,7086.45,6964.05,1,7086.45,6964.05,closed,-122.4,-1.7272
1587,TATAINVEST_minute,long,2024-09-19 15:21:00,2024-09-20 15:29:00,6698.0,6738.5,1,6698.0,6738.5,closed,40.5,0.6047
1635,TATAINVEST_minute,long,2024-09-24 15:21:00,2024-09-25 15:29:00,6974.65,6936.1,1,6974.65,6936.1,closed,-38.55,-0.5527
1689,TATAINVEST_minute,long,2024-09-30 15:21:00,2024-10-01 15:29:00,6819.8,6822.0,1,6819.8,6822.0,closed,2.2,0.0323
1753,TATAINVEST_minute,long,2024-10-08 15:21:00,2024-10-09 15:29:00,6536.9,6542.05,1,6536.9,6542.05,closed,5.15,0.0788
1798,TATAINVEST_minute,long,2024-10-14 15:21:00,2024-10-15 15:29:00,6950.2,7059.2,1,6950.2,7059.2,closed,109.0,1.5683
1812,TATAINVEST_minute,long,2024-10-15 15:21:00,2024-10-16 15:29:00,7067.95,6964.7,1,7067.95,6964.7,closed,-103.25,-1.4608
1816,TATAINVEST_minute,long,2024-10-16 15:21:00,2024-10-17 15:29:00,6998.05,6829.95,1,6998.05,6829.95,closed,-168.1,-2.4021
1854,TATAINVEST_minute,long,2024-10-21 15:21:00,2024-10-22 09:18:00,7045.15,7026.8,1,7045.15,7026.8,closed,-18.35,-0.2605
1933,TATAINVEST_minute,long,2024-10-29 15:21:00,2024-10-30 15:29:00,6649.95,6765.0,1,6649.95,6765.0,closed,115.05,1.7301
