,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
4,TVSMOTOR_minute,long,2024-01-19 15:21:00,2024-01-20 15:29:00,2038.8,2009.9,1,2038.8,2009.9,closed,-28.9,-1.4175
13,TVSMOTOR_minute,long,2024-01-20 15:21:00,2024-01-23 15:29:00,2015.5,1990.0,1,2015.5,1990.0,closed,-25.5,-1.2652
31,TVSMOTOR_minute,long,2024-01-24 15:21:00,2024-01-25 09:15:00,2002.05,2013.9,1,2002.05,2013.9,closed,11.85,0.5919
79,TVSMOTOR_minute,long,2024-02-01 15:21:00,2024-02-02 15:29:00,1997.5,2044.0,1,1997.5,2044.0,closed,46.5,2.3279
136,TVSMOTOR_minute,long,2024-02-13 15:21:00,2024-02-14 15:29:00,2044.05,2097.5,1,2044.05,2097.5,closed,53.45,2.6149
150,TVSMOTOR_minute,long,2024-02-14 15:21:00,2024-02-15 15:29:00,2091.65,2091.6,1,2091.65,2091.6,closed,-0.05,-0.0024
201,TVSMOTOR_minute,long,2024-02-22 15:21:00,2024-02-23 15:29:00,2131.5,2106.75,1,2131.5,2106.75,closed,-24.75,-1.1612
233,TVSMOTOR_minute,long,2024-02-29 15:21:00,2024-03-01 15:29:00,2149.15,2264.8,1,2149.15,2264.8,closed,115.65,5.3812
264,TVSMOTOR_minute,long,2024-03-01 15:21:00,2024-03-02 12:29:00,2250.25,2257.95,1,2250.25,2257.95,closed,7.7,0.3422
276,TVSMOTOR_minute,long,2024-03-05 15:21:00,2024-03-06 15:29:00,2279.95,2291.3,1,2279.95,2291.3,closed,11.35,0.4978
284,TVSMOTOR_minute,long,2024-03-06 15:21:00,2024-03-07 15:29:00,2281.3,2261.0,1,2281.3,2261.0,closed,-20.3,-0.8898
311,TVSMOTOR_minute,long,2024-03-14 15:21:00,2024-03-15 09:15:00,2176.5,2132.97,1,2176.5,2132.97,closed,-43.53,-2.0
327,TVSMOTOR_minute,long,2024-03-15 15:21:00,2024-03-18 09:15:00,2070.0,2028.6,1,2070.0,2028.6,closed,-41.4,-2.0
362,TVSMOTOR_minute,long,2024-03-19 15:21:00,2024-03-20 15:29:00,2041.9,2038.0,1,2041.9,2038.0,closed,-3.9,-0.191
369,TVSMOTOR_minute,long,2024-03-20 15:21:00,2024-03-21 15:29:00,2039.2,2060.0,1,2039.2,2060.0,closed,20.8,1.02
400,TVSMOTOR_minute,long,2024-03-27 15:21:00,2024-03-28 15:29:00,2126.0,2159.0,1,2126.0,2159.0,closed,33.0,1.5522
470,TVSMOTOR_minute,long,2024-04-04 15:21:00,2024-04-05 15:29:00,2088.2,2069.8,1,2088.2,2069.8,closed,-18.4,-0.8811
557,TVSMOTOR_minute,long,2024-04-18 15:21:00,2024-04-19 09:17:00,1940.05,1901.25,1,1940.05,1901.25,closed,-38.8,-2.0
655,TVSMOTOR_minute,long,2024-05-02 15:21:00,2024-05-03 15:29:00,2079.2,2054.95,1,2079.2,2054.95,closed,-24.25,-1.1663
698,TVSMOTOR_minute,long,2024-05-08 15:21:00,2024-05-09 09:15:00,1999.8,2023.9,1,1999.8,2023.9,closed,24.1,1.2051
721,TVSMOTOR_minute,long,2024-05-10 15:21:00,2024-05-13 15:29:00,2062.6,2063.95,1,2062.6,2063.95,closed,1.35,0.0655
746,TVSMOTOR_minute,long,2024-05-14 15:21:00,2024-05-15 15:29:00,2134.9,2100.1,1,2134.9,2100.1,closed,-34.8,-1.6301
756,TVSMOTOR_minute,long,2024-05-16 15:21:00,2024-05-17 15:29:00,2129.25,2186.0,1,2129.25,2186.0,closed,56.75,2.6653
763,TVSMOTOR_minute,long,2024-05-17 15:21:00,2024-05-18 12:29:00,2189.4,2190.0,1,2189.4,2190.0,closed,0.6,0.0274
807,TVSMOTOR_minute,long,2024-05-24 15:21:00,2024-05-27 15:29:00,2240.85,2246.55,1,2240.85,2246.55,closed,5.7,0.2544
848,TVSMOTOR_minute,long,2024-05-31 15:21:00,2024-06-03 09:16:00,2181.75,2208.77,1,2181.75,2208.77,closed,27.02,1.2386
865,TVSMOTOR_minute,long,2024-06-03 15:21:00,2024-06-04 09:15:00,2252.35,2207.94,1,2252.35,2207.94,closed,-44.41,-1.9717
916,TVSMOTOR_minute,long,2024-06-10 15:21:00,2024-06-11 15:29:00,2439.0,2435.8,1,2439.0,2435.8,closed,-3.2,-0.1312
960,TVSMOTOR_minute,long,2024-06-19 15:21:00,2024-06-20 15:29:00,2438.1,2436.95,1,2438.1,2436.95,closed,-1.15,-0.0472
