,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,BOSCHLTD_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,23249.95,23039.7,1,23249.95,23039.7,closed,-210.25,-0.9043
23,BOSCHLTD_minute,long,2024-02-05 15:26:00,2024-02-06 15:29:00,24303.45,24928.05,1,24303.45,24928.05,closed,624.6,2.57
27,BOSCHLTD_minute,long,2024-02-08 15:26:00,2024-02-09 15:29:00,25289.1,25410.05,1,25289.1,25410.05,closed,120.95,0.4783
29,BOSCHLTD_minute,long,2024-02-09 15:26:00,2024-02-12 15:29:00,25464.75,25197.0,1,25464.75,25197.0,closed,-267.75,-1.0515
31,BOSCHLTD_minute,long,2024-02-13 15:26:00,2024-02-14 09:15:00,27027.1,26216.29,1,27027.1,26216.29,closed,-810.81,-3.0
33,BOSCHLTD_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,27444.0,27920.05,1,27444.0,27920.05,closed,476.05,1.7346
37,BOSCHLTD_minute,long,2024-02-15 15:26:00,2024-02-16 15:29:00,27961.3,28275.0,1,27961.3,28275.0,closed,313.7,1.1219
41,BOSCHLTD_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,29018.0,29083.35,1,29018.0,29083.35,closed,65.35,0.2252
48,BOSCHLTD_minute,long,2024-02-21 15:26:00,2024-02-22 15:29:00,28161.75,28506.7,1,28161.75,28506.7,closed,344.95,1.2249
62,BOSCHLTD_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,28719.15,28999.55,1,28719.15,28999.55,closed,280.4,0.9764
65,BOSCHLTD_minute,long,2024-03-01 15:26:00,2024-03-02 12:29:00,28999.5,29000.05,1,28999.5,29000.05,closed,0.55,0.0019
72,BOSCHLTD_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,29369.45,30179.6,1,29369.45,30179.6,closed,810.15,2.7585
75,BOSCHLTD_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,30154.0,30060.05,1,30154.0,30060.05,closed,-93.95,-0.3116
80,BOSCHLTD_minute,long,2024-03-06 15:26:00,2024-03-07 15:29:00,30147.75,29499.8,1,30147.75,29499.8,closed,-647.95,-2.1492
92,BOSCHLTD_minute,long,2024-03-13 15:26:00,2024-03-14 15:29:00,28275.5,29380.15,1,28275.5,29380.15,closed,1104.65,3.9067
