,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
3,BRITANNIA_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,5159.5,5160.05,1,5159.5,5160.05,closed,0.55,0.0107
8,BRITANNIA_minute,long,2024-01-23 15:26:00,2024-01-24 15:29:00,5044.0,5135.0,1,5044.0,5135.0,closed,91.0,1.8041
14,BRITANNIA_minute,long,2024-01-25 15:26:00,2024-01-29 15:29:00,5138.9,5125.6,1,5138.9,5125.6,closed,-13.3,-0.2588
15,BRITANNIA_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,5135.75,5090.7,1,5135.75,5090.7,closed,-45.05,-0.8772
34,BRITANNIA_minute,long,2024-02-07 15:26:00,2024-02-08 15:29:00,5078.65,4914.65,1,5078.65,4914.65,closed,-164.0,-3.2292
35,BRITANNIA_minute,long,2024-02-08 15:26:00,2024-02-09 15:29:00,4906.1,4967.0,1,4906.1,4967.0,closed,60.9,1.2413
51,BRITANNIA_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,4929.5,4932.6,1,4929.5,4932.6,closed,3.1,0.0629
53,BRITANNIA_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,4928.25,4910.0,1,4928.25,4910.0,closed,-18.25,-0.3703
59,BRITANNIA_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,4954.25,4929.25,1,4954.25,4929.25,closed,-25.0,-0.5046
81,BRITANNIA_minute,long,2024-03-07 15:26:00,2024-03-11 15:29:00,4888.4,4935.0,1,4888.4,4935.0,closed,46.6,0.9533
83,BRITANNIA_minute,long,2024-03-11 15:26:00,2024-03-12 15:29:00,4938.65,4862.2,1,4938.65,4862.2,closed,-76.45,-1.548
94,BRITANNIA_minute,long,2024-03-14 15:26:00,2024-03-15 15:29:00,4944.25,4965.15,1,4944.25,4965.15,closed,20.9,0.4227
114,BRITANNIA_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,4940.7,4921.85,1,4940.7,4921.85,closed,-18.85,-0.3815
126,BRITANNIA_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,4832.0,4815.0,1,4832.0,4815.0,closed,-17.0,-0.3518
131,BRITANNIA_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,4832.8,4790.05,1,4832.8,4790.05,closed,-42.75,-0.8846
161,BRITANNIA_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,4852.05,4798.3,1,4852.05,4798.3,closed,-53.75,-1.1078
182,BRITANNIA_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,5234.5,5084.95,1,5234.5,5084.95,closed,-149.55,-2.857
189,BRITANNIA_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,5078.0,5149.75,1,5078.0,5149.75,closed,71.75,1.413
191,BRITANNIA_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,5152.55,5130.45,1,5152.55,5130.45,closed,-22.1,-0.4289
213,BRITANNIA_minute,long,2024-05-22 15:26:00,2024-05-23 15:29:00,5273.1,5281.0,1,5273.1,5281.0,closed,7.9,0.1498
248,BRITANNIA_minute,long,2024-06-06 15:26:00,2024-06-07 15:29:00,5454.75,5457.25,1,5454.75,5457.25,closed,2.5,0.0458
250,BRITANNIA_minute,long,2024-06-07 15:26:00,2024-06-10 15:29:00,5467.0,5492.85,1,5467.0,5492.85,closed,25.85,0.4728
260,BRITANNIA_minute,long,2024-06-18 15:26:00,2024-06-19 15:29:00,5399.1,5350.6,1,5399.1,5350.6,closed,-48.5,-0.8983
266,BRITANNIA_minute,long,2024-06-20 15:26:00,2024-06-21 15:29:00,5390.0,5330.2,1,5390.0,5330.2,closed,-59.8,-1.1095
273,BRITANNIA_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,5325.65,5361.8,1,5325.65,5361.8,closed,36.15,0.6788
289,BRITANNIA_minute,long,2024-07-03 15:26:00,2024-07-04 15:29:00,5465.2,5425.6,1,5465.2,5425.6,closed,-39.6,-0.7246
296,BRITANNIA_minute,long,2024-07-08 15:26:00,2024-07-09 15:29:00,5565.4,5664.45,1,5565.4,5664.45,closed,99.05,1.7797
299,BRITANNIA_minute,long,2024-07-10 15:26:00,2024-07-11 15:29:00,5757.5,5770.0,1,5757.5,5770.0,closed,12.5,0.2171
