,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,CRAFTSMAN_minute,long,2024-01-23 15:26:00,2024-01-24 15:29:00,4700.05,4782.1,1,4700.05,4782.1,closed,82.05,1.7457
7,CRAFTSMAN_minute,long,2024-01-25 15:26:00,2024-01-29 15:29:00,4750.95,4690.05,1,4750.95,4690.05,closed,-60.9,-1.2818
23,CRAFTSMAN_minute,long,2024-02-02 15:26:00,2024-02-05 15:29:00,4265.0,4169.95,1,4265.0,4169.95,closed,-95.05,-2.2286
28,CRAFTSMAN_minute,long,2024-02-08 15:26:00,2024-02-09 15:29:00,4075.0,4144.0,1,4075.0,4144.0,closed,69.0,1.6933
45,CRAFTSMAN_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,4449.0,4420.0,1,4449.0,4420.0,closed,-29.0,-0.6518
60,CRAFTSMAN_minute,long,2024-02-28 15:26:00,2024-02-29 15:29:00,4263.4,4220.95,1,4263.4,4220.95,closed,-42.45,-0.9957
62,CRAFTSMAN_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,4217.3,4255.0,1,4217.3,4255.0,closed,37.7,0.8939
72,CRAFTSMAN_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,4249.5,4131.2,1,4249.5,4131.2,closed,-118.3,-2.7839
81,CRAFTSMAN_minute,long,2024-03-13 15:26:00,2024-03-14 15:29:00,3858.85,3939.4,1,3858.85,3939.4,closed,80.55,2.0874
93,CRAFTSMAN_minute,long,2024-03-15 15:26:00,2024-03-18 15:29:00,4044.55,3920.5,1,4044.55,3920.5,closed,-124.05,-3.0671
96,CRAFTSMAN_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,3834.0,3849.1,1,3834.0,3849.1,closed,15.1,0.3938
99,CRAFTSMAN_minute,long,2024-03-20 15:26:00,2024-03-21 15:29:00,3850.8,3961.05,1,3850.8,3961.05,closed,110.25,2.863
102,CRAFTSMAN_minute,long,2024-03-21 15:26:00,2024-03-22 15:29:00,3970.0,4150.95,1,3970.0,4150.95,closed,180.95,4.5579
112,CRAFTSMAN_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,4312.75,4370.0,1,4312.75,4370.0,closed,57.25,1.3275
148,CRAFTSMAN_minute,long,2024-04-23 15:26:00,2024-04-24 15:29:00,4313.55,4635.0,1,4313.55,4635.0,closed,321.45,7.4521
153,CRAFTSMAN_minute,long,2024-04-24 15:26:00,2024-04-25 15:29:00,4625.0,4617.4,1,4625.0,4617.4,closed,-7.6,-0.1643
157,CRAFTSMAN_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,4601.05,4689.0,1,4601.05,4689.0,closed,87.95,1.9115
163,CRAFTSMAN_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,4429.95,4425.05,1,4429.95,4425.05,closed,-4.9,-0.1106
185,CRAFTSMAN_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,4347.0,4341.9,1,4347.0,4341.9,closed,-5.1,-0.1173
211,CRAFTSMAN_minute,long,2024-05-28 15:26:00,2024-05-29 15:29:00,4261.1,4220.0,1,4261.1,4220.0,closed,-41.1,-0.9645
214,CRAFTSMAN_minute,long,2024-05-29 15:26:00,2024-05-30 15:29:00,4195.65,4200.0,1,4195.65,4200.0,closed,4.35,0.1037
219,CRAFTSMAN_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,4210.05,4224.45,1,4210.05,4224.45,closed,14.4,0.342
225,CRAFTSMAN_minute,long,2024-06-03 15:26:00,2024-06-04 15:29:00,4290.4,4160.0,1,4290.4,4160.0,closed,-130.4,-3.0393
260,CRAFTSMAN_minute,long,2024-06-26 15:26:00,2024-06-27 15:29:00,5479.6,5460.0,1,5479.6,5460.0,closed,-19.6,-0.3577
264,CRAFTSMAN_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,5460.5,5545.0,1,5460.5,5545.0,closed,84.5,1.5475
283,CRAFTSMAN_minute,long,2024-07-05 15:26:00,2024-07-08 15:29:00,5742.7,5526.65,1,5742.7,5526.65,closed,-216.05,-3.7622
293,CRAFTSMAN_minute,long,2024-07-11 15:26:00,2024-07-12 15:29:00,5401.15,5235.05,1,5401.15,5235.05,closed,-166.1,-3.0753
298,CRAFTSMAN_minute,long,2024-07-12 15:26:00,2024-07-15 15:29:00,5247.6,5252.5,1,5247.6,5252.5,closed,4.9,0.0934
300,CRAFTSMAN_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,5257.9,5337.95,1,5257.9,5337.95,closed,80.05,1.5225
314,CRAFTSMAN_minute,long,2024-07-22 15:26:00,2024-07-23 15:29:00,5318.0,5250.1,1,5318.0,5250.1,closed,-67.9,-1.2768
327,CRAFTSMAN_minute,long,2024-07-29 15:26:00,2024-07-30 15:29:00,5355.0,5506.7,1,5355.0,5506.7,closed,151.7,2.8329
328,CRAFTSMAN_minute,long,2024-07-30 15:26:00,2024-07-31 15:29:00,5516.85,5598.7,1,5516.85,5598.7,closed,81.85,1.4836
348,CRAFTSMAN_minute,long,2024-08-06 15:26:00,2024-08-07 15:29:00,5186.15,5203.0,1,5186.15,5203.0,closed,16.85,0.3249
351,CRAFTSMAN_minute,long,2024-08-08 15:26:00,2024-08-09 15:29:00,5321.1,5272.0,1,5321.1,5272.0,closed,-49.1,-0.9227
354,CRAFTSMAN_minute,long,2024-08-12 15:26:00,2024-08-13 15:29:00,5376.4,5359.95,1,5376.4,5359.95,closed,-16.45,-0.306
359,CRAFTSMAN_minute,long,2024-08-13 15:26:00,2024-08-14 15:29:00,5359.95,5352.0,1,5359.95,5352.0,closed,-7.95,-0.1483
371,CRAFTSMAN_minute,long,2024-08-20 15:26:00,2024-08-21 15:29:00,5567.0,5576.6,1,5567.0,5576.6,closed,9.6,0.1724
375,CRAFTSMAN_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,5578.8,5579.0,1,5578.8,5579.0,closed,0.2,0.0036
