,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
5,INDUSTOWER_minute,long,2024-01-20 15:26:00,2024-01-23 15:29:00,215.65,217.15,1,215.65,217.15,closed,1.5,0.6956
9,INDUSTOWER_minute,long,2024-01-23 15:26:00,2024-01-24 15:29:00,216.95,230.0,1,216.95,230.0,closed,13.05,6.0152
14,INDUSTOWER_minute,long,2024-01-25 15:26:00,2024-01-29 15:29:00,225.7,231.85,1,225.7,231.85,closed,6.15,2.7249
15,INDUSTOWER_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,232.5,230.1,1,232.5,230.1,closed,-2.4,-1.0323
22,INDUSTOWER_minute,long,2024-01-31 15:26:00,2024-02-01 09:15:00,222.6,215.0,1,222.6,215.0,closed,-7.6,-3.4142
62,INDUSTOWER_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,225.05,240.4,1,225.05,240.4,closed,15.35,6.8207
93,INDUSTOWER_minute,long,2024-03-11 15:26:00,2024-03-12 15:29:00,247.5,246.75,1,247.5,246.75,closed,-0.75,-0.303
117,INDUSTOWER_minute,long,2024-03-22 15:26:00,2024-03-26 15:29:00,275.2,284.0,1,275.2,284.0,closed,8.8,3.1977
127,INDUSTOWER_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,291.35,315.25,1,291.35,315.25,closed,23.9,8.2032
128,INDUSTOWER_minute,long,2024-04-02 15:26:00,2024-04-03 15:29:00,304.7,300.45,1,304.7,300.45,closed,-4.25,-1.3948
136,INDUSTOWER_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,307.4,313.55,1,307.4,313.55,closed,6.15,2.0007
148,INDUSTOWER_minute,long,2024-04-09 15:26:00,2024-04-10 15:29:00,327.5,324.9,1,327.5,324.9,closed,-2.6,-0.7939
153,INDUSTOWER_minute,long,2024-04-12 15:26:00,2024-04-15 15:29:00,329.1,335.65,1,329.1,335.65,closed,6.55,1.9903
173,INDUSTOWER_minute,long,2024-04-23 15:26:00,2024-04-24 15:29:00,360.3,347.35,1,360.3,347.35,closed,-12.95,-3.5942
182,INDUSTOWER_minute,long,2024-04-26 15:26:00,2024-04-29 15:29:00,352.85,351.75,1,352.85,351.75,closed,-1.1,-0.3117
187,INDUSTOWER_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,351.75,355.15,1,351.75,355.15,closed,3.4,0.9666
188,INDUSTOWER_minute,long,2024-04-30 15:26:00,2024-05-02 15:29:00,357.9,352.55,1,357.9,352.55,closed,-5.35,-1.4948
189,INDUSTOWER_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,353.25,350.05,1,353.25,350.05,closed,-3.2,-0.9059
200,INDUSTOWER_minute,long,2024-05-07 15:26:00,2024-05-08 15:29:00,339.3,338.0,1,339.3,338.0,closed,-1.3,-0.3831
213,INDUSTOWER_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,331.35,328.6,1,331.35,328.6,closed,-2.75,-0.8299
217,INDUSTOWER_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,328.75,339.9,1,328.75,339.9,closed,11.15,3.3916
233,INDUSTOWER_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,339.9,339.7,1,339.9,339.7,closed,-0.2,-0.0588
257,INDUSTOWER_minute,long,2024-06-06 15:26:00,2024-06-07 15:29:00,339.35,346.5,1,339.35,346.5,closed,7.15,2.107
268,INDUSTOWER_minute,long,2024-06-11 15:26:00,2024-06-12 15:29:00,347.5,342.0,1,347.5,342.0,closed,-5.5,-1.5827
270,INDUSTOWER_minute,long,2024-06-12 15:26:00,2024-06-13 15:29:00,342.6,339.7,1,342.6,339.7,closed,-2.9,-0.8465
273,INDUSTOWER_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,340.0,340.3,1,340.0,340.3,closed,0.3,0.0882
277,INDUSTOWER_minute,long,2024-06-14 15:26:00,2024-06-18 15:29:00,339.15,345.8,1,339.15,345.8,closed,6.65,1.9608
294,INDUSTOWER_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,368.95,375.2,1,368.95,375.2,closed,6.25,1.694
299,INDUSTOWER_minute,long,2024-07-01 15:26:00,2024-07-02 15:29:00,390.7,386.6,1,390.7,386.6,closed,-4.1,-1.0494
309,INDUSTOWER_minute,long,2024-07-03 15:26:00,2024-07-04 15:29:00,396.6,404.3,1,396.6,404.3,closed,7.7,1.9415
319,INDUSTOWER_minute,long,2024-07-12 15:26:00,2024-07-15 15:29:00,391.55,397.25,1,391.55,397.25,closed,5.7,1.4558
321,INDUSTOWER_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,397.8,407.25,1,397.8,407.25,closed,9.45,2.3756
327,INDUSTOWER_minute,long,2024-07-16 15:26:00,2024-07-18 15:29:00,407.5,418.0,1,407.5,418.0,closed,10.5,2.5767
337,INDUSTOWER_minute,long,2024-07-24 15:26:00,2024-07-25 15:29:00,425.8,425.05,1,425.8,425.05,closed,-0.75,-0.1761
346,INDUSTOWER_minute,long,2024-07-26 15:26:00,2024-07-29 15:29:00,445.25,444.6,1,445.25,444.6,closed,-0.65,-0.146
353,INDUSTOWER_minute,long,2024-07-31 15:26:00,2024-08-01 15:29:00,432.95,429.0,1,432.95,429.0,closed,-3.95,-0.9123
367,INDUSTOWER_minute,long,2024-08-12 15:26:00,2024-08-13 15:29:00,416.5,403.35,1,416.5,403.35,closed,-13.15,-3.1573
372,INDUSTOWER_minute,long,2024-08-19 15:26:00,2024-08-20 15:29:00,418.75,429.9,1,418.75,429.9,closed,11.15,2.6627
376,INDUSTOWER_minute,long,2024-08-20 15:26:00,2024-08-21 15:29:00,429.85,424.75,1,429.85,424.75,closed,-5.1,-1.1865
381,INDUSTOWER_minute,long,2024-08-22 15:26:00,2024-08-23 15:29:00,436.2,433.15,1,436.2,433.15,closed,-3.05,-0.6992
390,INDUSTOWER_minute,long,2024-08-27 15:26:00,2024-08-28 15:29:00,439.0,444.0,1,439.0,444.0,closed,5.0,1.139
396,INDUSTOWER_minute,long,2024-08-28 15:26:00,2024-08-29 15:29:00,445.0,446.1,1,445.0,446.1,closed,1.1,0.2472
402,INDUSTOWER_minute,long,2024-08-30 15:26:00,2024-09-02 15:29:00,458.8,439.0,1,458.8,439.0,closed,-19.8,-4.3156
415,INDUSTOWER_minute,long,2024-09-06 15:26:00,2024-09-09 15:29:00,423.6,421.75,1,423.6,421.75,closed,-1.85,-0.4367
419,INDUSTOWER_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,422.6,425.55,1,422.6,425.55,closed,2.95,0.6981
437,INDUSTOWER_minute,long,2024-09-17 15:26:00,2024-09-18 15:29:00,430.65,425.55,1,430.65,425.55,closed,-5.1,-1.1843
446,INDUSTOWER_minute,long,2024-09-20 15:26:00,2024-09-23 15:29:00,389.8,402.75,1,389.8,402.75,closed,12.95,3.3222
463,INDUSTOWER_minute,long,2024-09-27 15:26:00,2024-09-30 15:29:00,392.65,392.35,1,392.65,392.35,closed,-0.3,-0.0764
480,INDUSTOWER_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,374.4,379.25,1,374.4,379.25,closed,4.85,1.2954
505,INDUSTOWER_minute,long,2024-10-22 15:26:00,2024-10-23 09:15:00,369.3,369.52,1,369.3,369.52,closed,0.22,0.06
514,INDUSTOWER_minute,long,2024-10-24 15:26:00,2024-10-25 15:29:00,350.55,335.0,1,350.55,335.0,closed,-15.55,-4.4359
545,INDUSTOWER_minute,long,2024-11-12 15:26:00,2024-11-13 15:29:00,321.25,319.4,1,321.25,319.4,closed,-1.85,-0.5759
556,INDUSTOWER_minute,long,2024-11-14 15:26:00,2024-11-18 15:29:00,318.85,322.0,1,318.85,322.0,closed,3.15,0.9879
564,INDUSTOWER_minute,long,2024-11-21 15:26:00,2024-11-22 15:29:00,330.05,330.25,1,330.05,330.25,closed,0.2,0.0606
569,INDUSTOWER_minute,long,2024-11-22 15:26:00,2024-11-25 15:29:00,329.8,339.25,1,329.8,339.25,closed,9.45,2.8654
572,INDUSTOWER_minute,long,2024-11-25 15:26:00,2024-11-26 15:29:00,338.75,340.95,1,338.75,340.95,closed,2.2,0.6494
