,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
17,JUBLFOOD_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,514.55,511.7,1,514.55,511.7,closed,-2.85,-0.5539
21,JUBLFOOD_minute,long,2024-01-30 15:26:00,2024-01-31 15:29:00,510.5,518.0,1,510.5,518.0,closed,7.5,1.4691
24,JUBLFOOD_minute,long,2024-01-31 15:26:00,2024-02-01 09:15:00,519.55,503.96,1,519.55,503.96,closed,-15.59,-3.0
46,JUBLFOOD_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,481.05,478.5,1,481.05,478.5,closed,-2.55,-0.5301
69,JUBLFOOD_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,493.55,487.6,1,493.55,487.6,closed,-5.95,-1.2056
77,JUBLFOOD_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,463.55,462.4,1,463.55,462.4,closed,-1.15,-0.2481
96,JUBLFOOD_minute,long,2024-03-13 15:26:00,2024-03-14 15:29:00,431.5,445.5,1,431.5,445.5,closed,14.0,3.2445
108,JUBLFOOD_minute,long,2024-03-21 15:26:00,2024-03-22 15:29:00,450.85,455.2,1,450.85,455.2,closed,4.35,0.9648
110,JUBLFOOD_minute,long,2024-03-22 15:26:00,2024-03-26 15:29:00,454.75,465.25,1,454.75,465.25,closed,10.5,2.309
191,JUBLFOOD_minute,long,2024-05-09 15:26:00,2024-05-10 15:29:00,455.4,463.05,1,455.4,463.05,closed,7.65,1.6798
204,JUBLFOOD_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,481.3,477.75,1,481.3,477.75,closed,-3.55,-0.7376
228,JUBLFOOD_minute,long,2024-05-31 15:26:00,2024-06-03 15:29:00,497.4,496.55,1,497.4,496.55,closed,-0.85,-0.1709
234,JUBLFOOD_minute,long,2024-06-05 15:26:00,2024-06-06 15:29:00,532.0,523.0,1,532.0,523.0,closed,-9.0,-1.6917
237,JUBLFOOD_minute,long,2024-06-06 15:26:00,2024-06-07 15:29:00,522.95,518.25,1,522.95,518.25,closed,-4.7,-0.8987
245,JUBLFOOD_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,533.7,530.2,1,533.7,530.2,closed,-3.5,-0.6558
253,JUBLFOOD_minute,long,2024-06-19 15:26:00,2024-06-20 15:29:00,544.95,537.7,1,544.95,537.7,closed,-7.25,-1.3304
264,JUBLFOOD_minute,long,2024-06-25 15:26:00,2024-06-26 15:29:00,558.7,555.05,1,558.7,555.05,closed,-3.65,-0.6533
281,JUBLFOOD_minute,long,2024-07-02 15:26:00,2024-07-03 15:29:00,577.55,569.7,1,577.55,569.7,closed,-7.85,-1.3592
311,JUBLFOOD_minute,long,2024-07-18 15:26:00,2024-07-19 15:29:00,568.25,560.25,1,568.25,560.25,closed,-8.0,-1.4078
323,JUBLFOOD_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,578.85,581.0,1,578.85,581.0,closed,2.15,0.3714
329,JUBLFOOD_minute,long,2024-07-29 15:26:00,2024-07-30 15:29:00,591.7,579.5,1,591.7,579.5,closed,-12.2,-2.0619
343,JUBLFOOD_minute,long,2024-08-05 15:26:00,2024-08-06 15:29:00,586.45,597.95,1,586.45,597.95,closed,11.5,1.961
363,JUBLFOOD_minute,long,2024-08-14 15:26:00,2024-08-16 15:29:00,637.6,643.0,1,637.6,643.0,closed,5.4,0.8469
386,JUBLFOOD_minute,long,2024-08-30 15:26:00,2024-09-02 15:29:00,651.55,649.0,1,651.55,649.0,closed,-2.55,-0.3914
414,JUBLFOOD_minute,long,2024-09-11 15:26:00,2024-09-12 15:29:00,663.45,667.7,1,663.45,667.7,closed,4.25,0.6406
422,JUBLFOOD_minute,long,2024-09-13 15:26:00,2024-09-16 15:29:00,678.5,664.9,1,678.5,664.9,closed,-13.6,-2.0044
431,JUBLFOOD_minute,long,2024-09-19 15:26:00,2024-09-20 15:29:00,696.0,703.6,1,696.0,703.6,closed,7.6,1.092
448,JUBLFOOD_minute,long,2024-09-30 15:26:00,2024-10-01 15:29:00,684.35,659.5,1,684.35,659.5,closed,-24.85,-3.6312
457,JUBLFOOD_minute,long,2024-10-07 15:26:00,2024-10-08 15:29:00,618.75,615.7,1,618.75,615.7,closed,-3.05,-0.4929
467,JUBLFOOD_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,629.35,623.5,1,629.35,623.5,closed,-5.85,-0.9295
473,JUBLFOOD_minute,long,2024-10-11 15:26:00,2024-10-14 15:29:00,629.4,618.25,1,629.4,618.25,closed,-11.15,-1.7715
483,JUBLFOOD_minute,long,2024-10-15 15:26:00,2024-10-16 15:29:00,626.0,620.65,1,626.0,620.65,closed,-5.35,-0.8546
509,JUBLFOOD_minute,long,2024-10-28 15:26:00,2024-10-29 15:29:00,585.75,575.05,1,585.75,575.05,closed,-10.7,-1.8267
530,JUBLFOOD_minute,long,2024-11-11 15:26:00,2024-11-12 15:29:00,600.3,636.95,1,600.3,636.95,closed,36.65,6.1053
533,JUBLFOOD_minute,long,2024-11-12 15:26:00,2024-11-13 15:29:00,636.5,627.1,1,636.5,627.1,closed,-9.4,-1.4768
537,JUBLFOOD_minute,long,2024-11-13 15:26:00,2024-11-14 15:29:00,627.25,610.4,1,627.25,610.4,closed,-16.85,-2.6863
542,JUBLFOOD_minute,long,2024-11-14 15:26:00,2024-11-18 15:29:00,611.15,607.35,1,611.15,607.35,closed,-3.8,-0.6218
555,JUBLFOOD_minute,long,2024-11-22 15:26:00,2024-11-25 15:29:00,639.75,632.9,1,639.75,632.9,closed,-6.85,-1.0707
571,JUBLFOOD_minute,long,2024-11-28 15:26:00,2024-11-29 15:29:00,644.0,643.65,1,644.0,643.65,closed,-0.35,-0.0543
582,JUBLFOOD_minute,long,2024-12-10 15:26:00,2024-12-11 15:29:00,703.2,709.0,1,703.2,709.0,closed,5.8,0.8248
583,JUBLFOOD_minute,long,2024-12-11 15:26:00,2024-12-12 09:18:00,708.8,687.54,1,708.8,687.54,closed,-21.26,-3.0
589,JUBLFOOD_minute,long,2024-12-13 15:26:00,2024-12-16 15:29:00,682.0,686.95,1,682.0,686.95,closed,4.95,0.7258
600,JUBLFOOD_minute,long,2024-12-18 15:26:00,2024-12-19 15:29:00,675.45,678.7,1,675.45,678.7,closed,3.25,0.4812
608,JUBLFOOD_minute,long,2024-12-23 15:26:00,2024-12-24 15:29:00,692.75,704.0,1,692.75,704.0,closed,11.25,1.624
611,JUBLFOOD_minute,long,2024-12-24 15:26:00,2024-12-26 15:29:00,704.3,702.95,1,704.3,702.95,closed,-1.35,-0.1917
