,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
0,MINDACORP_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,400.85,404.45,1,400.85,404.45,closed,3.6,0.8981
5,MINDACORP_minute,long,2024-01-23 15:26:00,2024-01-24 15:29:00,400.0,397.45,1,400.0,397.45,closed,-2.55,-0.6375
8,MINDACORP_minute,long,2024-01-25 15:26:00,2024-01-29 15:29:00,408.9,406.0,1,408.9,406.0,closed,-2.9,-0.7092
49,MINDACORP_minute,long,2024-02-15 15:26:00,2024-02-16 09:15:00,406.7,400.0,1,406.7,400.0,closed,-6.7,-1.6474
62,MINDACORP_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,435.05,433.05,1,435.05,433.05,closed,-2.0,-0.4597
68,MINDACORP_minute,long,2024-02-27 15:26:00,2024-02-28 15:29:00,430.45,422.0,1,430.45,422.0,closed,-8.45,-1.9631
74,MINDACORP_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,418.3,423.35,1,418.3,423.35,closed,5.05,1.2073
82,MINDACORP_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,428.6,428.7,1,428.6,428.7,closed,0.1,0.0233
94,MINDACORP_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,405.15,380.05,1,405.15,380.05,closed,-25.1,-6.1952
108,MINDACORP_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,385.15,394.25,1,385.15,394.25,closed,9.1,2.3627
113,MINDACORP_minute,long,2024-03-20 15:26:00,2024-03-21 15:29:00,394.2,400.8,1,394.2,400.8,closed,6.6,1.6743
116,MINDACORP_minute,long,2024-03-21 15:26:00,2024-03-22 15:29:00,401.8,405.0,1,401.8,405.0,closed,3.2,0.7964
126,MINDACORP_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,415.6,418.85,1,415.6,418.85,closed,3.25,0.782
145,MINDACORP_minute,long,2024-04-09 15:26:00,2024-04-10 15:29:00,418.2,419.2,1,418.2,419.2,closed,1.0,0.2391
149,MINDACORP_minute,long,2024-04-12 15:26:00,2024-04-15 09:18:00,413.8,401.39,1,413.8,401.39,closed,-12.41,-3.0
154,MINDACORP_minute,long,2024-04-16 15:26:00,2024-04-18 15:29:00,407.3,404.4,1,407.3,404.4,closed,-2.9,-0.712
158,MINDACORP_minute,long,2024-04-18 15:26:00,2024-04-19 09:15:00,403.7,391.59,1,403.7,391.59,closed,-12.11,-3.0
204,MINDACORP_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,415.0,425.1,1,415.0,425.1,closed,10.1,2.4337
221,MINDACORP_minute,long,2024-05-23 15:26:00,2024-05-24 15:29:00,415.6,419.25,1,415.6,419.25,closed,3.65,0.8782
224,MINDACORP_minute,long,2024-05-24 15:26:00,2024-05-27 15:29:00,418.35,426.4,1,418.35,426.4,closed,8.05,1.9242
225,MINDACORP_minute,long,2024-05-27 15:26:00,2024-05-28 15:29:00,429.3,425.0,1,429.3,425.0,closed,-4.3,-1.0016
233,MINDACORP_minute,long,2024-05-29 15:26:00,2024-05-30 15:29:00,423.75,418.6,1,423.75,418.6,closed,-5.15,-1.2153
239,MINDACORP_minute,long,2024-05-31 15:26:00,2024-06-03 09:17:00,425.05,421.56,1,425.05,421.56,closed,-3.49,-0.8206
244,MINDACORP_minute,long,2024-06-04 15:26:00,2024-06-05 09:18:00,414.85,410.31,1,414.85,410.31,closed,-4.54,-1.0944
247,MINDACORP_minute,long,2024-06-05 15:26:00,2024-06-06 15:29:00,421.85,456.45,1,421.85,456.45,closed,34.6,8.202
288,MINDACORP_minute,long,2024-07-03 15:26:00,2024-07-04 15:29:00,494.45,497.95,1,494.45,497.95,closed,3.5,0.7079
301,MINDACORP_minute,long,2024-07-11 15:26:00,2024-07-12 15:29:00,489.8,483.0,1,489.8,483.0,closed,-6.8,-1.3883
308,MINDACORP_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,487.65,488.65,1,487.65,488.65,closed,1.0,0.2051
