,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
3,OIL_minute,long,2024-01-20 15:26:00,2024-01-23 09:17:00,281.0,273.01,1,281.0,273.01,closed,-7.99,-2.8447
16,OIL_minute,long,2024-01-30 15:26:00,2024-01-31 15:29:00,285.95,284.6,1,285.95,284.6,closed,-1.35,-0.4721
28,OIL_minute,long,2024-02-08 15:26:00,2024-02-09 09:17:00,344.0,339.11,1,344.0,339.11,closed,-4.89,-1.4209
56,OIL_minute,long,2024-02-21 15:26:00,2024-02-22 15:29:00,390.15,397.25,1,390.15,397.25,closed,7.1,1.8198
61,OIL_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,394.95,380.05,1,394.95,380.05,closed,-14.9,-3.7726
73,OIL_minute,long,2024-02-28 15:26:00,2024-02-29 15:29:00,378.4,366.65,1,378.4,366.65,closed,-11.75,-3.1052
77,OIL_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,366.65,393.2,1,366.65,393.2,closed,26.55,7.2412
85,OIL_minute,long,2024-03-01 15:26:00,2024-03-02 12:29:00,392.75,394.65,1,392.75,394.65,closed,1.9,0.4838
92,OIL_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,422.95,422.0,1,422.95,422.0,closed,-0.95,-0.2246
102,OIL_minute,long,2024-03-14 15:26:00,2024-03-15 15:29:00,382.65,364.85,1,382.65,364.85,closed,-17.8,-4.6518
109,OIL_minute,long,2024-03-18 15:26:00,2024-03-19 15:29:00,363.35,363.35,1,363.35,363.35,closed,0.0,0.0
111,OIL_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,363.35,378.2,1,363.35,378.2,closed,14.85,4.087
113,OIL_minute,long,2024-03-20 15:26:00,2024-03-21 15:29:00,378.85,393.25,1,378.85,393.25,closed,14.4,3.801
120,OIL_minute,long,2024-03-22 15:26:00,2024-03-26 15:29:00,387.45,406.65,1,387.45,406.65,closed,19.2,4.9555
130,OIL_minute,long,2024-04-01 15:26:00,2024-04-02 15:29:00,395.0,420.6,1,395.0,420.6,closed,25.6,6.481
131,OIL_minute,long,2024-04-02 15:26:00,2024-04-03 15:29:00,420.65,425.65,1,420.65,425.65,closed,5.0,1.1886
136,OIL_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,415.7,419.35,1,415.7,419.35,closed,3.65,0.878
142,OIL_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,418.75,419.45,1,418.75,419.45,closed,0.7,0.1672
146,OIL_minute,long,2024-04-09 15:26:00,2024-04-10 15:29:00,421.15,422.45,1,421.15,422.45,closed,1.3,0.3087
153,OIL_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,410.4,398.09,1,410.4,398.09,closed,-12.31,-3.0
161,OIL_minute,long,2024-04-16 15:26:00,2024-04-18 15:29:00,415.65,403.25,1,415.65,403.25,closed,-12.4,-2.9833
166,OIL_minute,long,2024-04-19 15:26:00,2024-04-22 15:29:00,399.95,398.15,1,399.95,398.15,closed,-1.8,-0.4501
168,OIL_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,398.45,395.0,1,398.45,395.0,closed,-3.45,-0.8659
176,OIL_minute,long,2024-04-23 15:26:00,2024-04-24 15:29:00,394.8,404.95,1,394.8,404.95,closed,10.15,2.5709
178,OIL_minute,long,2024-04-24 15:26:00,2024-04-25 15:29:00,406.1,409.35,1,406.1,409.35,closed,3.25,0.8003
186,OIL_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,414.65,414.7,1,414.65,414.7,closed,0.05,0.0121
188,OIL_minute,long,2024-04-30 15:26:00,2024-05-02 15:29:00,413.65,419.85,1,413.65,419.85,closed,6.2,1.4989
191,OIL_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,420.35,420.4,1,420.35,420.4,closed,0.05,0.0119
199,OIL_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,427.8,409.9,1,427.8,409.9,closed,-17.9,-4.1842
220,OIL_minute,long,2024-05-15 15:26:00,2024-05-16 15:29:00,423.25,424.25,1,423.25,424.25,closed,1.0,0.2363
227,OIL_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,425.5,426.65,1,425.5,426.65,closed,1.15,0.2703
230,OIL_minute,long,2024-05-17 15:26:00,2024-05-18 12:29:00,427.0,430.95,1,427.0,430.95,closed,3.95,0.9251
255,OIL_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,419.5,424.0,1,419.5,424.0,closed,4.5,1.0727
263,OIL_minute,long,2024-05-31 15:26:00,2024-06-03 09:15:00,424.5,446.1,1,424.5,446.1,closed,21.6,5.089
275,OIL_minute,long,2024-06-07 15:26:00,2024-06-10 15:29:00,410.3,404.65,1,410.3,404.65,closed,-5.65,-1.377
278,OIL_minute,long,2024-06-10 15:26:00,2024-06-11 15:29:00,405.15,430.8,1,405.15,430.8,closed,25.65,6.331
280,OIL_minute,long,2024-06-11 15:26:00,2024-06-12 15:29:00,432.2,440.0,1,432.2,440.0,closed,7.8,1.8047
290,OIL_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,452.05,465.0,1,452.05,465.0,closed,12.95,2.8647
298,OIL_minute,long,2024-06-18 15:26:00,2024-06-19 15:29:00,461.4,462.7,1,461.4,462.7,closed,1.3,0.2818
304,OIL_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,468.2,466.0,1,468.2,466.0,closed,-2.2,-0.4699
316,OIL_minute,long,2024-06-26 15:26:00,2024-06-27 15:29:00,468.75,473.7,1,468.75,473.7,closed,4.95,1.056
319,OIL_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,473.45,481.35,1,473.45,481.35,closed,7.9,1.6686
