,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
4,PGHH_minute,long,2024-01-20 15:26:00,2024-01-23 15:29:00,17299.95,17003.25,1,17299.95,17003.25,closed,-296.7,-1.715
28,PGHH_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,16372.0,16400.0,1,16372.0,16400.0,closed,28.0,0.171
32,PGHH_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,16665.05,16500.0,1,16665.05,16500.0,closed,-165.05,-0.9904
46,PGHH_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,16789.95,16730.0,1,16789.95,16730.0,closed,-59.95,-0.3571
63,PGHH_minute,long,2024-03-01 15:26:00,2024-03-02 12:29:00,15925.85,16050.0,1,15925.85,16050.0,closed,124.15,0.7796
73,PGHH_minute,long,2024-03-07 15:26:00,2024-03-11 15:29:00,15689.0,16000.0,1,15689.0,16000.0,closed,311.0,1.9823
91,PGHH_minute,long,2024-03-18 15:26:00,2024-03-19 15:29:00,16496.9,16498.05,1,16496.9,16498.05,closed,1.15,0.007
103,PGHH_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,16500.0,16812.55,1,16500.0,16812.55,closed,312.55,1.8942
108,PGHH_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,16977.0,16500.0,1,16977.0,16500.0,closed,-477.0,-2.8097
115,PGHH_minute,long,2024-04-03 15:26:00,2024-04-04 15:29:00,16399.0,16355.05,1,16399.0,16355.05,closed,-43.95,-0.268
127,PGHH_minute,long,2024-04-10 15:26:00,2024-04-12 15:29:00,15935.85,15889.9,1,15935.85,15889.9,closed,-45.95,-0.2883
145,PGHH_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,16000.0,15925.05,1,16000.0,15925.05,closed,-74.95,-0.4684
156,PGHH_minute,long,2024-04-30 15:26:00,2024-05-02 15:29:00,16144.85,15974.0,1,16144.85,15974.0,closed,-170.85,-1.0582
173,PGHH_minute,long,2024-05-09 15:26:00,2024-05-10 15:29:00,15650.0,15734.55,1,15650.0,15734.55,closed,84.55,0.5403
179,PGHH_minute,long,2024-05-14 15:26:00,2024-05-15 15:29:00,15711.3,15755.45,1,15711.3,15755.45,closed,44.15,0.281
205,PGHH_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,15820.6,16298.15,1,15820.6,16298.15,closed,477.55,3.0185
207,PGHH_minute,long,2024-05-31 15:26:00,2024-06-03 15:29:00,15999.95,15860.65,1,15999.95,15860.65,closed,-139.3,-0.8706
