,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
0,SCI_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,171.15,182.55,1,171.15,182.55,closed,11.4,6.6608
13,SCI_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,208.2,208.1,1,208.2,208.1,closed,-0.1,-0.048
19,SCI_minute,long,2024-01-31 15:26:00,2024-02-01 15:29:00,212.5,232.95,1,212.5,232.95,closed,20.45,9.6235
22,SCI_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,233.25,269.95,1,233.25,269.95,closed,36.7,15.7342
24,SCI_minute,long,2024-02-02 15:26:00,2024-02-05 09:17:00,268.05,265.85,1,268.05,265.85,closed,-2.2,-0.8207
46,SCI_minute,long,2024-02-13 15:26:00,2024-02-14 09:15:00,219.0,212.43,1,219.0,212.43,closed,-6.57,-3.0
50,SCI_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,224.55,228.6,1,224.55,228.6,closed,4.05,1.8036
55,SCI_minute,long,2024-02-16 15:26:00,2024-02-19 15:29:00,228.15,239.3,1,228.15,239.3,closed,11.15,4.8871
70,SCI_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,245.65,237.9,1,245.65,237.9,closed,-7.75,-3.1549
80,SCI_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,239.1,233.4,1,239.1,233.4,closed,-5.7,-2.3839
84,SCI_minute,long,2024-03-01 15:26:00,2024-03-02 12:29:00,233.5,234.55,1,233.5,234.55,closed,1.05,0.4497
90,SCI_minute,long,2024-03-06 15:26:00,2024-03-07 15:29:00,226.6,226.7,1,226.6,226.7,closed,0.1,0.0441
111,SCI_minute,long,2024-03-15 15:26:00,2024-03-18 15:29:00,198.15,202.8,1,198.15,202.8,closed,4.65,2.3467
118,SCI_minute,long,2024-03-21 15:26:00,2024-03-22 15:29:00,200.6,196.7,1,200.6,196.7,closed,-3.9,-1.9442
130,SCI_minute,long,2024-04-01 15:26:00,2024-04-02 15:29:00,217.7,217.3,1,217.7,217.3,closed,-0.4,-0.1837
133,SCI_minute,long,2024-04-02 15:26:00,2024-04-03 15:29:00,217.8,225.3,1,217.8,225.3,closed,7.5,3.4435
138,SCI_minute,long,2024-04-03 15:26:00,2024-04-04 15:29:00,225.5,225.1,1,225.5,225.1,closed,-0.4,-0.1774
162,SCI_minute,long,2024-04-16 15:26:00,2024-04-18 15:29:00,213.95,211.5,1,213.95,211.5,closed,-2.45,-1.1451
164,SCI_minute,long,2024-04-18 15:26:00,2024-04-19 15:29:00,211.3,209.25,1,211.3,209.25,closed,-2.05,-0.9702
171,SCI_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,211.45,220.5,1,211.45,220.5,closed,9.05,4.28
177,SCI_minute,long,2024-04-23 15:26:00,2024-04-24 15:29:00,221.1,221.55,1,221.1,221.55,closed,0.45,0.2035
179,SCI_minute,long,2024-04-24 15:26:00,2024-04-25 15:29:00,221.75,232.9,1,221.75,232.9,closed,11.15,5.0282
181,SCI_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,233.25,232.2,1,233.25,232.2,closed,-1.05,-0.4502
185,SCI_minute,long,2024-04-26 15:26:00,2024-04-29 15:29:00,232.5,233.4,1,232.5,233.4,closed,0.9,0.3871
194,SCI_minute,long,2024-04-30 15:26:00,2024-05-02 15:29:00,227.95,228.35,1,227.95,228.35,closed,0.4,0.1755
205,SCI_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,212.6,206.85,1,212.6,206.85,closed,-5.75,-2.7046
209,SCI_minute,long,2024-05-09 15:26:00,2024-05-10 15:29:00,206.95,206.9,1,206.95,206.9,closed,-0.05,-0.0242
232,SCI_minute,long,2024-05-22 15:26:00,2024-05-23 15:29:00,239.9,262.2,1,239.9,262.2,closed,22.3,9.2955
235,SCI_minute,long,2024-05-27 15:26:00,2024-05-28 15:29:00,259.6,247.9,1,259.6,247.9,closed,-11.7,-4.5069
239,SCI_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,242.75,246.0,1,242.75,246.0,closed,3.25,1.3388
255,SCI_minute,long,2024-06-07 15:26:00,2024-06-10 15:29:00,246.6,241.4,1,246.6,241.4,closed,-5.2,-2.1087
258,SCI_minute,long,2024-06-11 15:26:00,2024-06-12 15:29:00,245.99,259.95,1,245.99,259.95,closed,13.96,5.675
259,SCI_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,262.3,270.51,1,262.3,270.51,closed,8.21,3.13
269,SCI_minute,long,2024-06-19 15:26:00,2024-06-20 15:29:00,275.1,273.8,1,275.1,273.8,closed,-1.3,-0.4726
275,SCI_minute,long,2024-06-20 15:26:00,2024-06-21 15:29:00,273.8,265.1,1,273.8,265.1,closed,-8.7,-3.1775
