,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
14,SYNGENE_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,683.0,720.4,1,683.0,720.4,closed,37.4,5.4758
15,SYNGENE_minute,long,2024-01-30 15:26:00,2024-01-31 15:29:00,718.0,751.6,1,718.0,751.6,closed,33.6,4.6797
16,SYNGENE_minute,long,2024-01-31 15:26:00,2024-02-01 15:29:00,750.95,745.2,1,750.95,745.2,closed,-5.75,-0.7657
29,SYNGENE_minute,long,2024-02-07 15:26:00,2024-02-08 15:29:00,753.35,736.05,1,753.35,736.05,closed,-17.3,-2.2964
36,SYNGENE_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,742.1,747.4,1,742.1,747.4,closed,5.3,0.7142
48,SYNGENE_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,750.75,750.9,1,750.75,750.9,closed,0.15,0.02
56,SYNGENE_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,759.0,747.8,1,759.0,747.8,closed,-11.2,-1.4756
63,SYNGENE_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,749.15,740.8,1,749.15,740.8,closed,-8.35,-1.1146
82,SYNGENE_minute,long,2024-03-01 15:26:00,2024-03-02 12:29:00,706.7,708.0,1,706.7,708.0,closed,1.3,0.184
88,SYNGENE_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,693.1,686.35,1,693.1,686.35,closed,-6.75,-0.9739
111,SYNGENE_minute,long,2024-03-22 15:26:00,2024-03-26 15:29:00,699.85,703.25,1,699.85,703.25,closed,3.4,0.4858
120,SYNGENE_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,703.4,709.0,1,703.4,709.0,closed,5.6,0.7961
124,SYNGENE_minute,long,2024-04-01 15:26:00,2024-04-02 15:29:00,709.05,721.6,1,709.05,721.6,closed,12.55,1.77
153,SYNGENE_minute,long,2024-04-23 15:26:00,2024-04-24 15:29:00,701.7,690.65,1,701.7,690.65,closed,-11.05,-1.5747
158,SYNGENE_minute,long,2024-04-26 15:26:00,2024-04-29 15:29:00,698.95,697.8,1,698.95,697.8,closed,-1.15,-0.1645
164,SYNGENE_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,689.3,679.1,1,689.3,679.1,closed,-10.2,-1.4798
173,SYNGENE_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,666.3,651.45,1,666.3,651.45,closed,-14.85,-2.2287
178,SYNGENE_minute,long,2024-05-09 15:26:00,2024-05-10 15:29:00,651.95,665.8,1,651.95,665.8,closed,13.85,2.1244
182,SYNGENE_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,667.35,675.25,1,667.35,675.25,closed,7.9,1.1838
228,SYNGENE_minute,long,2024-06-07 15:26:00,2024-06-10 15:29:00,695.45,706.0,1,695.45,706.0,closed,10.55,1.517
239,SYNGENE_minute,long,2024-06-18 15:26:00,2024-06-19 15:29:00,708.3,712.65,1,708.3,712.65,closed,4.35,0.6141
243,SYNGENE_minute,long,2024-06-19 15:26:00,2024-06-20 15:29:00,711.1,713.5,1,711.1,713.5,closed,2.4,0.3375
253,SYNGENE_minute,long,2024-06-25 15:26:00,2024-06-26 15:29:00,703.0,708.5,1,703.0,708.5,closed,5.5,0.7824
259,SYNGENE_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,714.0,711.15,1,714.0,711.15,closed,-2.85,-0.3992
262,SYNGENE_minute,long,2024-06-28 15:26:00,2024-07-01 15:29:00,711.15,717.45,1,711.15,717.45,closed,6.3,0.8859
277,SYNGENE_minute,long,2024-07-08 15:26:00,2024-07-09 15:29:00,734.25,723.05,1,734.25,723.05,closed,-11.2,-1.5254
297,SYNGENE_minute,long,2024-07-22 15:26:00,2024-07-23 15:29:00,754.25,755.85,1,754.25,755.85,closed,1.6,0.2121
299,SYNGENE_minute,long,2024-07-23 15:26:00,2024-07-24 15:29:00,758.5,757.0,1,758.5,757.0,closed,-1.5,-0.1978
300,SYNGENE_minute,long,2024-07-24 15:26:00,2024-07-25 15:29:00,755.5,795.25,1,755.5,795.25,closed,39.75,5.2614
302,SYNGENE_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,789.3,784.4,1,789.3,784.4,closed,-4.9,-0.6208
310,SYNGENE_minute,long,2024-07-30 15:26:00,2024-07-31 15:29:00,794.2,809.55,1,794.2,809.55,closed,15.35,1.9328
322,SYNGENE_minute,long,2024-08-06 15:26:00,2024-08-07 15:29:00,820.4,852.35,1,820.4,852.35,closed,31.95,3.8944
334,SYNGENE_minute,long,2024-08-12 15:26:00,2024-08-13 15:29:00,826.45,825.4,1,826.45,825.4,closed,-1.05,-0.127
