,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
4,VGUARD_minute,long,2024-01-20 15:26:00,2024-01-23 15:29:00,293.55,288.45,1,293.55,288.45,closed,-5.1,-1.7374
7,VGUARD_minute,long,2024-01-23 15:26:00,2024-01-24 15:29:00,289.9,292.7,1,289.9,292.7,closed,2.8,0.9659
24,VGUARD_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,299.5,310.0,1,299.5,310.0,closed,10.5,3.5058
26,VGUARD_minute,long,2024-02-06 15:26:00,2024-02-07 15:29:00,308.6,314.2,1,308.6,314.2,closed,5.6,1.8146
31,VGUARD_minute,long,2024-02-07 15:26:00,2024-02-08 15:29:00,314.8,310.05,1,314.8,310.05,closed,-4.75,-1.5089
68,VGUARD_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,316.0,322.85,1,316.0,322.85,closed,6.85,2.1677
73,VGUARD_minute,long,2024-02-28 15:26:00,2024-02-29 15:29:00,331.2,326.05,1,331.2,326.05,closed,-5.15,-1.555
80,VGUARD_minute,long,2024-03-01 15:26:00,2024-03-02 12:29:00,339.6,341.0,1,339.6,341.0,closed,1.4,0.4122
89,VGUARD_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,344.0,341.55,1,344.0,341.55,closed,-2.45,-0.7122
91,VGUARD_minute,long,2024-03-06 15:26:00,2024-03-07 15:29:00,343.3,343.9,1,343.3,343.9,closed,0.6,0.1748
94,VGUARD_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,331.0,308.5,1,331.0,308.5,closed,-22.5,-6.7976
97,VGUARD_minute,long,2024-03-13 15:26:00,2024-03-14 15:29:00,307.7,323.55,1,307.7,323.55,closed,15.85,5.1511
98,VGUARD_minute,long,2024-03-14 15:26:00,2024-03-15 15:29:00,324.0,322.4,1,324.0,322.4,closed,-1.6,-0.4938
99,VGUARD_minute,long,2024-03-15 15:26:00,2024-03-18 15:29:00,321.45,324.5,1,321.45,324.5,closed,3.05,0.9488
101,VGUARD_minute,long,2024-03-18 15:26:00,2024-03-19 15:29:00,324.3,320.2,1,324.3,320.2,closed,-4.1,-1.2643
105,VGUARD_minute,long,2024-03-20 15:26:00,2024-03-21 15:29:00,319.0,319.5,1,319.0,319.5,closed,0.5,0.1567
116,VGUARD_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,332.3,332.45,1,332.3,332.45,closed,0.15,0.0451
129,VGUARD_minute,long,2024-04-02 15:26:00,2024-04-03 15:29:00,336.5,336.15,1,336.5,336.15,closed,-0.35,-0.104
131,VGUARD_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,339.3,339.8,1,339.3,339.8,closed,0.5,0.1474
137,VGUARD_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,341.9,343.85,1,341.9,343.85,closed,1.95,0.5703
141,VGUARD_minute,long,2024-04-10 15:26:00,2024-04-12 15:29:00,349.0,346.9,1,349.0,346.9,closed,-2.1,-0.6017
144,VGUARD_minute,long,2024-04-12 15:26:00,2024-04-15 09:17:00,346.0,335.62,1,346.0,335.62,closed,-10.38,-3.0
157,VGUARD_minute,long,2024-04-23 15:26:00,2024-04-24 15:29:00,342.6,342.7,1,342.6,342.7,closed,0.1,0.0292
159,VGUARD_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,344.5,342.5,1,344.5,342.5,closed,-2.0,-0.5806
164,VGUARD_minute,long,2024-04-26 15:26:00,2024-04-29 15:29:00,342.85,346.5,1,342.85,346.5,closed,3.65,1.0646
167,VGUARD_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,346.15,342.7,1,346.15,342.7,closed,-3.45,-0.9967
170,VGUARD_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,348.2,344.95,1,348.2,344.95,closed,-3.25,-0.9334
186,VGUARD_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,355.5,354.9,1,355.5,354.9,closed,-0.6,-0.1688
192,VGUARD_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,354.3,354.05,1,354.3,354.05,closed,-0.25,-0.0706
205,VGUARD_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,374.4,370.05,1,374.4,370.05,closed,-4.35,-1.1619
214,VGUARD_minute,long,2024-05-22 15:26:00,2024-05-23 15:29:00,377.25,379.6,1,377.25,379.6,closed,2.35,0.6229
221,VGUARD_minute,long,2024-05-28 15:26:00,2024-05-29 15:29:00,370.25,382.5,1,370.25,382.5,closed,12.25,3.3086
246,VGUARD_minute,long,2024-06-06 15:26:00,2024-06-07 15:29:00,396.15,389.55,1,396.15,389.55,closed,-6.6,-1.666
255,VGUARD_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,410.1,398.55,1,410.1,398.55,closed,-11.55,-2.8164
267,VGUARD_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,425.45,421.7,1,425.45,421.7,closed,-3.75,-0.8814
276,VGUARD_minute,long,2024-06-28 15:26:00,2024-07-01 15:29:00,433.6,434.5,1,433.6,434.5,closed,0.9,0.2076
287,VGUARD_minute,long,2024-07-10 15:26:00,2024-07-11 15:29:00,473.1,472.85,1,473.1,472.85,closed,-0.25,-0.0528
290,VGUARD_minute,long,2024-07-11 15:26:00,2024-07-12 15:29:00,472.55,464.6,1,472.55,464.6,closed,-7.95,-1.6824
299,VGUARD_minute,long,2024-07-16 15:26:00,2024-07-18 15:29:00,458.3,458.6,1,458.3,458.6,closed,0.3,0.0655
304,VGUARD_minute,long,2024-07-18 15:26:00,2024-07-19 15:29:00,458.7,449.0,1,458.7,449.0,closed,-9.7,-2.1147
309,VGUARD_minute,long,2024-07-22 15:26:00,2024-07-23 15:29:00,454.6,456.0,1,454.6,456.0,closed,1.4,0.308
316,VGUARD_minute,long,2024-07-26 15:26:00,2024-07-29 09:15:00,452.2,452.5,1,452.2,452.5,closed,0.31,0.0674
332,VGUARD_minute,long,2024-08-02 15:26:00,2024-08-05 09:15:00,461.25,447.0,1,461.25,447.0,closed,-14.25,-3.0894
335,VGUARD_minute,long,2024-08-05 15:26:00,2024-08-06 15:29:00,456.0,456.0,1,456.0,456.0,closed,0.0,0.0
344,VGUARD_minute,long,2024-08-08 15:26:00,2024-08-09 15:29:00,467.45,473.3,1,467.45,473.3,closed,5.85,1.2515
351,VGUARD_minute,long,2024-08-12 15:26:00,2024-08-13 15:29:00,505.75,520.45,1,505.75,520.45,closed,14.7,2.9066
354,VGUARD_minute,long,2024-08-13 15:26:00,2024-08-14 15:29:00,520.8,526.3,1,520.8,526.3,closed,5.5,1.0561
357,VGUARD_minute,long,2024-08-14 15:26:00,2024-08-16 15:29:00,529.45,524.55,1,529.45,524.55,closed,-4.9,-0.9255
359,VGUARD_minute,long,2024-08-19 15:26:00,2024-08-20 15:29:00,484.5,475.9,1,484.5,475.9,closed,-8.6,-1.775
