,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
6,GODFRYPHLP_minute,long,2024-01-24 15:26:00,2024-01-25 15:29:00,2215.7,2260.0,1,2215.7,2260.0,closed,44.3,1.9994
17,GODFRYPHLP_minute,long,2024-01-31 15:26:00,2024-02-01 15:29:00,2466.95,2440.5,1,2466.95,2440.5,closed,-26.45,-1.0722
39,GODFRYPHLP_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,2599.85,2486.0,1,2599.85,2486.0,closed,-113.85,-4.3791
42,GODFRYPHLP_minute,long,2024-02-13 15:26:00,2024-02-14 15:29:00,2493.0,2505.0,1,2493.0,2505.0,closed,12.0,0.4813
47,GODFRYPHLP_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,2507.65,2564.9,1,2507.65,2564.9,closed,57.25,2.283
52,GODFRYPHLP_minute,long,2024-02-16 15:26:00,2024-02-19 15:29:00,2547.0,2670.0,1,2547.0,2670.0,closed,123.0,4.8292
59,GODFRYPHLP_minute,long,2024-02-21 15:26:00,2024-02-22 15:29:00,2647.0,2765.0,1,2647.0,2765.0,closed,118.0,4.4579
62,GODFRYPHLP_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,2776.8,2745.05,1,2776.8,2745.05,closed,-31.75,-1.1434
67,GODFRYPHLP_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,2750.75,2785.0,1,2750.75,2785.0,closed,34.25,1.2451
71,GODFRYPHLP_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,2785.0,2812.0,1,2785.0,2812.0,closed,27.0,0.9695
73,GODFRYPHLP_minute,long,2024-02-27 15:26:00,2024-02-28 15:29:00,2806.05,2813.0,1,2806.05,2813.0,closed,6.95,0.2477
79,GODFRYPHLP_minute,long,2024-02-28 15:26:00,2024-02-29 15:29:00,2814.7,2975.65,1,2814.7,2975.65,closed,160.95,5.7182
86,GODFRYPHLP_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,3029.65,3100.0,1,3029.65,3100.0,closed,70.35,2.3221
89,GODFRYPHLP_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,3094.9,3170.0,1,3094.9,3170.0,closed,75.1,2.4266
95,GODFRYPHLP_minute,long,2024-03-07 15:26:00,2024-03-11 15:29:00,3316.95,3615.0,1,3316.95,3615.0,closed,298.05,8.9857
99,GODFRYPHLP_minute,long,2024-03-14 15:26:00,2024-03-15 15:29:00,3025.0,2946.3,1,3025.0,2946.3,closed,-78.7,-2.6017
102,GODFRYPHLP_minute,long,2024-03-15 15:26:00,2024-03-18 15:29:00,2932.05,3145.0,1,2932.05,3145.0,closed,212.95,7.2628
105,GODFRYPHLP_minute,long,2024-03-18 15:26:00,2024-03-19 15:29:00,3139.85,3068.05,1,3139.85,3068.05,closed,-71.8,-2.2867
