,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
45,HDFCLIFE_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,585.85,589.2,1,585.85,589.2,closed,3.35,0.5718
57,HDFCLIFE_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,576.0,580.75,1,576.0,580.75,closed,4.75,0.8247
68,HDFCLIFE_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,584.35,589.8,1,584.35,589.8,closed,5.45,0.9327
114,HDFCLIFE_minute,long,2024-03-27 15:26:00,2024-03-28 15:29:00,626.7,632.55,1,626.7,632.55,closed,5.85,0.9335
120,HDFCLIFE_minute,long,2024-04-02 15:26:00,2024-04-03 15:29:00,632.5,624.0,1,632.5,624.0,closed,-8.5,-1.3439
137,HDFCLIFE_minute,long,2024-04-12 15:26:00,2024-04-15 15:29:00,619.0,613.8,1,619.0,613.8,closed,-5.2,-0.8401
166,HDFCLIFE_minute,long,2024-04-30 15:26:00,2024-05-02 15:29:00,583.75,576.3,1,583.75,576.3,closed,-7.45,-1.2762
211,HDFCLIFE_minute,long,2024-05-27 15:26:00,2024-05-28 15:29:00,564.65,577.35,1,564.65,577.35,closed,12.7,2.2492
232,HDFCLIFE_minute,long,2024-06-06 15:26:00,2024-06-07 15:29:00,556.4,562.9,1,556.4,562.9,closed,6.5,1.1682
259,HDFCLIFE_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,580.8,580.0,1,580.8,580.0,closed,-0.8,-0.1377
279,HDFCLIFE_minute,long,2024-07-02 15:26:00,2024-07-03 15:29:00,591.0,596.05,1,591.0,596.05,closed,5.05,0.8545
286,HDFCLIFE_minute,long,2024-07-08 15:26:00,2024-07-09 15:29:00,621.55,623.8,1,621.55,623.8,closed,2.25,0.362
351,HDFCLIFE_minute,long,2024-08-09 15:26:00,2024-08-12 15:29:00,701.7,701.25,1,701.7,701.25,closed,-0.45,-0.0641
360,HDFCLIFE_minute,long,2024-08-13 15:26:00,2024-08-14 15:29:00,686.25,686.25,1,686.25,686.25,closed,0.0,0.0
366,HDFCLIFE_minute,long,2024-08-16 15:26:00,2024-08-19 15:29:00,690.05,686.75,1,690.05,686.75,closed,-3.3,-0.4782
373,HDFCLIFE_minute,long,2024-08-20 15:26:00,2024-08-21 15:29:00,711.9,723.65,1,711.9,723.65,closed,11.75,1.6505
402,HDFCLIFE_minute,long,2024-09-06 15:26:00,2024-09-09 15:29:00,740.0,735.3,1,740.0,735.3,closed,-4.7,-0.6351
411,HDFCLIFE_minute,long,2024-09-10 15:26:00,2024-09-11 15:29:00,703.6,701.7,1,703.6,701.7,closed,-1.9,-0.27
427,HDFCLIFE_minute,long,2024-09-20 15:26:00,2024-09-23 15:29:00,713.95,726.5,1,713.95,726.5,closed,12.55,1.7578
462,HDFCLIFE_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,718.95,724.55,1,718.95,724.55,closed,5.6,0.7789
499,HDFCLIFE_minute,long,2024-10-29 15:26:00,2024-10-30 15:29:00,744.7,725.65,1,744.7,725.65,closed,-19.05,-2.5581
515,HDFCLIFE_minute,long,2024-11-07 15:26:00,2024-11-08 15:29:00,712.0,708.0,1,712.0,708.0,closed,-4.0,-0.5618
525,HDFCLIFE_minute,long,2024-11-13 15:26:00,2024-11-14 15:29:00,687.5,693.95,1,687.5,693.95,closed,6.45,0.9382
547,HDFCLIFE_minute,long,2024-11-25 15:26:00,2024-11-26 15:29:00,687.15,682.15,1,687.15,682.15,closed,-5.0,-0.7276
562,HDFCLIFE_minute,long,2024-12-03 15:26:00,2024-12-04 15:29:00,634.85,650.15,1,634.85,650.15,closed,15.3,2.41
573,HDFCLIFE_minute,long,2024-12-10 15:26:00,2024-12-11 15:29:00,635.35,634.0,1,635.35,634.0,closed,-1.35,-0.2125
580,HDFCLIFE_minute,long,2024-12-12 15:26:00,2024-12-13 15:29:00,627.85,632.9,1,627.85,632.9,closed,5.05,0.8043
592,HDFCLIFE_minute,long,2024-12-20 15:26:00,2024-12-23 15:29:00,625.4,621.35,1,625.4,621.35,closed,-4.05,-0.6476
