,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,HINDUNILVR_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,2572.0,2467.65,1,2572.0,2467.65,closed,-104.35,-4.0572
15,HINDUNILVR_minute,long,2024-01-31 15:26:00,2024-02-01 15:29:00,2482.95,2471.2,1,2482.95,2471.2,closed,-11.75,-0.4732
38,HINDUNILVR_minute,long,2024-02-16 15:26:00,2024-02-19 15:29:00,2380.75,2386.3,1,2380.75,2386.3,closed,5.55,0.2331
50,HINDUNILVR_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,2397.65,2403.3,1,2397.65,2403.3,closed,5.65,0.2356
71,HINDUNILVR_minute,long,2024-03-06 15:26:00,2024-03-07 15:29:00,2400.0,2415.3,1,2400.0,2415.3,closed,15.3,0.6375
75,HINDUNILVR_minute,long,2024-03-11 15:26:00,2024-03-12 15:29:00,2384.4,2377.9,1,2384.4,2377.9,closed,-6.5,-0.2726
80,HINDUNILVR_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,2379.5,2314.75,1,2379.5,2314.75,closed,-64.75,-2.7212
83,HINDUNILVR_minute,long,2024-03-13 15:26:00,2024-03-14 15:29:00,2312.55,2333.6,1,2312.55,2333.6,closed,21.05,0.9103
97,HINDUNILVR_minute,long,2024-03-21 15:26:00,2024-03-22 15:29:00,2245.95,2260.1,1,2245.95,2260.1,closed,14.15,0.63
100,HINDUNILVR_minute,long,2024-03-26 15:26:00,2024-03-27 15:29:00,2240.85,2239.9,1,2240.85,2239.9,closed,-0.95,-0.0424
133,HINDUNILVR_minute,long,2024-04-16 15:26:00,2024-04-18 15:29:00,2226.7,2212.2,1,2226.7,2212.2,closed,-14.5,-0.6512
175,HINDUNILVR_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,2368.85,2360.0,1,2368.85,2360.0,closed,-8.85,-0.3736
192,HINDUNILVR_minute,long,2024-05-22 15:26:00,2024-05-23 15:29:00,2366.25,2378.7,1,2366.25,2378.7,closed,12.45,0.5261
