,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
3,IEX_minute,long,2024-01-20 15:26:00,2024-01-23 15:29:00,142.55,137.35,1,142.55,137.35,closed,-5.2,-3.6478
9,IEX_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,140.7,145.1,1,140.7,145.1,closed,4.4,3.1272
11,IEX_minute,long,2024-01-30 15:26:00,2024-01-31 15:29:00,145.2,147.7,1,145.2,147.7,closed,2.5,1.7218
15,IEX_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,146.4,146.0,1,146.4,146.0,closed,-0.4,-0.2732
24,IEX_minute,long,2024-02-09 15:26:00,2024-02-12 15:29:00,143.7,139.95,1,143.7,139.95,closed,-3.75,-2.6096
31,IEX_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,144.05,144.55,1,144.05,144.55,closed,0.5,0.3471
36,IEX_minute,long,2024-02-15 15:26:00,2024-02-16 15:29:00,144.6,145.15,1,144.6,145.15,closed,0.55,0.3804
40,IEX_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,146.8,145.0,1,146.8,145.0,closed,-1.8,-1.2262
46,IEX_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,145.1,147.0,1,145.1,147.0,closed,1.9,1.3094
53,IEX_minute,long,2024-02-27 15:26:00,2024-02-28 15:29:00,145.2,140.15,1,145.2,140.15,closed,-5.05,-3.478
63,IEX_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,142.5,144.3,1,142.5,144.3,closed,1.8,1.2632
67,IEX_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,153.6,150.05,1,153.6,150.05,closed,-3.55,-2.3112
73,IEX_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,150.25,147.4,1,150.25,147.4,closed,-2.85,-1.8968
79,IEX_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,141.1,132.8,1,141.1,132.8,closed,-8.3,-5.8824
85,IEX_minute,long,2024-03-14 15:26:00,2024-03-15 15:29:00,137.4,136.75,1,137.4,136.75,closed,-0.65,-0.4731
129,IEX_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,145.8,147.9,1,145.8,147.9,closed,2.1,1.4403
143,IEX_minute,long,2024-04-16 15:26:00,2024-04-18 15:29:00,148.25,145.55,1,148.25,145.55,closed,-2.7,-1.8212
145,IEX_minute,long,2024-04-18 15:26:00,2024-04-19 15:29:00,145.5,147.1,1,145.5,147.1,closed,1.6,1.0997
175,IEX_minute,long,2024-05-03 15:26:00,2024-05-06 15:29:00,157.6,152.6,1,157.6,152.6,closed,-5.0,-3.1726
189,IEX_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,144.95,145.55,1,144.95,145.55,closed,0.6,0.4139
192,IEX_minute,long,2024-05-13 15:26:00,2024-05-14 15:29:00,145.1,145.0,1,145.1,145.0,closed,-0.1,-0.0689
202,IEX_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,148.3,151.65,1,148.3,151.65,closed,3.35,2.2589
206,IEX_minute,long,2024-05-17 15:26:00,2024-05-18 12:29:00,151.7,158.95,1,151.7,158.95,closed,7.25,4.7792
218,IEX_minute,long,2024-05-24 15:26:00,2024-05-27 15:29:00,157.75,160.7,1,157.75,160.7,closed,2.95,1.87
223,IEX_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,155.0,152.8,1,155.0,152.8,closed,-2.2,-1.4194
229,IEX_minute,long,2024-06-06 15:26:00,2024-06-07 15:29:00,163.6,163.5,1,163.6,163.5,closed,-0.1,-0.0611
