,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
0,RATNAMANI_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,3276.35,3308.0,1,3276.35,3308.0,closed,31.65,0.966
6,RATNAMANI_minute,long,2024-01-20 15:26:00,2024-01-23 15:29:00,3306.6,3330.2,1,3306.6,3330.2,closed,23.6,0.7137
19,RATNAMANI_minute,long,2024-02-02 15:26:00,2024-02-05 15:29:00,3341.35,3275.5,1,3341.35,3275.5,closed,-65.85,-1.9708
25,RATNAMANI_minute,long,2024-02-06 15:26:00,2024-02-07 15:29:00,3446.1,3458.0,1,3446.1,3458.0,closed,11.9,0.3453
35,RATNAMANI_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,2993.3,3024.9,1,2993.3,3024.9,closed,31.6,1.0557
41,RATNAMANI_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,3017.65,3003.9,1,3017.65,3003.9,closed,-13.75,-0.4557
53,RATNAMANI_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,3057.0,3049.95,1,3057.0,3049.95,closed,-7.05,-0.2306
64,RATNAMANI_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,2978.0,3004.0,1,2978.0,3004.0,closed,26.0,0.8731
66,RATNAMANI_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,3000.0,3060.0,1,3000.0,3060.0,closed,60.0,2.0
87,RATNAMANI_minute,long,2024-03-01 15:26:00,2024-03-02 12:29:00,3139.95,3150.0,1,3139.95,3150.0,closed,10.05,0.3201
92,RATNAMANI_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,3000.65,2890.0,1,3000.65,2890.0,closed,-110.65,-3.6875
101,RATNAMANI_minute,long,2024-03-07 15:26:00,2024-03-11 15:29:00,2849.6,2709.75,1,2849.6,2709.75,closed,-139.85,-4.9077
112,RATNAMANI_minute,long,2024-03-18 15:26:00,2024-03-19 15:29:00,2749.0,2654.25,1,2749.0,2654.25,closed,-94.75,-3.4467
124,RATNAMANI_minute,long,2024-03-21 15:26:00,2024-03-22 15:29:00,2762.15,2861.5,1,2762.15,2861.5,closed,99.35,3.5968
129,RATNAMANI_minute,long,2024-03-22 15:26:00,2024-03-26 15:29:00,2869.7,2802.5,1,2869.7,2802.5,closed,-67.2,-2.3417
142,RATNAMANI_minute,long,2024-03-28 15:26:00,2024-04-01 15:29:00,2795.1,2809.3,1,2795.1,2809.3,closed,14.2,0.508
151,RATNAMANI_minute,long,2024-04-03 15:26:00,2024-04-04 15:29:00,2934.5,2973.35,1,2934.5,2973.35,closed,38.85,1.3239
168,RATNAMANI_minute,long,2024-04-18 15:26:00,2024-04-19 15:29:00,2970.0,2906.2,1,2970.0,2906.2,closed,-63.8,-2.1481
187,RATNAMANI_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,3020.0,3008.7,1,3020.0,3008.7,closed,-11.3,-0.3742
194,RATNAMANI_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,3108.5,3151.7,1,3108.5,3151.7,closed,43.2,1.3897
196,RATNAMANI_minute,long,2024-04-30 15:26:00,2024-05-02 15:29:00,3169.0,3207.2,1,3169.0,3207.2,closed,38.2,1.2054
197,RATNAMANI_minute,long,2024-05-02 15:26:00,2024-05-03 15:29:00,3205.0,3200.05,1,3205.0,3200.05,closed,-4.95,-0.1544
201,RATNAMANI_minute,long,2024-05-03 15:26:00,2024-05-06 15:29:00,3201.0,3062.35,1,3201.0,3062.35,closed,-138.65,-4.3315
211,RATNAMANI_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,3120.65,3112.0,1,3120.65,3112.0,closed,-8.65,-0.2772
214,RATNAMANI_minute,long,2024-05-15 15:26:00,2024-05-16 15:29:00,3164.75,3155.55,1,3164.75,3155.55,closed,-9.2,-0.2907
240,RATNAMANI_minute,long,2024-05-31 15:26:00,2024-06-03 15:29:00,3441.45,3368.35,1,3441.45,3368.35,closed,-73.1,-2.1241
