,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
2,RBLBANK_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,266.6,268.2,1,266.6,268.2,closed,1.6,0.6002
6,RBLBANK_minute,long,2024-01-23 15:26:00,2024-01-24 15:29:00,255.25,260.5,1,255.25,260.5,closed,5.25,2.0568
8,RBLBANK_minute,long,2024-01-24 15:26:00,2024-01-25 15:29:00,260.0,256.6,1,260.0,256.6,closed,-3.4,-1.3077
11,RBLBANK_minute,long,2024-01-25 15:26:00,2024-01-29 15:29:00,256.35,255.55,1,256.35,255.55,closed,-0.8,-0.3121
14,RBLBANK_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,255.75,255.0,1,255.75,255.0,closed,-0.75,-0.2933
23,RBLBANK_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,266.65,264.7,1,266.65,264.7,closed,-1.95,-0.7313
32,RBLBANK_minute,long,2024-02-07 15:26:00,2024-02-08 15:29:00,261.65,256.85,1,261.65,256.85,closed,-4.8,-1.8345
35,RBLBANK_minute,long,2024-02-08 15:26:00,2024-02-09 15:29:00,256.7,260.8,1,256.7,260.8,closed,4.1,1.5972
37,RBLBANK_minute,long,2024-02-09 15:26:00,2024-02-12 15:29:00,260.15,242.9,1,260.15,242.9,closed,-17.25,-6.6308
44,RBLBANK_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,254.0,259.6,1,254.0,259.6,closed,5.6,2.2047
58,RBLBANK_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,263.1,261.0,1,263.1,261.0,closed,-2.1,-0.7982
76,RBLBANK_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,262.6,266.75,1,262.6,266.75,closed,4.15,1.5804
83,RBLBANK_minute,long,2024-03-01 15:26:00,2024-03-02 12:29:00,266.6,269.75,1,266.6,269.75,closed,3.15,1.1815
88,RBLBANK_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,273.7,256.05,1,273.7,256.05,closed,-17.65,-6.4487
