,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
20,JKLAKSHMI_minute,long,2024-01-30 15:26:00,2024-01-31 15:29:00,904.85,938.55,1,904.85,938.55,closed,33.7,3.7244
22,JKLAKSHMI_minute,long,2024-01-31 15:26:00,2024-02-01 15:29:00,937.05,930.3,1,937.05,930.3,closed,-6.75,-0.7203
26,JKLAKSHMI_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,934.8,914.2,1,934.8,914.2,closed,-20.6,-2.2037
28,JKLAKSHMI_minute,long,2024-02-05 15:26:00,2024-02-06 15:29:00,928.65,917.6,1,928.65,917.6,closed,-11.05,-1.1899
39,JKLAKSHMI_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,907.15,884.0,1,907.15,884.0,closed,-23.15,-2.5519
85,JKLAKSHMI_minute,long,2024-03-07 15:26:00,2024-03-11 15:29:00,893.25,888.1,1,893.25,888.1,closed,-5.15,-0.5765
94,JKLAKSHMI_minute,long,2024-03-14 15:26:00,2024-03-15 15:29:00,822.45,817.5,1,822.45,817.5,closed,-4.95,-0.6019
123,JKLAKSHMI_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,820.25,807.35,1,820.25,807.35,closed,-12.9,-1.5727
128,JKLAKSHMI_minute,long,2024-04-10 15:26:00,2024-04-12 15:29:00,802.75,796.55,1,802.75,796.55,closed,-6.2,-0.7723
148,JKLAKSHMI_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,800.85,781.95,1,800.85,781.95,closed,-18.9,-2.36
157,JKLAKSHMI_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,797.9,793.55,1,797.9,793.55,closed,-4.35,-0.5452
172,JKLAKSHMI_minute,long,2024-05-03 15:26:00,2024-05-06 15:29:00,798.55,793.0,1,798.55,793.0,closed,-5.55,-0.695
187,JKLAKSHMI_minute,long,2024-05-09 15:26:00,2024-05-10 15:29:00,769.65,774.0,1,769.65,774.0,closed,4.35,0.5652
207,JKLAKSHMI_minute,long,2024-05-17 15:26:00,2024-05-18 12:29:00,782.1,779.9,1,782.1,779.9,closed,-2.2,-0.2813
209,JKLAKSHMI_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,794.0,797.0,1,794.0,797.0,closed,3.0,0.3778
223,JKLAKSHMI_minute,long,2024-05-30 15:26:00,2024-05-31 15:29:00,785.0,790.65,1,785.0,790.65,closed,5.65,0.7197
233,JKLAKSHMI_minute,long,2024-06-06 15:26:00,2024-06-07 15:29:00,785.65,795.5,1,785.65,795.5,closed,9.85,1.2537
242,JKLAKSHMI_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,824.95,825.0,1,824.95,825.0,closed,0.05,0.0061
248,JKLAKSHMI_minute,long,2024-06-21 15:26:00,2024-06-24 15:29:00,826.6,847.0,1,826.6,847.0,closed,20.4,2.4679
258,JKLAKSHMI_minute,long,2024-06-26 15:26:00,2024-06-27 15:29:00,868.85,899.3,1,868.85,899.3,closed,30.45,3.5046
260,JKLAKSHMI_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,894.0,884.0,1,894.0,884.0,closed,-10.0,-1.1186
264,JKLAKSHMI_minute,long,2024-06-28 15:26:00,2024-07-01 15:29:00,889.85,898.6,1,889.85,898.6,closed,8.75,0.9833
270,JKLAKSHMI_minute,long,2024-07-01 15:26:00,2024-07-02 15:29:00,898.05,899.95,1,898.05,899.95,closed,1.9,0.2116
287,JKLAKSHMI_minute,long,2024-07-10 15:26:00,2024-07-11 15:29:00,887.5,890.15,1,887.5,890.15,closed,2.65,0.2986
295,JKLAKSHMI_minute,long,2024-07-16 15:26:00,2024-07-18 15:29:00,869.7,864.65,1,869.7,864.65,closed,-5.05,-0.5807
319,JKLAKSHMI_minute,long,2024-07-31 15:26:00,2024-08-01 15:29:00,885.25,862.45,1,885.25,862.45,closed,-22.8,-2.5755
323,JKLAKSHMI_minute,long,2024-08-01 15:26:00,2024-08-02 15:29:00,862.5,847.0,1,862.5,847.0,closed,-15.5,-1.7971
333,JKLAKSHMI_minute,long,2024-08-05 15:26:00,2024-08-06 15:29:00,810.45,819.95,1,810.45,819.95,closed,9.5,1.1722
336,JKLAKSHMI_minute,long,2024-08-06 15:26:00,2024-08-07 15:29:00,820.05,831.25,1,820.05,831.25,closed,11.2,1.3658
346,JKLAKSHMI_minute,long,2024-08-13 15:26:00,2024-08-14 15:29:00,821.2,799.95,1,821.2,799.95,closed,-21.25,-2.5877
378,JKLAKSHMI_minute,long,2024-08-28 15:26:00,2024-08-29 15:29:00,793.7,782.5,1,793.7,782.5,closed,-11.2,-1.4111
385,JKLAKSHMI_minute,long,2024-09-03 15:26:00,2024-09-04 15:29:00,788.45,791.95,1,788.45,791.95,closed,3.5,0.4439
396,JKLAKSHMI_minute,long,2024-09-05 15:26:00,2024-09-06 15:29:00,794.45,784.8,1,794.45,784.8,closed,-9.65,-1.2147
401,JKLAKSHMI_minute,long,2024-09-06 15:26:00,2024-09-09 15:29:00,785.75,791.15,1,785.75,791.15,closed,5.4,0.6872
423,JKLAKSHMI_minute,long,2024-09-16 15:26:00,2024-09-17 15:29:00,787.3,781.0,1,787.3,781.0,closed,-6.3,-0.8002
427,JKLAKSHMI_minute,long,2024-09-17 15:26:00,2024-09-18 15:29:00,782.0,775.0,1,782.0,775.0,closed,-7.0,-0.8951
434,JKLAKSHMI_minute,long,2024-09-19 15:26:00,2024-09-20 15:29:00,774.15,770.0,1,774.15,770.0,closed,-4.15,-0.5361
500,JKLAKSHMI_minute,long,2024-10-21 15:26:00,2024-10-22 15:29:00,813.75,778.9,1,813.75,778.9,closed,-34.85,-4.2826
506,JKLAKSHMI_minute,long,2024-10-22 15:26:00,2024-10-23 15:29:00,787.15,771.75,1,787.15,771.75,closed,-15.4,-1.9564
542,JKLAKSHMI_minute,long,2024-11-06 15:26:00,2024-11-07 15:29:00,802.9,772.55,1,802.9,772.55,closed,-30.35,-3.78
550,JKLAKSHMI_minute,long,2024-11-13 15:26:00,2024-11-14 15:29:00,714.5,696.1,1,714.5,696.1,closed,-18.4,-2.5752
562,JKLAKSHMI_minute,long,2024-11-14 15:26:00,2024-11-18 15:29:00,698.95,717.8,1,698.95,717.8,closed,18.85,2.6969
567,JKLAKSHMI_minute,long,2024-11-18 15:26:00,2024-11-19 15:29:00,723.55,749.95,1,723.55,749.95,closed,26.4,3.6487
569,JKLAKSHMI_minute,long,2024-11-19 15:26:00,2024-11-21 15:29:00,748.7,746.15,1,748.7,746.15,closed,-2.55,-0.3406
598,JKLAKSHMI_minute,long,2024-12-03 15:26:00,2024-12-04 15:29:00,834.0,825.75,1,834.0,825.75,closed,-8.25,-0.9892
614,JKLAKSHMI_minute,long,2024-12-12 15:26:00,2024-12-13 15:29:00,869.15,863.9,1,869.15,863.9,closed,-5.25,-0.604
618,JKLAKSHMI_minute,long,2024-12-13 15:26:00,2024-12-16 15:29:00,863.3,862.0,1,863.3,862.0,closed,-1.3,-0.1506
624,JKLAKSHMI_minute,long,2024-12-18 15:26:00,2024-12-19 15:29:00,880.15,866.45,1,880.15,866.45,closed,-13.7,-1.5566
