,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
18,OLECTRA_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,1731.95,1785.0,1,1731.95,1785.0,closed,53.05,3.063
27,OLECTRA_minute,long,2024-02-06 15:26:00,2024-02-07 15:29:00,1895.3,1901.0,1,1895.3,1901.0,closed,5.7,0.3007
30,OLECTRA_minute,long,2024-02-08 15:26:00,2024-02-09 15:29:00,1883.25,2008.0,1,1883.25,2008.0,closed,124.75,6.6242
36,OLECTRA_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,1960.8,1995.0,1,1960.8,1995.0,closed,34.2,1.7442
37,OLECTRA_minute,long,2024-02-13 15:26:00,2024-02-14 15:29:00,2000.4,2005.2,1,2000.4,2005.2,closed,4.8,0.24
42,OLECTRA_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,2007.9,2010.0,1,2007.9,2010.0,closed,2.1,0.1046
46,OLECTRA_minute,long,2024-02-15 15:26:00,2024-02-16 15:29:00,2014.95,2001.0,1,2014.95,2001.0,closed,-13.95,-0.6923
50,OLECTRA_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,2090.0,2063.0,1,2090.0,2063.0,closed,-27.0,-1.2919
57,OLECTRA_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,2039.0,2026.0,1,2039.0,2026.0,closed,-13.0,-0.6376
61,OLECTRA_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,2021.05,2026.9,1,2021.05,2026.9,closed,5.85,0.2895
63,OLECTRA_minute,long,2024-02-27 15:26:00,2024-02-28 15:29:00,2026.7,1955.0,1,2026.7,1955.0,closed,-71.7,-3.5378
76,OLECTRA_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,1938.7,1876.95,1,1938.7,1876.95,closed,-61.75,-3.1851
80,OLECTRA_minute,long,2024-03-06 15:26:00,2024-03-07 15:29:00,1865.1,1898.0,1,1865.1,1898.0,closed,32.9,1.764
84,OLECTRA_minute,long,2024-03-07 15:26:00,2024-03-11 15:29:00,1897.05,1833.95,1,1897.05,1833.95,closed,-63.1,-3.3262
96,OLECTRA_minute,long,2024-03-14 15:26:00,2024-03-15 15:29:00,1783.25,1760.0,1,1783.25,1760.0,closed,-23.25,-1.3038
97,OLECTRA_minute,long,2024-03-15 15:26:00,2024-03-18 15:29:00,1766.5,1714.0,1,1766.5,1714.0,closed,-52.5,-2.972
111,OLECTRA_minute,long,2024-03-22 15:26:00,2024-03-26 15:29:00,1785.55,1765.8,1,1785.55,1765.8,closed,-19.75,-1.1061
115,OLECTRA_minute,long,2024-03-26 15:26:00,2024-03-27 15:29:00,1762.95,1920.0,1,1762.95,1920.0,closed,157.05,8.9084
125,OLECTRA_minute,long,2024-04-01 15:26:00,2024-04-02 15:29:00,1918.0,1914.3,1,1918.0,1914.3,closed,-3.7,-0.1929
132,OLECTRA_minute,long,2024-04-03 15:26:00,2024-04-04 15:29:00,1923.75,1917.85,1,1923.75,1917.85,closed,-5.9,-0.3067
142,OLECTRA_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,1865.9,1871.0,1,1865.9,1871.0,closed,5.1,0.2733
145,OLECTRA_minute,long,2024-04-09 15:26:00,2024-04-10 15:29:00,1870.35,1849.0,1,1870.35,1849.0,closed,-21.35,-1.1415
148,OLECTRA_minute,long,2024-04-10 15:26:00,2024-04-12 15:29:00,1849.7,1819.7,1,1849.7,1819.7,closed,-30.0,-1.6219
157,OLECTRA_minute,long,2024-04-15 15:26:00,2024-04-16 15:29:00,1745.9,1771.0,1,1745.9,1771.0,closed,25.1,1.4377
162,OLECTRA_minute,long,2024-04-18 15:26:00,2024-04-19 15:29:00,1776.7,1756.05,1,1776.7,1756.05,closed,-20.65,-1.1623
165,OLECTRA_minute,long,2024-04-19 15:26:00,2024-04-22 15:29:00,1756.0,1801.0,1,1756.0,1801.0,closed,45.0,2.5626
170,OLECTRA_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,1802.0,1770.25,1,1802.0,1770.25,closed,-31.75,-1.7619
