,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
18,PIIND_minute,long,2024-01-31 15:26:00,2024-02-01 15:29:00,3387.0,3410.0,1,3387.0,3410.0,closed,23.0,0.6791
27,PIIND_minute,long,2024-02-06 15:26:00,2024-02-07 15:29:00,3316.9,3332.0,1,3316.9,3332.0,closed,15.1,0.4552
38,PIIND_minute,long,2024-02-09 15:26:00,2024-02-12 15:29:00,3493.5,3384.05,1,3493.5,3384.05,closed,-109.45,-3.133
53,PIIND_minute,long,2024-02-15 15:26:00,2024-02-16 15:29:00,3570.2,3650.05,1,3570.2,3650.05,closed,79.85,2.2366
55,PIIND_minute,long,2024-02-16 15:26:00,2024-02-19 15:29:00,3648.25,3675.7,1,3648.25,3675.7,closed,27.45,0.7524
58,PIIND_minute,long,2024-02-19 15:26:00,2024-02-20 15:29:00,3675.5,3689.95,1,3675.5,3689.95,closed,14.45,0.3931
77,PIIND_minute,long,2024-02-23 15:26:00,2024-02-26 15:29:00,3682.4,3690.0,1,3682.4,3690.0,closed,7.6,0.2064
93,PIIND_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,3685.75,3684.95,1,3685.75,3684.95,closed,-0.8,-0.0217
126,PIIND_minute,long,2024-03-15 15:26:00,2024-03-18 15:29:00,3650.05,3732.25,1,3650.05,3732.25,closed,82.2,2.252
139,PIIND_minute,long,2024-03-22 15:26:00,2024-03-26 15:29:00,3799.8,3796.0,1,3799.8,3796.0,closed,-3.8,-0.1
155,PIIND_minute,long,2024-04-01 15:26:00,2024-04-02 15:29:00,3894.25,3855.0,1,3894.25,3855.0,closed,-39.25,-1.0079
158,PIIND_minute,long,2024-04-02 15:26:00,2024-04-03 15:29:00,3858.4,3899.2,1,3858.4,3899.2,closed,40.8,1.0574
170,PIIND_minute,long,2024-04-09 15:26:00,2024-04-10 15:29:00,3908.0,3860.0,1,3908.0,3860.0,closed,-48.0,-1.2282
174,PIIND_minute,long,2024-04-12 15:26:00,2024-04-15 15:29:00,3858.6,3791.9,1,3858.6,3791.9,closed,-66.7,-1.7286
216,PIIND_minute,long,2024-05-07 15:26:00,2024-05-08 15:29:00,3515.0,3532.0,1,3515.0,3532.0,closed,17.0,0.4836
228,PIIND_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,3565.25,3646.85,1,3565.25,3646.85,closed,81.6,2.2888
239,PIIND_minute,long,2024-05-16 15:26:00,2024-05-17 15:29:00,3619.25,3585.0,1,3619.25,3585.0,closed,-34.25,-0.9463
247,PIIND_minute,long,2024-05-21 15:26:00,2024-05-22 15:29:00,3580.0,3691.6,1,3580.0,3691.6,closed,111.6,3.1173
250,PIIND_minute,long,2024-05-22 15:26:00,2024-05-23 15:29:00,3710.3,3656.0,1,3710.3,3656.0,closed,-54.3,-1.4635
269,PIIND_minute,long,2024-05-31 15:26:00,2024-06-03 15:29:00,3550.4,3657.95,1,3550.4,3657.95,closed,107.55,3.0292
272,PIIND_minute,long,2024-06-03 15:26:00,2024-06-04 15:29:00,3653.3,3592.1,1,3653.3,3592.1,closed,-61.2,-1.6752
286,PIIND_minute,long,2024-06-13 15:26:00,2024-06-14 15:29:00,3638.05,3642.0,1,3638.05,3642.0,closed,3.95,0.1086
290,PIIND_minute,long,2024-06-14 15:26:00,2024-06-18 15:29:00,3642.9,3662.9,1,3642.9,3662.9,closed,20.0,0.549
311,PIIND_minute,long,2024-06-26 15:26:00,2024-06-27 15:29:00,3780.15,3831.85,1,3780.15,3831.85,closed,51.7,1.3677
315,PIIND_minute,long,2024-06-27 15:26:00,2024-06-28 15:29:00,3840.05,3798.05,1,3840.05,3798.05,closed,-42.0,-1.0937
318,PIIND_minute,long,2024-07-01 15:26:00,2024-07-02 15:29:00,3815.8,3758.45,1,3815.8,3758.45,closed,-57.35,-1.503
340,PIIND_minute,long,2024-07-08 15:26:00,2024-07-09 15:29:00,3764.25,3858.9,1,3764.25,3858.9,closed,94.65,2.5144
355,PIIND_minute,long,2024-07-15 15:26:00,2024-07-16 15:29:00,3874.4,3879.0,1,3874.4,3879.0,closed,4.6,0.1187
362,PIIND_minute,long,2024-07-22 15:26:00,2024-07-23 15:29:00,4005.25,4004.15,1,4005.25,4004.15,closed,-1.1,-0.0275
366,PIIND_minute,long,2024-07-25 15:26:00,2024-07-26 15:29:00,4012.2,4201.0,1,4012.2,4201.0,closed,188.8,4.7056
392,PIIND_minute,long,2024-08-07 15:26:00,2024-08-08 15:29:00,4420.0,4460.0,1,4420.0,4460.0,closed,40.0,0.905
395,PIIND_minute,long,2024-08-09 15:26:00,2024-08-12 15:29:00,4500.0,4432.85,1,4500.0,4432.85,closed,-67.15,-1.4922
398,PIIND_minute,long,2024-08-12 15:26:00,2024-08-13 15:29:00,4438.65,4375.8,1,4438.65,4375.8,closed,-62.85,-1.416
402,PIIND_minute,long,2024-08-13 15:26:00,2024-08-14 15:29:00,4370.4,4343.9,1,4370.4,4343.9,closed,-26.5,-0.6064
423,PIIND_minute,long,2024-08-23 15:26:00,2024-08-26 15:29:00,4423.2,4398.75,1,4423.2,4398.75,closed,-24.45,-0.5528
443,PIIND_minute,long,2024-09-03 15:26:00,2024-09-04 15:29:00,4547.15,4519.35,1,4547.15,4519.35,closed,-27.8,-0.6114
450,PIIND_minute,long,2024-09-06 15:26:00,2024-09-09 15:29:00,4611.65,4617.7,1,4611.65,4617.7,closed,6.05,0.1312
476,PIIND_minute,long,2024-09-20 15:26:00,2024-09-23 15:29:00,4731.7,4694.35,1,4731.7,4694.35,closed,-37.35,-0.7894
494,PIIND_minute,long,2024-09-30 15:26:00,2024-10-01 15:29:00,4663.75,4730.15,1,4663.75,4730.15,closed,66.4,1.4237
496,PIIND_minute,long,2024-10-01 15:26:00,2024-10-03 15:29:00,4735.75,4672.2,1,4735.75,4672.2,closed,-63.55,-1.3419
505,PIIND_minute,long,2024-10-07 15:26:00,2024-10-08 15:29:00,4501.9,4576.0,1,4501.9,4576.0,closed,74.1,1.646
515,PIIND_minute,long,2024-10-09 15:26:00,2024-10-10 15:29:00,4610.9,4553.4,1,4610.9,4553.4,closed,-57.5,-1.247
519,PIIND_minute,long,2024-10-10 15:26:00,2024-10-11 15:29:00,4561.2,4526.7,1,4561.2,4526.7,closed,-34.5,-0.7564
537,PIIND_minute,long,2024-10-17 15:26:00,2024-10-18 15:29:00,4467.05,4569.8,1,4467.05,4569.8,closed,102.75,2.3002
560,PIIND_minute,long,2024-10-28 15:26:00,2024-10-29 15:29:00,4352.65,4405.95,1,4352.65,4405.95,closed,53.3,1.2245
564,PIIND_minute,long,2024-10-29 15:26:00,2024-10-30 15:29:00,4406.45,4486.75,1,4406.45,4486.75,closed,80.3,1.8223
579,PIIND_minute,long,2024-11-06 15:26:00,2024-11-07 15:29:00,4613.5,4672.05,1,4613.5,4672.05,closed,58.55,1.2691
