,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
6,ALKEM_minute,long,2024-01-24 15:26:00,2024-01-25 15:29:00,5017.95,4951.15,1,5017.95,4951.15,closed,-66.8,-1.3312
9,ALKEM_minute,long,2024-01-29 15:26:00,2024-01-30 15:29:00,4981.7,4969.55,1,4981.7,4969.55,closed,-12.15,-0.2439
13,ALKEM_minute,long,2024-01-30 15:26:00,2024-01-31 15:29:00,4949.25,4998.95,1,4949.25,4998.95,closed,49.7,1.0042
20,ALKEM_minute,long,2024-02-09 15:26:00,2024-02-12 09:15:00,5330.0,5276.7,1,5330.0,5276.7,closed,-53.3,-1.0
23,ALKEM_minute,long,2024-02-12 15:26:00,2024-02-13 15:29:00,5154.9,5289.65,1,5154.9,5289.65,closed,134.75,2.614
29,ALKEM_minute,long,2024-02-14 15:26:00,2024-02-15 15:29:00,5250.1,5329.35,1,5250.1,5329.35,closed,79.25,1.5095
36,ALKEM_minute,long,2024-02-15 15:26:00,2024-02-16 09:15:00,5327.5,5305.06,1,5327.5,5305.06,closed,-22.44,-0.4211
45,ALKEM_minute,long,2024-02-22 15:26:00,2024-02-23 15:29:00,5431.15,5396.0,1,5431.15,5396.0,closed,-35.15,-0.6472
51,ALKEM_minute,long,2024-02-28 15:26:00,2024-02-29 15:29:00,4999.55,5116.1,1,4999.55,5116.1,closed,116.55,2.3312
56,ALKEM_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,5147.35,5115.0,1,5147.35,5115.0,closed,-32.35,-0.6285
80,ALKEM_minute,long,2024-03-14 15:26:00,2024-03-15 09:15:00,5007.8,4990.0,1,5007.8,4990.0,closed,-17.8,-0.3554
99,ALKEM_minute,long,2024-03-27 15:26:00,2024-03-28 09:15:00,5006.05,4935.0,1,5006.05,4935.0,closed,-71.05,-1.4193
109,ALKEM_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,4882.05,4905.1,1,4882.05,4905.1,closed,23.05,0.4721
130,ALKEM_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,4745.95,4700.15,1,4745.95,4700.15,closed,-45.8,-0.965
153,ALKEM_minute,long,2024-05-07 15:26:00,2024-05-08 09:15:00,5133.95,5082.61,1,5133.95,5082.61,closed,-51.34,-1.0
159,ALKEM_minute,long,2024-05-09 15:26:00,2024-05-10 15:29:00,5094.6,5133.85,1,5094.6,5133.85,closed,39.25,0.7704
163,ALKEM_minute,long,2024-05-10 15:26:00,2024-05-13 15:29:00,5144.0,5233.0,1,5144.0,5233.0,closed,89.0,1.7302
171,ALKEM_minute,long,2024-05-13 15:26:00,2024-05-14 09:19:00,5217.95,5203.39,1,5217.95,5203.39,closed,-14.56,-0.279
184,ALKEM_minute,long,2024-05-21 15:26:00,2024-05-22 09:18:00,5333.8,5328.53,1,5333.8,5328.53,closed,-5.27,-0.0989
