,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
0,ALOKINDS_minute,long,2024-01-19 15:26:00,2024-01-20 09:18:00,31.95,32.22,1,31.95,32.22,closed,0.27,0.8592
18,ALOKINDS_minute,long,2024-02-08 15:26:00,2024-02-09 09:15:00,30.5,30.74,1,30.5,30.74,closed,0.24,0.7852
25,ALOKINDS_minute,long,2024-02-14 15:26:00,2024-02-15 09:15:00,29.1,29.2,1,29.1,29.2,closed,0.1,0.3436
43,ALOKINDS_minute,long,2024-02-29 15:26:00,2024-03-01 09:15:00,29.25,29.25,1,29.25,29.25,closed,0.0,0.0154
77,ALOKINDS_minute,long,2024-03-22 15:26:00,2024-03-26 09:15:00,27.4,27.42,1,27.4,27.42,closed,0.02,0.0839
94,ALOKINDS_minute,long,2024-04-04 15:26:00,2024-04-05 09:15:00,28.95,29.0,1,28.95,29.0,closed,0.05,0.1727
108,ALOKINDS_minute,long,2024-04-16 15:26:00,2024-04-18 09:15:00,27.4,27.67,1,27.4,27.67,closed,0.27,0.9872
115,ALOKINDS_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,27.65,27.55,1,27.65,27.55,closed,-0.1,-0.3617
133,ALOKINDS_minute,long,2024-05-06 15:26:00,2024-05-07 15:29:00,26.65,26.2,1,26.65,26.2,closed,-0.45,-1.6886
154,ALOKINDS_minute,long,2024-05-15 15:26:00,2024-05-16 09:18:00,26.7,26.63,1,26.7,26.63,closed,-0.07,-0.2584
187,ALOKINDS_minute,long,2024-06-12 15:26:00,2024-06-13 15:29:00,27.76,27.79,1,27.76,27.79,closed,0.03,0.1081
188,ALOKINDS_minute,long,2024-06-13 15:26:00,2024-06-14 09:15:00,27.77,27.8,1,27.77,27.8,closed,0.03,0.1051
196,ALOKINDS_minute,long,2024-06-20 15:26:00,2024-06-21 15:29:00,28.5,28.25,1,28.5,28.25,closed,-0.25,-0.8772
205,ALOKINDS_minute,long,2024-06-24 15:26:00,2024-06-25 09:16:00,28.34,28.5,1,28.34,28.5,closed,0.16,0.572
215,ALOKINDS_minute,long,2024-06-28 15:26:00,2024-07-01 09:17:00,28.0,27.99,1,28.0,27.99,closed,-0.01,-0.0454
220,ALOKINDS_minute,long,2024-07-02 15:26:00,2024-07-03 09:15:00,28.87,28.76,1,28.87,28.76,closed,-0.11,-0.3828
226,ALOKINDS_minute,long,2024-07-04 15:26:00,2024-07-05 15:29:00,28.22,28.29,1,28.22,28.29,closed,0.07,0.2481
232,ALOKINDS_minute,long,2024-07-10 15:26:00,2024-07-11 15:29:00,27.53,27.38,1,27.53,27.38,closed,-0.15,-0.5449
236,ALOKINDS_minute,long,2024-07-12 15:26:00,2024-07-15 09:16:00,27.12,27.01,1,27.12,27.01,closed,-0.11,-0.4159
245,ALOKINDS_minute,long,2024-07-18 15:26:00,2024-07-19 09:15:00,25.92,25.94,1,25.92,25.94,closed,0.02,0.0694
248,ALOKINDS_minute,long,2024-07-19 15:26:00,2024-07-22 09:15:00,25.28,25.15,1,25.28,25.15,closed,-0.13,-0.5301
251,ALOKINDS_minute,long,2024-07-25 15:26:00,2024-07-26 09:17:00,26.52,26.59,1,26.52,26.59,closed,0.07,0.2692
254,ALOKINDS_minute,long,2024-07-26 15:26:00,2024-07-29 15:29:00,26.83,26.93,1,26.83,26.93,closed,0.1,0.3727
267,ALOKINDS_minute,long,2024-08-07 15:26:00,2024-08-08 09:15:00,26.37,26.18,1,26.37,26.18,closed,-0.19,-0.7372
274,ALOKINDS_minute,long,2024-08-08 15:26:00,2024-08-09 09:17:00,26.13,26.17,1,26.13,26.17,closed,0.04,0.1366
282,ALOKINDS_minute,long,2024-08-14 15:26:00,2024-08-16 09:15:00,25.05,25.05,1,25.05,25.05,closed,0.0,0.0
295,ALOKINDS_minute,long,2024-08-27 15:26:00,2024-08-28 09:17:00,28.45,28.56,1,28.45,28.56,closed,0.11,0.3866
309,ALOKINDS_minute,long,2024-09-02 15:26:00,2024-09-03 09:15:00,26.67,26.4,1,26.67,26.4,closed,-0.27,-1.0
310,ALOKINDS_minute,long,2024-09-05 15:26:00,2024-09-06 09:16:00,28.1,27.97,1,28.1,27.97,closed,-0.13,-0.4715
321,ALOKINDS_minute,long,2024-09-13 15:26:00,2024-09-16 15:29:00,26.42,26.16,1,26.42,26.16,closed,-0.26,-0.9841
