,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
1,ANANDRATHI_minute,long,2024-01-19 15:26:00,2024-01-20 15:29:00,1385.0,1352.1,1,1385.0,1352.1,closed,-32.9,-2.3755
9,ANANDRATHI_minute,long,2024-02-01 15:26:00,2024-02-02 15:29:00,1610.9,1640.0,1,1610.9,1640.0,closed,29.1,1.8064
13,ANANDRATHI_minute,long,2024-02-05 15:26:00,2024-02-06 15:29:00,1740.0,1700.0,1,1740.0,1700.0,closed,-40.0,-2.2989
25,ANANDRATHI_minute,long,2024-02-08 15:26:00,2024-02-09 09:15:00,1707.3,1691.42,1,1707.3,1691.42,closed,-15.88,-0.9304
28,ANANDRATHI_minute,long,2024-02-12 15:26:00,2024-02-13 09:15:00,1632.9,1634.25,1,1632.9,1634.25,closed,1.35,0.0827
40,ANANDRATHI_minute,long,2024-02-19 15:26:00,2024-02-20 09:15:00,1852.7,1853.78,1,1852.7,1853.78,closed,1.08,0.058
44,ANANDRATHI_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,1853.6,1833.0,1,1853.6,1833.0,closed,-20.6,-1.1114
46,ANANDRATHI_minute,long,2024-02-21 15:26:00,2024-02-22 09:18:00,1845.1,1830.51,1,1845.1,1830.51,closed,-14.59,-0.7907
49,ANANDRATHI_minute,long,2024-02-23 15:26:00,2024-02-26 09:15:00,1840.1,1851.3,1,1840.1,1851.3,closed,11.2,0.6087
53,ANANDRATHI_minute,long,2024-02-27 15:26:00,2024-02-28 09:15:00,1847.5,1844.57,1,1847.5,1844.57,closed,-2.93,-0.1587
59,ANANDRATHI_minute,long,2024-02-29 15:26:00,2024-03-01 15:29:00,1826.8,1848.45,1,1826.8,1848.45,closed,21.65,1.1851
70,ANANDRATHI_minute,long,2024-03-05 15:26:00,2024-03-06 15:29:00,1982.45,1937.3,1,1982.45,1937.3,closed,-45.15,-2.2775
75,ANANDRATHI_minute,long,2024-03-07 15:26:00,2024-03-11 09:16:00,1975.9,1972.18,1,1975.9,1972.18,closed,-3.72,-0.1883
79,ANANDRATHI_minute,long,2024-03-12 15:26:00,2024-03-13 09:15:00,1970.8,1942.25,1,1970.8,1942.25,closed,-28.55,-1.4487
81,ANANDRATHI_minute,long,2024-03-15 15:26:00,2024-03-18 09:15:00,1815.0,1788.55,1,1815.0,1788.55,closed,-26.45,-1.4573
92,ANANDRATHI_minute,long,2024-03-22 15:26:00,2024-03-26 09:17:00,1824.5,1814.52,1,1824.5,1814.52,closed,-9.98,-0.5469
100,ANANDRATHI_minute,long,2024-04-04 15:26:00,2024-04-05 15:29:00,1772.3,1814.45,1,1772.3,1814.45,closed,42.15,2.3783
108,ANANDRATHI_minute,long,2024-04-09 15:26:00,2024-04-10 09:16:00,2046.0,2041.88,1,2046.0,2041.88,closed,-4.12,-0.2016
113,ANANDRATHI_minute,long,2024-04-12 15:26:00,2024-04-15 09:15:00,2015.5,1940.0,1,2015.5,1940.0,closed,-75.5,-3.746
115,ANANDRATHI_minute,long,2024-04-15 15:26:00,2024-04-16 15:29:00,2099.5,2044.3,1,2099.5,2044.3,closed,-55.2,-2.6292
126,ANANDRATHI_minute,long,2024-04-22 15:26:00,2024-04-23 09:15:00,2008.5,2013.36,1,2008.5,2013.36,closed,4.86,0.2421
130,ANANDRATHI_minute,long,2024-04-23 15:26:00,2024-04-24 09:15:00,1979.0,1996.63,1,1979.0,1996.63,closed,17.63,0.891
141,ANANDRATHI_minute,long,2024-04-26 15:26:00,2024-04-29 09:16:00,1980.65,1979.5,1,1980.65,1979.5,closed,-1.15,-0.0578
