,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
8,BASF_minute,long,2024-01-30 15:26:00,2024-01-31 15:29:00,2979.0,3036.0,1,2979.0,3036.0,closed,57.0,1.9134
18,BASF_minute,long,2024-02-06 15:26:00,2024-02-07 15:29:00,3172.0,3181.45,1,3172.0,3181.45,closed,9.45,0.2979
23,BASF_minute,long,2024-02-07 15:26:00,2024-02-08 15:29:00,3173.0,3158.0,1,3173.0,3158.0,closed,-15.0,-0.4727
34,BASF_minute,long,2024-02-16 15:26:00,2024-02-19 15:29:00,3366.25,3304.0,1,3366.25,3304.0,closed,-62.25,-1.8492
43,BASF_minute,long,2024-02-26 15:26:00,2024-02-27 15:29:00,3322.4,3317.0,1,3322.4,3317.0,closed,-5.4,-0.1625
57,BASF_minute,long,2024-03-11 15:26:00,2024-03-12 09:15:00,3230.05,3197.75,1,3230.05,3197.75,closed,-32.3,-1.0
68,BASF_minute,long,2024-03-18 15:26:00,2024-03-19 15:29:00,3321.8,3275.0,1,3321.8,3275.0,closed,-46.8,-1.4089
72,BASF_minute,long,2024-03-19 15:26:00,2024-03-20 15:29:00,3275.05,3151.0,1,3275.05,3151.0,closed,-124.05,-3.7877
79,BASF_minute,long,2024-03-22 15:26:00,2024-03-26 09:17:00,3235.95,3237.35,1,3235.95,3237.35,closed,1.4,0.0432
85,BASF_minute,long,2024-03-28 15:26:00,2024-04-01 09:15:00,3338.0,3349.95,1,3338.0,3349.95,closed,11.95,0.358
98,BASF_minute,long,2024-04-08 15:26:00,2024-04-09 15:29:00,3634.0,3707.2,1,3634.0,3707.2,closed,73.2,2.0143
108,BASF_minute,long,2024-04-16 15:26:00,2024-04-18 15:29:00,3695.35,3622.5,1,3695.35,3622.5,closed,-72.85,-1.9714
118,BASF_minute,long,2024-04-25 15:26:00,2024-04-26 15:29:00,3602.05,3703.85,1,3602.05,3703.85,closed,101.8,2.8262
130,BASF_minute,long,2024-05-03 15:26:00,2024-05-06 09:15:00,4088.95,4062.5,1,4088.95,4062.5,closed,-26.45,-0.6469
138,BASF_minute,long,2024-05-09 15:26:00,2024-05-10 15:29:00,4025.25,4235.9,1,4025.25,4235.9,closed,210.65,5.2332
141,BASF_minute,long,2024-05-10 15:26:00,2024-05-13 09:15:00,4221.5,4231.06,1,4221.5,4231.06,closed,9.56,0.2265
159,BASF_minute,long,2024-05-22 15:26:00,2024-05-23 15:29:00,4370.0,4311.45,1,4370.0,4311.45,closed,-58.55,-1.3398
184,BASF_minute,long,2024-06-12 15:26:00,2024-06-13 09:15:00,4849.8,4864.96,1,4849.8,4864.96,closed,15.16,0.3126
195,BASF_minute,long,2024-06-21 15:26:00,2024-06-24 09:19:00,5225.0,5172.75,1,5225.0,5172.75,closed,-52.25,-1.0
215,BASF_minute,long,2024-07-01 15:26:00,2024-07-02 09:15:00,5125.0,5151.85,1,5125.0,5151.85,closed,26.85,0.5239
221,BASF_minute,long,2024-07-04 15:26:00,2024-07-05 15:29:00,5224.95,5380.95,1,5224.95,5380.95,closed,156.0,2.9857
227,BASF_minute,long,2024-07-09 15:26:00,2024-07-10 15:29:00,5460.05,5600.05,1,5460.05,5600.05,closed,140.0,2.5641
229,BASF_minute,long,2024-07-10 15:26:00,2024-07-11 15:29:00,5586.8,5710.0,1,5586.8,5710.0,closed,123.2,2.2052
236,BASF_minute,long,2024-07-16 15:26:00,2024-07-18 09:15:00,5649.85,5616.27,1,5649.85,5616.27,closed,-33.58,-0.5944
241,BASF_minute,long,2024-07-22 15:26:00,2024-07-23 09:17:00,5685.9,5638.2,1,5685.9,5638.2,closed,-47.7,-0.8389
246,BASF_minute,long,2024-07-26 15:26:00,2024-07-29 09:15:00,5817.95,5844.9,1,5817.95,5844.9,closed,26.95,0.4632
261,BASF_minute,long,2024-08-05 15:26:00,2024-08-06 09:15:00,5739.95,5989.5,1,5739.95,5989.5,closed,249.55,4.3476
271,BASF_minute,long,2024-08-13 15:26:00,2024-08-14 09:15:00,7013.5,6943.36,1,7013.5,6943.36,closed,-70.14,-1.0
279,BASF_minute,long,2024-08-19 15:26:00,2024-08-20 15:29:00,6399.95,6493.05,1,6399.95,6493.05,closed,93.1,1.4547
280,BASF_minute,long,2024-08-20 15:26:00,2024-08-21 15:29:00,6500.0,6500.0,1,6500.0,6500.0,closed,0.0,0.0
285,BASF_minute,long,2024-08-21 15:26:00,2024-08-22 15:29:00,6509.85,6812.2,1,6509.85,6812.2,closed,302.35,4.6445
298,BASF_minute,long,2024-08-28 15:26:00,2024-08-29 15:29:00,6800.0,6905.25,1,6800.0,6905.25,closed,105.25,1.5478
300,BASF_minute,long,2024-08-29 15:26:00,2024-08-30 15:29:00,6909.15,6545.0,1,6909.15,6545.0,closed,-364.15,-5.2705
314,BASF_minute,long,2024-09-09 15:26:00,2024-09-10 15:29:00,6798.95,6879.95,1,6798.95,6879.95,closed,81.0,1.1914
331,BASF_minute,long,2024-09-19 15:26:00,2024-09-20 09:15:00,6888.35,6896.29,1,6888.35,6896.29,closed,7.94,0.1153
