,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
4,BDL_minute,long,2024-01-23 15:26:00,2024-01-24 09:15:00,835.9,827.54,1,835.9,827.54,closed,-8.36,-1.0
20,BDL_minute,long,2024-02-07 15:26:00,2024-02-08 15:29:00,879.3,956.7,1,879.3,956.7,closed,77.4,8.8025
24,BDL_minute,long,2024-02-09 15:26:00,2024-02-12 09:15:00,924.5,918.22,1,924.5,918.22,closed,-6.27,-0.6787
41,BDL_minute,long,2024-02-20 15:26:00,2024-02-21 15:29:00,877.0,841.5,1,877.0,841.5,closed,-35.5,-4.0479
48,BDL_minute,long,2024-02-26 15:26:00,2024-02-27 09:15:00,947.75,938.27,1,947.75,938.27,closed,-9.48,-1.0
50,BDL_minute,long,2024-02-27 15:26:00,2024-02-28 09:16:00,948.15,944.86,1,948.15,944.86,closed,-3.29,-0.3474
59,BDL_minute,long,2024-03-04 15:26:00,2024-03-05 15:29:00,918.3,898.5,1,918.3,898.5,closed,-19.8,-2.1562
63,BDL_minute,long,2024-03-05 15:26:00,2024-03-06 09:15:00,898.0,925.6,1,898.0,925.6,closed,27.6,3.0736
69,BDL_minute,long,2024-03-11 15:26:00,2024-03-12 09:15:00,885.0,890.0,1,885.0,890.0,closed,5.0,0.565
72,BDL_minute,long,2024-03-12 15:26:00,2024-03-13 15:29:00,866.0,788.85,1,866.0,788.85,closed,-77.15,-8.9088
131,BDL_minute,long,2024-04-22 15:26:00,2024-04-23 15:29:00,923.35,960.3,1,923.35,960.3,closed,36.95,4.0017
143,BDL_minute,long,2024-04-25 15:26:00,2024-04-26 09:15:00,1031.25,1036.0,1,1031.25,1036.0,closed,4.75,0.4606
145,BDL_minute,long,2024-04-26 15:26:00,2024-04-29 15:29:00,1010.4,988.9,1,1010.4,988.9,closed,-21.5,-2.1279
148,BDL_minute,long,2024-04-29 15:26:00,2024-04-30 15:29:00,989.0,987.9,1,989.0,987.9,closed,-1.1,-0.1112
163,BDL_minute,long,2024-05-06 15:26:00,2024-05-07 09:16:00,953.25,945.85,1,953.25,945.85,closed,-7.4,-0.7767
167,BDL_minute,long,2024-05-07 15:26:00,2024-05-08 09:16:00,924.4,919.66,1,924.4,919.66,closed,-4.74,-0.5127
170,BDL_minute,long,2024-05-08 15:26:00,2024-05-09 15:29:00,948.9,936.3,1,948.9,936.3,closed,-12.6,-1.3279
174,BDL_minute,long,2024-05-09 15:26:00,2024-05-10 09:15:00,934.85,940.5,1,934.85,940.5,closed,5.65,0.6044
180,BDL_minute,long,2024-05-10 15:26:00,2024-05-13 09:16:00,931.3,930.1,1,931.3,930.1,closed,-1.19,-0.1283
187,BDL_minute,long,2024-05-15 15:26:00,2024-05-16 15:29:00,1000.15,1032.0,1,1000.15,1032.0,closed,31.85,3.1845
196,BDL_minute,long,2024-05-21 15:26:00,2024-05-22 09:15:00,1273.7,1284.5,1,1273.7,1284.5,closed,10.8,0.8479
207,BDL_minute,long,2024-05-30 15:26:00,2024-05-31 09:15:00,1548.9,1613.7,1,1548.9,1613.7,closed,64.8,4.1836
215,BDL_minute,long,2024-06-06 15:26:00,2024-06-07 09:15:00,1371.0,1357.29,1,1371.0,1357.29,closed,-13.71,-1.0
224,BDL_minute,long,2024-06-11 15:26:00,2024-06-12 15:29:00,1423.45,1423.3,1,1423.45,1423.3,closed,-0.15,-0.0105
226,BDL_minute,long,2024-06-12 15:26:00,2024-06-13 15:29:00,1424.95,1496.9,1,1424.95,1496.9,closed,71.95,5.0493
239,BDL_minute,long,2024-06-20 15:26:00,2024-06-21 09:17:00,1572.85,1560.14,1,1572.85,1560.14,closed,-12.71,-0.808
242,BDL_minute,long,2024-06-24 15:26:00,2024-06-25 15:29:00,1553.6,1552.0,1,1553.6,1552.0,closed,-1.6,-0.103
247,BDL_minute,long,2024-06-26 15:26:00,2024-06-27 09:15:00,1590.0,1592.91,1,1590.0,1592.91,closed,2.91,0.183
253,BDL_minute,long,2024-06-28 15:26:00,2024-07-01 09:16:00,1596.8,1589.2,1,1596.8,1589.2,closed,-7.6,-0.4761
255,BDL_minute,long,2024-07-01 15:26:00,2024-07-02 09:16:00,1616.0,1629.44,1,1616.0,1629.44,closed,13.44,0.8317
258,BDL_minute,long,2024-07-03 15:26:00,2024-07-04 09:15:00,1629.95,1638.05,1,1629.95,1638.05,closed,8.1,0.4972
262,BDL_minute,long,2024-07-08 15:26:00,2024-07-09 09:18:00,1700.05,1697.11,1,1700.05,1697.11,closed,-2.94,-0.1731
272,BDL_minute,long,2024-07-10 15:26:00,2024-07-11 09:17:00,1637.0,1628.45,1,1637.0,1628.45,closed,-8.55,-0.5222
281,BDL_minute,long,2024-07-18 15:26:00,2024-07-19 09:15:00,1549.0,1533.51,1,1549.0,1533.51,closed,-15.49,-1.0
